Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
54406,WI,1.04,9921.53,12/11/2007,44.44,-89.28,3;81,Portage,55097
54862,WI,1.05,16686,02/27/2007,45.79,-91.11,3;96,Sawyer,55113
53711,WI,1.05,8800,08/20/2008,43.07,-89.38,4;01,Dane,55025
53151,WI,1.08,10800,12/29/2009,42.97,-88.12,3;82,Waukesha,55133
54703,WI,1.085,9400,05/27/2008,44.82,-91.49,3;92,Eau Claire,55035
53548,WI,1.1,9000.0,12/10/2010,42.68,-89.07,3;79,0,0
53545,WI,1.1,15478.21,12/5/2003,0,0,0,Rock,55105
53704,WI,1.1,6171,10/29/2003,42.68,-89.01,3;79,Dane,55025
53704,WI,1.11,3936.74,6/2/2004,43.07,-89.38,4;04,Dane,55025
54742,WI,1.11,13150,9/1/2004,43.07,-89.38,4;04,Eau Claire,55035
54655,WI,1.12,5485.16,11/10/2010,44.76,-91.27,3;91,Crawford,55023
54466,WI,1.125,9889.98,12/29/2009,43.39,-90.77,3;92,Wood,55141
54406,WI,1.14,3095.86,02/15/2004,44.45,-90.13,4;00,Portage,55097
54406,WI,1.146,6343.15,12/20/2004,44.44,-89.28,3;81,Portage,55097
53536,WI,1.15,7894.88,07/28/2010,44.44,-89.28,3;81,Rock,55105
53713,WI,1.155,8026.44,8/4/2005,42.77,-89.29,3;83,Dane,55025
54701,WI,1.17,13151.25,05/23/2007,43.07,-89.38,4;04,Eau Claire,55035
53073,WI,1.17,18873.86,12/27/2006,44.82,-91.49,3;94,Sheboygan,55117
54911,WI,1.2,0.0,09/17/2003,43.74,-87.97,3;81,Outagamie,55087
53589,WI,1.225,12630,07/31/2009,44.26,-88.39,3;77,Dane,55025
54511,WI,1.248,19398.4,05/22/2006,42.92,-89.22,3;95,Forest,55041
54235,WI,1.25,12797.15,02/21/2006,45.66,-88.88,4;00,Door,55029
54542,WI,1.25,21253,08/29/2005,44.83,-87.37,3;82,Florence,55037
53821,WI,1.26,8920.1,09/29/2009,45.83,-88.66,4;01,Crawford,55023
53925,WI,1.26,12620.0,02/17/2010,43.04,-91.14,3;94,Columbia,55021
53704,WI,1.278,9695,03/26/2008,43.33,-89.02,3;80,Dane,55025
53704,WI,1.278,12345,12/21/2007,43.07,-89.38,4;04,Dane,55025
53704,WI,1.278,13595,02/28/2008,43.07,-89.38,4;04,Dane,55025
53705,WI,1.29,7042.0,04/28/2010,43.07,-89.38,4;04,Dane,55025
53086,WI,1.32,13706.3,02/26/2007,43.07,-89.38,4;00,Washington,55131
53562,WI,1.32,20000,10/19/2006,43.33,-88.28,3;71,Dane,55025
54814,WI,1.32,12403.01,07/30/2009,43.10,-89.50,3;96,Bayfield,55007
54161,WI,1.32,11880.0,11/10/2010,46.81,-90.82,3;87,Marinette,55075
53711,WI,1.336,11630,12/14/2004,45.09,-88.03,4;01,Dane,55025
54119,WI,1.336,22056.39,06/22/2005,43.07,-89.38,4;01,Marinette,55075
53703,WI,1.376,11630.5,01/18/2006,45.65,-88.18,4;07,Dane,55025
53704,WI,1.38,10182.54,12/14/2010,43.07,-89.38,4;04,Dane,55025
53925,WI,1.38,9660.0,04/28/2010,43.07,-89.38,4;04,Columbia,55021
54527,WI,1.4,14141.39,10/25/2003,43.33,-89.02,3;80,Ashland,55003
54423,WI,1.4,7800,08/25/2009,46.13,-90.57,4;04,Portage,55097
54810,WI,1.4,13939.87,11/25/2008,44.50,-89.41,3;79,Polk,55095
53121,WI,1.41,11326.0,06/28/2010,45.45,-92.45,3;95,Walworth,55127
53597,WI,1.422,11688,6/12/2003,42.67,-88.54,3;72,Dane,55025
54171,WI,1.44,24578.28,12/28/2002,43.18,-89.45,3;99,Oconto,55083
