Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
97007,OR,1;89,,9-1-2010,44.07,-121.25,5;66,Washington,55131,0
97211,OR,1;89,,9-8-2010,45.47,-122.37,3;25,Multnomah,41051,0
97206,OR,1;89,,06/21/2011,44.63,-123.00,3;92,Multnomah,41051,0
97537,OR,1;92,10520,7-1-2012,0,0,0,Jackson,55053,5479;166667
97801,OR,1;92,12019;2,12-9-2010,45.73,-118.79,4;98,Umatilla,41059,6260
97801,OR,1;92,12019;2,11-12-2010,45.49,-122.80,3;52,Umatilla,41059,6260
97304,OR,1;92,12980,11/16/2010,45.44,-122.88,3;57,Polk,55095,6760;416667
97304,OR,1;92,12980,11/16/2010,45.57,-122.62,3;33,Polk,55095,6760;416667
97212,OR,1.935,,10/21/2010,45.48,-122.60,3;37,Multnomah,41051,0
97213,OR,1.935,,11/18/2010,42.54,-123.10,5;31,Multnomah,41051,0
97213,OR,1.935,,06/28/2010,45.73,-118.79,4;98,Multnomah,41051,0
97213,OR,1.962,18695,11/16/2012,45.73,-118.79,4;98,Multnomah,41051,9;528542304
97211,OR,1;98,,03/31/2008,45.02,-123.11,3;81,Multnomah,41051,0
97211,OR,1;98,,04/13/2007,45.02,-123.11,3;81,Multnomah,41051,0
97213,OR,1;98,,12/19/2007,45.54,-122.64,3;35,Multnomah,41051,0
97223,OR,1;98,,01/29/2007,45.53,-122.60,3;34,Washington,55131,0
97217,OR,1;98,,09/18/2007,45.53,-122.60,3;34,Multnomah,41051,0
97213,OR,1;98,,01/29/2007,45.53,-122.60,3;34,Multnomah,41051,0
97203,OR,1;98,,12/19/2007,45.57,-122.62,3;33,Multnomah,41051,0
97202,OR,1;98,,03/30/2007,45.57,-122.62,3;33,Multnomah,41051,0
97068,OR,2,14550,7-1-2012,45.53,-122.60,3;34,Clackamas,41005,7275
97357,OR,2,11200,7-1-2012,45.44,-122.76,3;56,Lincoln,56023,5600
97401,OR,2,11480,7-1-2012,45.58,-122.70,3;37,Lane,41039,5740
97405,OR,2,12290,7-1-2012,45.53,-122.60,3;34,Lane,41039,6145
97701,OR,2,9500,12/31/2013,45.61,-122.74,3;38,Deschutes,41017,4750
97701,OR,2,14250,12-11-2009,45.47,-122.64,3;37,Deschutes,41017,7125
97212,OR,2,,06/19/2008,45.34,-122.66,3;51,Multnomah,41051,0
97213,OR,2,,03/21/2007,44.74,-123.80,3;62,Multnomah,41051,0
97202,OR,2,,02/27/2007,44.06,-123.08,4;31,Multnomah,41051,0
97225,OR,2,,03/17/2004,43.92,-123.08,4;16,Washington,55131,0
