Zipcode,State,Size (kW DC),Cost,Date Installed
87104,NM,1.4,16482.91,2/9/2009
87111,NM,1.4,15493.88,02/24/2009
87501,NM,1.4,19135.81,2/6/2008
87012,NM,1.4,21121.04,01/16/2008
87410,NM,1.4,10179.78,4/3/2009
87048,NM,1.4,11997.89,02/17/2009
88011,NM,1.4,11963.8,2/3/2009
87122,NM,1.41,5964.14,09/22/2012
88011,NM,1.41,5363.0,08/15/2013
87505,NM,1.41,19116.0,6/1/2012
87106,NM,1.41,10134.0,01/13/2012
87113,NM,1.41,10537.68,5/4/2012
87106,NM,1.41,7606.83,04/13/2012
87114,NM,1.435,11025.0,12/1/2010
87112,NM,1.435,10990.98,12/10/2010
87506,NM,1.44,11587.0,10/10/2013
88011,NM,1.44,7400.0,02/27/2013
87557,NM,1.44,13980.91,04/23/2010
87120,NM,1.44,10517.84,02/26/2012
87106,NM,1.44,13980.0,12/12/2010
88005,NM,1.44,6590.0,10/1/2012
88001,NM,1.44,8250.0,09/14/2012
88005,NM,1.44,7200.0,07/31/2012
88012,NM,1.44,6905.0,5/2/2012
88072,NM,1.44,8960.0,2/9/2012
87507,NM,1.45,10142.97,2/6/2008
87002,NM,1.47,8922.0,6/10/2013
87508,NM,1.47,12000.0,07/16/2010
87114,NM,1.47,11809.0,12/3/2009
87507,NM,1.47,10865.0,12/12/2009
87107,NM,1.47,5760.0,12/20/2012
87505,NM,1.47,10840.0,12/17/2010
87112,NM,1.47,11768.0,10/7/2010
87107,NM,1.47,11949.0,9/8/2010
87507,NM,1.47,9743.5,04/19/2012
87501,NM,1.47,9376.0,4/3/2012
87505,NM,1.48,15579.0,12/15/2010
88008,NM,1.48,15574.0,04/19/2010
88005,NM,1.5,12654.0,12/27/2012
88012,NM,1.5,5632.0,12/24/2013
87025,NM,1.5,30000.0,12/23/2010
87108,NM,1.5,14402.71,06/16/2008
87010,NM,1.5,9433.34,1/4/2008
87501,NM,1.505,12081.0,12/22/2010
88012,NM,1.505,11228.0,09/29/2010
87505,NM,1.505,11734.64,9/3/2010
87123,NM,1.505,11710.0,12/8/2010
87106,NM,1.505,11860.23,12/1/2010
87107,NM,1.505,11949.0,9/8/2010
87508,NM,1.505,11134.0,08/18/2010
87508,NM,1.505,12000.0,07/16/2010
87107,NM,1.52,15761.12,03/17/2009
88012,NM,1.52,15696.4,4/7/2010
88321,NM,1.53,15493.12,08/22/2013
88011,NM,1.53,6362.0,03/22/2013
87501,NM,1.53,5365.98,08/21/2012
87144,NM,1.54,7316.56,10/9/2012
87144,NM,1.54,7316.56,5/1/2012
87144,NM,1.54,7316.56,10/30/2012
87144,NM,1.54,7316.56,07/23/2012
87144,NM,1.54,7316.56,6/1/2012
87112,NM,1.56,6436.91,8/5/2013
87181,NM,1.56,13205.95,2/10/2010
88337,NM,1.56,14075.58,12/17/2007
87110,NM,1.56,15600,01/21/2009
87106,NM,1.56,13126.25,12/18/2009
87501,NM,1.56,16824.0,11/6/2009
87505,NM,1.56,12181.37,2/1/2012
87107,NM,1.57,15842.39,02/26/2009
87832,NM,1.575,11568.75,12/22/2010
87108,NM,1.575,13805.0,6/2/2010
87110,NM,1.575,8847.25,04/19/2012
87120,NM,1.575,11520.0,12/23/2010
87122,NM,1.575,9292.5,8/10/2010
87106,NM,1.575,13800.0,05/16/2010
87181,NM,1.58,9742.59,2/4/2008
87122,NM,1.59,21489.18,01/16/2008
87825,NM,1.6,26038,3/5/2008
87112,NM,1.61,11768.0,10/7/2010
87505,NM,1.61,11734.64,9/3/2010
87508,NM,1.61,10300.0,12/12/2009
87508,NM,1.62,8424.0,11/21/2013
87939,NM,1.62,23991.58,3/6/2008
88005,NM,1.635,11715.0,11/13/2013
87505,NM,1.635,10461.0,05/16/2013
87505,NM,1.645,12830.0,7/1/2012
88011,NM,1.68,7230.0,5/7/2013
88012,NM,1.68,7250.0,01/24/2013
87124,NM,1.68,13240.0,08/19/2010
87108,NM,1.68,13216.0,12/22/2012
87181,NM,1.68,13205.95,2/10/2010
87123,NM,1.68,10449.58,10/2/2012
87505,NM,1.68,8345.54,09/27/2012
88005,NM,1.68,11828.0,05/24/2012
88062,NM,1.68,12023.0,04/25/2012
87112,NM,1.7,15906,2/6/2009
87010,NM,1.7,27164,01/16/2008
87111,NM,1.7,16437,02/24/2009
