Zipcode,State,Size (kW DC),Cost,Date Installed
47401,IN,3.0,,06/21/2013
47201,IN,3.0,,06/21/2013
47546,IN,3.0,,12/31/2008
47401,IN,3.0,,06/21/2012
47404,IN,3.0,,06/21/2013
47424,IN,3.0,,06/21/2013
47630,IN,3.0,,02/20/2013
46220,IN,3.0,,7/9/2011
47401,IN,3.0,,2/2/2009
47546,IN,3.0,34662.5,09/24/2008
46131,IN,3.0,36720.0,02/17/2009
47240,IN,3.0,36220.0,10/23/2008
46150,IN,3.0,30729.6,6/1/2009
47712,IN,3.0,27250.0,11/3/2009
47882,IN,3,31121.93,6/8/2008
47201,IN,3.0,29200.0,01/14/2010
47433,IN,3.02,11500.0,3/9/2013
47630,IN,3.06,,06/21/2013
47715,IN,3.06,12000.0,8/8/2014
47630,IN,3.06,13900.0,06/26/2013
47401,IN,3.08,,06/21/2011
46220,IN,3.08,,7/7/2011
46582,IN,3.08,,7/6/2010
46107,IN,3.12,,5/9/2014
46236,IN,3.12,,04/24/2014
47006,IN,3.15,,06/16/2010
46582,IN,3.15,15750.0,07/31/2010
46526,IN,3.15,15750.0,08/25/2010
46205,IN,3.16,,11/29/2011
46901,IN,3.22,,04/21/2010
46947,IN,3.22,,05/13/2011
47401,IN,3.25,,12/31/2009
47401,IN,3.25,,03/18/2009
47711,IN,3.25,,06/21/2013
46526,IN,3.36,,8/12/2010
47905,IN,3.36,16800.0,1/5/2009
47401,IN,3.4,,06/21/2011
47408,IN,3.4,,06/21/2011
46219,IN,3.42,,7/3/2014
47408,IN,3.42,,03/24/2011
46516,IN,3.45,17250.0,12/22/2010
47201,IN,3.5,,06/21/2011
47408,IN,3.525,,06/21/2011
47401,IN,3.525,,06/21/2011
47401,IN,3.525,,06/21/2011
47408,IN,3.525,,5/5/2010
47401,IN,3.525,,9/1/2011
47401,IN,3.525,,08/18/2011
47713,IN,3.57,,06/21/2013
47712,IN,3.57,,06/21/2013
47712,IN,3.57,16950.0,07/17/2013
47401,IN,3.6,,06/21/2011
47630,IN,3.6,,10/1/2013
46516,IN,3.6,,05/19/2011
47401,IN,3.68,,06/21/2012
47401,IN,3.69,,06/21/2010
47401,IN,3.69,,4/1/2010
47714,IN,3.825,16000.0,7/5/2013
47714,IN,3.825,15995.0,8/4/2014
47408,IN,3.84,,06/21/2011
47408,IN,3.84,19200,10/26/2011
47630,IN,3.85,12500.0,01/25/2015
46001,IN,3.9,14000.0,2/3/2013
47408,IN,3.9,,7/7/1909
47401,IN,3.91,,06/21/2012
47390,IN,3.92,22814,11/15/2010
47403,IN,4.0,,06/21/2009
47408,IN,4.0,,06/21/2011
47408,IN,4.0,,06/21/2012
47408,IN,4.0,,06/21/2012
47714,IN,4.0,,06/21/2012
47403,IN,4.0,,4/5/2010
46038,IN,4,32427,03/19/2009
46204,IN,4.05,33000.0,03/19/2009
46106,IN,4.14,33150.0,06/17/2010
46226,IN,4.14,,09/29/2011
46217,IN,4.16,,04/29/2014
47448,IN,4.16,,06/21/2013
46229,IN,4.2,,06/18/2009
46208,IN,4.2,,05/18/2011
46975,IN,4.2,22000.0,6/5/2009
46311,IN,4.25,,12/30/2011
47150,IN,4.29,40000.0,3/3/2010
46075,IN,4.3,15000.0,10/13/1997
47433,IN,4.32,,06/21/2012
47408,IN,4.32,,12/6/2013
47720,IN,4.32,,07/16/2010
47408,IN,4.32,,06/21/2013
47408,IN,4.32,,06/21/2013
47401,IN,4.4,,12/31/2009
46628,IN,4.4,,8/1/2010
46628,IN,4.4,22000.0,07/29/2010
47404,IN,4.4,32000,04/21/2010
47401,IN,4.41,,06/21/2013
47401,IN,4.41,,05/24/2013
47403,IN,4.42,,06/21/2010
47401,IN,4.42,,06/21/2013
47532,IN,4.44,,06/21/2012
46617,IN,4.465,,03/19/2012
47449,IN,4.5,,06/21/2013
47712,IN,4.5,,06/21/2013
47404,IN,4.5,,06/21/2010
47401,IN,4.5,,06/21/2013
47403,IN,4.5,,06/21/2013
47408,IN,4.5,,11/1/2013
47401,IN,4.5,,12/26/2013
46151,IN,4.5,39200.0,12/3/2010
47408,IN,4.5,,06/21/2013
47401,IN,4.5,,06/21/2013
47712,IN,4.5,37287.5,03/31/2010
47408,IN,4.56,,06/21/2013
47403,IN,4.6,,06/21/2010
47401,IN,4.6,,06/21/2012
47403,IN,4.6,,10/22/2010
46637,IN,4.68,,05/23/2007
46617,IN,4.7,29028.7,02/20/2012
46701,IN,4.8,,4/3/2006
46714,IN,4.8,,10/28/2011
46241,IN,4.86,,08/30/2010
47125,IN,4.88,,12/31/2011
47401,IN,4.896,,12/1/2008
47408,IN,4.9,,07/21/2011
47401,IN,4.9,,7/7/1909
46106,IN,4.95,,10/31/2009
46410,IN,4.95,27500,3/7/2009
47638,IN,5.0,,06/21/2013
47404,IN,5.0,,12/31/2008
47401,IN,5.0,,06/21/2012
47401,IN,5.0,,06/21/2012
47408,IN,5.0,,06/21/2013
47401,IN,5.0,,06/21/2013
47448,IN,5.0,,06/21/2013
47203,IN,5.0,,06/21/2013
46563,IN,5.0,,04/23/2013
47201,IN,5.0,5000.0,10/15/2012
46383,IN,5.0,13000.0,01/15/2013
46747,IN,5.0,,07/16/2010
46526,IN,5.0,,08/20/2009
46205,IN,5.0,,10/6/2009
47401,IN,5.0,12000.0,10/8/2012
46507,IN,5.0,30000.0,1/1/2012
47401,IN,5.0,,08/21/2013
46278,IN,5.0,,06/21/2013
46902,IN,5,36760,05/30/2008
46805,IN,5,30612.78,04/28/2008
46747,IN,5.04,25000.0,6/4/2010
47374,IN,5.17,,05/14/2012
46996,IN,5.17,,3/3/2011
47240,IN,5.2,,7/2/2014
47638,IN,5.2,29995.0,01/29/2013
47403,IN,5.2,,01/22/2013
47408,IN,5.2,,08/31/2012
46526,IN,5.25,,5/12/2010
46544,IN,5.28,27000.0,07/13/2010
46383,IN,5.355,,10/10/2011
47933,IN,5.39,,3/3/2011
47408,IN,5.4,,06/21/2011
47408,IN,5.4,,07/13/2011
47638,IN,5.46,,12/14/2012
46567,IN,5.46,27300.0,08/25/2009
46507,IN,5.46,25000.0,9/1/2009
47401,IN,5.49,,06/21/2012
47401,IN,5.49,,11/30/2012
47408,IN,5.5,,06/21/2012
47468,IN,5.5,,06/21/2012
47401,IN,5.5,,06/21/2012
47403,IN,5.5,,06/21/2012
46567,IN,5.5,,8/12/2009
46507,IN,5.5,,6/11/2009
47408,IN,5.5,33000.0,09/30/2011
47401,IN,5.52,,11/3/2012
46516,IN,5.52,27600.0,11/18/2011
47408,IN,5.58,,8/3/2012
47403,IN,5.635,,06/21/2011
47401,IN,5.635,,06/21/2011
47401,IN,5.635,34000,12/2/2011
47403,IN,5.635,,07/15/2011
46385,IN,5.64,,8/11/2011
46528,IN,5.64,52954.0,04/26/2012
46385,IN,5.64,34328.04,8/12/2011
46526,IN,5.64,34437.18,8/1/2012
46526,IN,5.64,29500.0,08/27/2012
47532,IN,5.76,,06/21/2013
47401,IN,5.775,,07/23/2014
46055,IN,5.8,25000.0,11/30/2010
46526,IN,5.8,27000.0,05/20/2010
46550,IN,5.8,89334,2/12/2009
46055,IN,5.88,26930,1/4/2011
46733,IN,5.88,37926,11/1/2010
46550,IN,5.88,29400.0,11/16/2009
47620,IN,6.0,,06/21/2012
47421,IN,6.0,,06/21/2013
47401,IN,6.0,,06/21/2012
47421,IN,6.0,,06/21/2012
47433,IN,6.0,,06/21/2013
47401,IN,6.0,,06/21/2013
47401,IN,6.0,,06/21/2013
47630,IN,6.0,,06/21/2013
46563,IN,6.0,,04/23/2014
47401,IN,6.0,,07/26/2013
47620,IN,6.0,,12/28/2012
46552,IN,6.0,,09/17/2010
47630,IN,6.0,,06/21/2012
47630,IN,6,78161,9/1/2005
47601,IN,6.02,,09/14/2013
46550,IN,6.05,44565.6,02/17/2009
47532,IN,6.1,,6/12/2012
47532,IN,6.11,,06/21/2012
47630,IN,6.12,24900.0,03/15/2013
46160,IN,6.24,,03/25/2014
46947,IN,6.3,50000.0,9/1/2009
46543,IN,6.3,,9/4/2009
46550,IN,6.3,,10/11/2010
46543,IN,6.3,31500.0,9/10/2009
