Zipcode,State,Size (kW DC),Cost,Date Installed
70127,LA,4.1,,06/19/2012
70117,LA,4.1,,06/20/2012
70117,LA,4.1,,06/20/2012
70117,LA,4.1,,06/25/2012
70114,LA,4.1,,06/25/2012
70117,LA,4.1,,06/25/2012
70128,LA,4.1,,06/25/2012
70114,LA,4.1,,06/25/2012
70127,LA,4.1,,06/25/2012
70117,LA,4.1,,06/25/2012
70058,LA,4.1,,06/27/2012
70115,LA,4.1,,06/27/2012
70115,LA,4.1,,06/27/2012
70118,LA,4.1,,06/27/2012
70125,LA,4.1,,06/27/2012
70058,LA,4.1,,06/27/2012
70115,LA,4.1,,06/27/2012
70115,LA,4.1,,06/27/2012
70117,LA,4.1,,7/5/2012
70126,LA,4.1,,7/5/2012
70126,LA,4.1,,7/5/2012
70127,LA,4.1,,7/5/2012
70128,LA,4.1,,7/5/2012
70128,LA,4.1,,7/5/2012
70058,LA,4.1,,7/5/2012
70058,LA,4.1,,7/5/2012
70127,LA,4.1,,7/5/2012
70127,LA,4.1,,7/5/2012
70117,LA,4.1,,7/5/2012
70126,LA,4.1,,7/5/2012
70126,LA,4.1,,7/5/2012
70127,LA,4.1,,7/5/2012
70128,LA,4.1,,7/5/2012
70128,LA,4.1,,7/5/2012
70403,LA,4.1,,7/6/2012
70403,LA,4.1,,7/6/2012
70458,LA,4.1,,7/11/2012
70458,LA,4.1,,7/11/2012
70072,LA,4.1,,7/12/2012
70131,LA,4.1,,7/12/2012
70072,LA,4.1,,7/12/2012
70131,LA,4.1,,7/12/2012
70127,LA,4.1,,07/13/2012
70127,LA,4.1,,07/13/2012
70122,LA,4.1,,07/13/2012
70126,LA,4.1,,07/13/2012
70127,LA,4.1,,07/13/2012
70126,LA,4.1,,07/13/2012
70128,LA,4.1,,07/13/2012
70122,LA,4.1,,07/13/2012
70126,LA,4.1,,07/13/2012
70072,LA,4.1,,07/13/2012
70119,LA,4.1,,07/13/2012
70127,LA,4.1,,07/13/2012
70122,LA,4.1,,07/17/2012
70119,LA,4.1,,07/17/2012
70126,LA,4.1,,07/17/2012
70126,LA,4.1,,07/17/2012
70126,LA,4.1,,07/17/2012
70128,LA,4.1,,07/17/2012
70129,LA,4.1,,07/17/2012
70126,LA,4.1,,07/17/2012
70127,LA,4.1,,07/17/2012
70128,LA,4.1,,07/17/2012
70118,LA,4.1,,07/17/2012
70122,LA,4.1,,07/17/2012
70119,LA,4.1,,07/17/2012
70126,LA,4.1,,07/17/2012
70126,LA,4.1,,07/17/2012
70126,LA,4.1,,07/17/2012
70128,LA,4.1,,07/17/2012
70062,LA,4.1,,07/19/2012
70065,LA,4.1,,07/19/2012
70065,LA,4.1,,07/19/2012
70062,LA,4.1,,07/19/2012
70062,LA,4.1,,07/19/2012
70058,LA,4.1,,07/26/2012
70065,LA,4.1,,07/26/2012
70072,LA,4.1,,07/26/2012
70117,LA,4.1,,07/26/2012
70122,LA,4.1,,07/26/2012
70122,LA,4.1,,07/26/2012
70122,LA,4.1,,07/26/2012
70126,LA,4.1,,07/26/2012
70126,LA,4.1,,07/26/2012
70126,LA,4.1,,07/26/2012
70127,LA,4.1,,07/26/2012
70128,LA,4.1,,07/26/2012
70129,LA,4.1,,07/26/2012
70126,LA,4.1,,07/26/2012
70131,LA,4.1,,07/26/2012
70058,LA,4.1,,07/26/2012
70065,LA,4.1,,07/26/2012
70072,LA,4.1,,07/26/2012
70117,LA,4.1,,07/26/2012
70122,LA,4.1,,07/26/2012
70122,LA,4.1,,07/26/2012
70122,LA,4.1,,07/26/2012
70126,LA,4.1,,07/26/2012
70126,LA,4.1,,07/26/2012
70126,LA,4.1,,07/26/2012
70127,LA,4.1,,07/26/2012
70128,LA,4.1,,07/26/2012
70129,LA,4.1,,07/26/2012
70126,LA,4.1,,8/1/2012
70127,LA,4.1,,8/1/2012
70126,LA,4.1,,8/1/2012
70127,LA,4.1,,8/1/2012
70122,LA,4.1,,8/2/2012
70126,LA,4.1,,8/2/2012
70129,LA,4.1,,8/2/2012
70122,LA,4.1,,8/2/2012
70122,LA,4.1,,8/8/2012
70126,LA,4.1,,8/8/2012
70127,LA,4.1,,8/8/2012
70131,LA,4.1,,8/8/2012
70114,LA,4.1,,8/8/2012
70126,LA,4.1,,8/8/2012
70127,LA,4.1,,8/8/2012
70114,LA,4.1,,8/8/2012
70122,LA,4.1,,8/8/2012
70126,LA,4.1,,8/8/2012
70127,LA,4.1,,8/8/2012
70131,LA,4.1,,8/8/2012
70808,LA,4.68,20000.0,7/7/2010
70119,LA,4.9,,8/7/2009
70119,LA,4.9,,10/2/2009
70769,LA,5.0,,12/27/2010
70122,LA,5.0,,09/29/2008
70435,LA,5.52,64000.0,12/28/2009
70808,LA,5.88,,01/14/2011
70119,LA,5.88,,01/19/2011
70115,LA,6.3,,10/1/2008
70726,LA,6.3,,1/1/2009
70114,LA,6.3,,1/6/2009
71362,LA,6.3,,08/18/2009
70448,LA,6.3,,1/12/2009
71303,LA,6.3,,12/26/2008
70115,LA,6.3,,11/6/2008
70726,LA,6.3,,1/2/2009
70117,LA,6.3,,06/16/2004
70448,LA,6.3,,08/14/2009
71303,LA,6.3,,3/12/2009
70114,LA,6.3,,7/2/2008
71362,LA,6.3,,10/12/2009
70769,LA,6.44,,11/30/2009
70808,LA,6.58,,08/18/2010
70461,LA,6.9,,11/9/2009
71303,LA,6.9,,11/2/2009
70461,LA,6.9,,12/16/2009
70447,LA,7.59,,12/7/2009
70466,LA,8.82,,01/19/2011
70719,LA,9.4,,09/16/2009
70719,LA,9.4,,12/8/2009
70003,LA,9.5,,5/6/2009
70003,LA,9.5,,6/8/2009
70541,LA,10.08,,8/11/2010
70808,LA,11.84,,12/30/2010
70770,LA,12.6,,05/20/2009
70047,LA,13.05,81000.0,10/26/2010
70570,LA,14.2,,04/27/2009
70520,LA,18.0,,07/13/2009
71203,LA,19.34,82000.0,12/30/2009
70510,LA,24.42,,11/19/2010
70764,LA,31.68,,10/27/2008
70765,LA,32.0,,6/5/2008
70117,LA,45,,01/18/2008
70433,LA,84.0,199585.0,09/20/2013
71220,LA,105.6,570000.0,11/22/2010
70130,LA,420.0,,10/1/2012
