Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
3768,NH,1;44,4320,10-4-2008,43.80,-72.15,3;68,Grafton,33009,3000
3602,NH,1;44,18705,10-1-2010,43.15,-72.36,3;65,Cheshire,33005,12989;58333
3768,NH,1;44,12929;03,10-4-2008,43.80,-72.15,3;68,Grafton,33009,8978;493056
3087,NH,1;5,4500,09/29/2009,42.80,-71.30,3;93,Rockingham,51165,3000
3873,NH,1;5,4500,09/25/2009,42.92,-71.18,4;05,Rockingham,51165,3000
3825,NH,1;5,5172,7-5-2013,43.22,-71.04,4;04,Strafford,33017,3448
3087,NH,1;5,11987,09/29/2009,42.80,-71.30,3;93,Rockingham,51165,7991;333333
3873,NH,1;5,12375,09/25/2009,42.92,-71.18,4;05,Rockingham,51165,8250
3561,NH,1;52,4500,08/20/2008,44.31,-71.76,3;61,Grafton,33009,2960;526316
3561,NH,1;52,17680,08/20/2008,44.31,-71.76,3;61,Grafton,33009,11631;57895
3221,NH,1;56,13880,3-1-2013,43.27,-71.96,3;86,Merrimack,33013,8897;435897
3301,NH,1;56,9352,10-1-2013,43.23,-71.56,3;96,Merrimack,33013,5994;871795
3264,NH,1;6,2549;5,9-2-2009,43.73,-71.69,3;81,Grafton,33009,1593;4375
3264,NH,1;6,5099,9-2-2009,43.73,-71.69,3;81,Grafton,33009,3186;875
3280,NH,1;62,4860,7-11-2009,43.17,-72.09,3;82,Sullivan,47163,3000
3280,NH,1;62,18674,7-11-2009,43.17,-72.09,3;82,Sullivan,47163,11527;16049
3748,NH,1;68,13856,8-1-2010,43.64,-72.14,3;74,Grafton,33009,8247;619048
3226,NH,1;7,5100,11/15/2008,43.70,-71.22,3;82,Belknap,33001,3000
3856,NH,1;7,5100,09/24/2009,43.03,-70.93,4;01,Rockingham,51165,3000
3254,NH,1;7,17100,11/15/2008,43.75,-71.39,3;82,Carroll,51035,10058;82353
3856,NH,1;7,13400;92,09/24/2009,43.03,-70.93,4;01,Rockingham,51165,7882;894118
3857,NH,1;72,8024;37,9-1-2012,43.07,-70.94,4,Rockingham,51165,4665;331395
3741,NH,1;75,5250,08/30/2008,43.64,-72.01,3;79,Grafton,33009,3000
3465,NH,1;75,5250,09/29/2009,42.83,-72.18,3;75,Cheshire,33005,3000
3741,NH,1;75,20588,08/30/2008,43.64,-72.01,3;79,Grafton,33009,11764;57143
3465,NH,1;75,16105;44,09/29/2009,42.83,-72.18,3;75,Cheshire,33005,9203;108571
3049,NH,1.755,5265,07/31/2008,42.73,-71.58,3;87,Hillsborough,33011,3
3049,NH,1.755,16000,07/31/2008,42.73,-71.58,3;87,Hillsborough,33011,9;116809117
