Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
98177,WA,6.24,32000.0,06/14/2013,47.11,-122.76,3;50,King,53033
98650,WA,6.3,36000.0,9/1/2011,47.73,-122.37,4;63,Klickitat,53039
98672,WA,6.31,44170.0,12/22/2009,45.97,-121.53,4;62,Klickitat,53039
98672,WA,6.45,32000.0,8/1/2011,45.82,-121.46,4;62,Klickitat,53039
98019,WA,6.48,23580.0,8/2/2013,45.82,-121.46,2;94,King,53033
98589,WA,6.48,42600.0,12/15/2011,47.73,-121.93,3;10,Thurston,53067
98516,WA,6.6,,07/18/2012,46.84,-122.85,3;13,Thurston,53067
98516,WA,6.6,,8/1/2012,47.11,-122.76,3;13,Thurston,53067
98516,WA,6.6,,09/20/2012,47.11,-122.76,3;13,Thurston,53067
98516,WA,6.6,,09/21/2012,47.11,-122.76,3;13,Thurston,53067
98516,WA,6.6,,10/3/2012,47.11,-122.76,3;13,Thurston,53067
98027,WA,6.89,21600.0,05/15/2013,47.11,-122.76,2;97,King,53033
98620,WA,6.9,40000.0,8/1/2011,47.50,-122.00,5;15,Klickitat,53039
98119,WA,7.2,32084.0,07/28/2011,45.84,-120.76,3;50,King,53033
99301,WA,7.2,56000.0,07/30/2012,47.63,-122.37,5;30,Franklin,53021
98053,WA,7.26,,09/27/2012,46.41,-118.90,3;02,King,53033
98102,WA,7.44,37700.0,8/8/2013,47.66,-122.01,3;50,King,53033
99109,WA,7.56,60431.0,07/13/2010,47.63,-122.32,4;74,Stevens,53065
98229,WA,8.4,49750.0,4/10/2013,48.26,-117.76,3;22,0,0
98620,WA,8.76,13000.0,07/28/2012,48.68,-122.41,0,Klickitat,53039
98119,WA,9.2,44988.0,08/22/2011,0,0,5;15,King,53033
99362,WA,9.6,57000.0,10/12/2012,45.84,-120.76,3;50,Walla Walla,53071
99362,WA,9.8,54000.0,8/7/2012,47.63,-122.37,4;92,Walla Walla,53071
99301,WA,9.84,55995.0,11/12/2012,46.11,-118.30,4;92,Franklin,53021
98801,WA,10,80000,10/10/2001,46.11,-118.30,5;30,Chelan,53007
98801,WA,10,80000,10/1/2000,46.41,-118.90,4;85,Chelan,53007
98801,WA,10.56,84480,12/17/2003,47.37,-120.35,4;85,Chelan,53007
98109,WA,11.04,59502.2,6/3/2011,47.37,-120.35,4;85,King,53033
98665,WA,12.096,85713.0,05/19/2008,47.37,-120.35,3;50,Clark,55019
98072,WA,25.6,,06/21/2011,47.63,-122.34,3;33,King,53033
98253,WA,25.74,210000.0,06/21/2011,45.67,-122.66,3;28,Island,53029
99338,WA,36.0,250000.0,9/1/2011,47.75,-122.09,3;22,Benton,53005
99353,WA,38.7,281000.0,5/2/2002,48.09,-122.57,5;35,Benton,53005
99352,WA,126.72,950000.0,8/1/2010,46.16,-119.25,5;35,Benton,53005
98950,WA,500.0,,10/7/2009,46.31,-119.37,5;34,Kittitas,53037
98027,WA,529.2,2080876.0,05/21/2010,46.32,-119.32,4;96,King,53033
