Zipcode,State,Size (kW DC),Cost,Date Installed
85331,AZ,1.1,15459.0,03/22/2011
85373,AZ,1.1,9967.0,12/20/2010
85302,AZ,1.1,8409.0,11/15/2010
85043,AZ,1.1,9944.0,11/12/2010
85250,AZ,1.1,8967.0,10/25/2010
85120,AZ,1.1,7809.0,10/12/2010
85206,AZ,1.1,9967.0,09/17/2010
85043,AZ,1.1,10517.0,09/15/2010
85204,AZ,1.1,9967.0,9/10/2010
85234,AZ,1.1,10967.0,9/8/2010
85048,AZ,1.1,9927.0,08/25/2010
85048,AZ,1.1,10967.0,08/24/2010
85041,AZ,1.1,9967.0,08/24/2010
85209,AZ,1.1,9967.0,8/6/2010
85249,AZ,1.1,10967.0,6/2/2010
85296,AZ,1.1,8917.0,05/24/2010
85225,AZ,1.1,7100.0,04/16/2010
85022,AZ,1.1,7970.0,4/6/2010
85351,AZ,1.1,9645.0,12/8/2010
85361,AZ,1.1,8294.0,12/20/2010
85350,AZ,1.116,9922.42,08/23/2007
85304,AZ,1.12,8879.0,11/14/2005
85745,AZ,1.12,3734.4,5/6/2011
85304,AZ,1.12,8879,11/16/2005
85282,AZ,1.125,9750.0,2/10/2011
85022,AZ,1.125,23264.45,06/26/2009
86326,AZ,1.125,7460.0,08/15/2011
85023,AZ,1.125,27495.0,08/16/2011
86326,AZ,1.125,6250.0,12/15/2011
85284,AZ,1.15,9890.0,8/6/2013
85224,AZ,1.15,14138.0,6/2/2011
86321,AZ,1.15,8568.0,02/25/2010
85326,AZ,1.15,6661.0,06/16/2010
85345,AZ,1.15,12138.0,04/22/2011
85029,AZ,1.15,12933.0,05/13/2011
86018,AZ,1.15,5000.0,02/13/2012
85743,AZ,1.17,17500.0,01/22/2009
85254,AZ,1.175,5893.08,5/7/2013
86444,AZ,1.18,4200.0,04/25/2011
86409,AZ,1.18,9500.0,01/19/2011
86336,AZ,1.19,10798.43,2/4/2008
85719,AZ,1.19,5723.0,08/26/2010
85705,AZ,1.2,6945.0,12/21/2012
86336,AZ,1.2,9450.0,9/3/2009
85737,AZ,1.2,7553.0,12/6/2011
85020,AZ,1.2,8400.0,07/28/2004
85364,AZ,1.2,,02/15/2012
85364,AZ,1.2,,02/15/2012
85364,AZ,1.2,,02/15/2012
85364,AZ,1.2,,02/15/2012
85364,AZ,1.2,,02/15/2012
86326,AZ,1.2,,03/13/2012
86326,AZ,1.2,,03/13/2012
86326,AZ,1.2,,03/13/2012
86326,AZ,1.2,,03/13/2012
85014,AZ,1.225,10097.49,04/13/2004
85266,AZ,1.225,9832.65,04/27/2005
85308,AZ,1.225,8086.4,01/17/2008
85308,AZ,1.225,8582.9,1/12/2010
85536,AZ,1.23,8863.0,7/11/2007
85122,AZ,1.248,8865.14,4/9/2002
86442,AZ,1.25,9500.0,04/16/2013
86436,AZ,1.25,10000.0,04/16/2013
85364,AZ,1.255,6523.12,4/11/2012
85638,AZ,1.26,4183.0,07/27/2012
86001,AZ,1.26,11690.58,05/28/2008
85374,AZ,1.26,7560.0,04/26/2010
85381,AZ,1.278,10322.4,7/2/2009
85711,AZ,1.29,7852.0,10/12/2009
85374,AZ,1.29,7740.0,5/12/2010
85396,AZ,1.29,7901.3,01/28/2011
86004,AZ,1.292,10400.0,3/11/2008
85282,AZ,1.3,0.0,05/19/2008
86001,AZ,1.302,19160.0,09/16/2008
85616,AZ,1.32,16150.0,5/3/2012
85937,AZ,1.32,28442.13,06/22/2006
85718,AZ,1.32,11220.0,9/3/2010
85711,AZ,1.33,8507.0,3/11/2008
85739,AZ,1.33,12091.0,12/5/2007
85739,AZ,1.33,7996.0,04/16/2008
85367,AZ,1.336,10019.74,6/8/2005
85248,AZ,1.336,12253.81,09/28/2006
86335,AZ,1.336,9994.69,9/9/2004
85248,AZ,1.34,15113,10/16/2006
85605,AZ,1.344,9040.0,10/24/2012
85614,AZ,1.344,8736.0,6/7/2011
85306,AZ,1.344,9594.87,12/12/2006
86001,AZ,1.35,7817.09,05/23/2011
85332,AZ,1.35,5700.0,2/4/2011
86413,AZ,1.35,5625.0,10/28/2010
85713,AZ,1.35,7500.0,09/28/2009
85745,AZ,1.35,9805.0,8/12/2010
85711,AZ,1.35,6780.0,9/10/2010
85614,AZ,1.35,14000.0,05/13/2011
85614,AZ,1.35,14000.0,06/16/2011
85202,AZ,1.35,11990.0,09/17/2010
85387,AZ,1.35,12000.0,09/24/2009
85003,AZ,1.35,11500.0,10/28/2009
85345,AZ,1.35,9500.0,11/25/2009
86351,AZ,1.35,8100.0,11/8/2011
85268,AZ,1.36,12136.0,12/27/2007
86336,AZ,1.36,10610.5,6/8/2006
85637,AZ,1.36,14325.0,6/3/2009
85015,AZ,1.36,10288.0,05/26/2010
85027,AZ,1.36,12667.37,2/1/2005
85296,AZ,1.36,12358,4/4/2006
85268,AZ,1.36,12136,1/2/2008
85614,AZ,1.38,5740.0,4/3/2012
85331,AZ,1.38,6671.52,10/18/2012
85331,AZ,1.38,4133.75,03/25/2013
85375,AZ,1.38,19478.0,08/30/2011
85614,AZ,1.38,9000.0,01/21/2010
85705,AZ,1.38,8243.0,12/21/2010
85742,AZ,1.38,7488.0,7/2/2010
85705,AZ,1.38,8518.0,12/21/2010
85705,AZ,1.38,8638.0,02/22/2011
85705,AZ,1.38,8469.0,07/21/2011
85295,AZ,1.38,7900.0,11/3/2010
85037,AZ,1.38,22417.0,10/3/2011
85249,AZ,1.38,16500.0,09/29/2011
85206,AZ,1.38,17856.0,08/25/2011
85248,AZ,1.38,23730.0,8/3/2011
85323,AZ,1.38,25637.0,8/1/2011
85296,AZ,1.38,16583.8,07/26/2011
85016,AZ,1.38,16980.0,7/12/2011
85226,AZ,1.38,13688.74,06/15/2011
85281,AZ,1.38,15249.0,06/15/2011
85248,AZ,1.38,14383.45,04/29/2011
85325,AZ,1.38,9000.0,8/12/2010
85260,AZ,1.38,19205.0,02/22/2011
85388,AZ,1.38,23390.0,3/3/2011
85086,AZ,1.38,23348.0,03/17/2011
85027,AZ,1.38,18028.0,03/23/2011
85014,AZ,1.38,18000.0,04/26/2011
85308,AZ,1.38,19743.25,5/12/2011
85023,AZ,1.38,15009.5,07/19/2011
85308,AZ,1.38,19024.0,07/22/2011
85308,AZ,1.38,16860.0,08/25/2011
85259,AZ,1.38,6000.0,08/26/2011
85374,AZ,1.38,18044.0,11/29/2011
85364,AZ,1.38,9173.6,01/26/2012
85260,AZ,1.38,6219.0,02/17/2012
86326,AZ,1.38,5700.0,03/14/2012
85331,AZ,1.38,4133.75,02/25/2013
85305,AZ,1.38,14000.0,01/20/2012
85225,AZ,1.38,10616.34,1/9/2012
86336,AZ,1.4,10752.43,02/13/2009
85301,AZ,1.4,11000.0,2/8/2013
85250,AZ,1.4,13074.0,09/25/2006
85705,AZ,1.4,9500.0,03/17/2009
85730,AZ,1.4,7350.0,04/14/2011
85704,AZ,1.4,6727.0,12/22/2010
85614,AZ,1.4,10147.74,4/2/2008
85286,AZ,1.4,5800.0,12/9/2009
85023,AZ,1.4,12870.44,03/23/2006
85006,AZ,1.4,12932.53,06/30/2006
86320,AZ,1.4,12710.0,07/13/2009
85615,AZ,1.4,7000.0,4/12/2011
85250,AZ,1.4,13074,09/27/2006
85638,AZ,1.41,1499.82,09/20/2012
85653,AZ,1.41,17400.0,02/23/2012
85253,AZ,1.41,17635.0,01/23/2013
85741,AZ,1.41,7300.0,07/16/2012
85340,AZ,1.41,11756.02,01/21/2011
85383,AZ,1.41,7900.0,3/1/2012
85253,AZ,1.41,17635.0,03/29/2013
85253,AZ,1.41,17635.0,03/25/2013
85712,AZ,1.41,8954.0,12/16/2010
85614,AZ,1.41,17400.0,8/1/2011
85719,AZ,1.41,8954.0,12/16/2010
86401,AZ,1.41,11000.0,12/15/2010
85297,AZ,1.41,11300.0,10/27/2011
85295,AZ,1.41,11300.0,9/2/2011
85295,AZ,1.41,11300.0,07/21/2011
85253,AZ,1.41,17635.0,07/14/2011
85295,AZ,1.41,11300.0,2/4/2011
85326,AZ,1.41,11300.0,03/16/2011
85396,AZ,1.41,11300.0,04/28/2011
85338,AZ,1.41,11300.0,5/6/2011
85338,AZ,1.41,11300.0,05/18/2011
85395,AZ,1.41,11300.0,06/13/2011
85338,AZ,1.41,11300.0,07/29/2011
85326,AZ,1.41,11300.0,8/10/2011
85395,AZ,1.41,11300.0,8/11/2011
