Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
45120,OH,2;07,12856,1-10-2008,39.98,-82.98,3;93,Clermont,39025,6210;628019,16225;7459
45750,OH,2;1,21145,11/30/2008,38.83,-84.09,3;67,Washington,55131,10069;04762,15371;88525
45174,OH,2;1,18862,6-8-2008,39.42,-81.44,3;93,Hamilton,48193,8981;904762,16460;90164
44411,OH,2;2,71310,11/30/2008,39.15,-84.31,3;47,Portage,55097,32413;63636,15226;28415
43223,OH,2;2,21933,06/20/2007,41.03,-81.05,3;68,Franklin,53021,9969;545455,16147;75956
45204,OH,2;22,31000,05/28/2009,39.98,-82.98,4;01,Hamilton,48193,13963;96396,17755;7541
43209,OH,2;24,24805,6-11-2007,39.09,-84.51,3;63,Franklin,53021,11073;66071,16217;96721
45213,OH,2;29,20243,3-1-2008,39.98,-82.98,3;92,Hamilton,48193,8839;737991,17904;54645
45735,OH,2;31,26563,03/31/2006,39.09,-84.51,3;79,Athens,39009,11499;1342,17461;95902
43078,OH,2;35,,11-1-2010,39.29,-81.92,3;66,Champaign,39021,0,17155
44111,OH,2;4,19262,09/15/2006,40.10,-83.75,3;38,Cuyahoga,39035,8025;833333,16179;67213
43758,OH,2;4,12000,05/26/2005,41.47,-81.67,3;72,Morgan,54065,5000,17807;21311
44222,OH,2;4,,09/15/2006,39.65,-81.86,0,0,0,0,0
44024,OH,2;4,28800,12/31/2005,41.16,-81.52,3;46,Geauga,39055,12000,16562;62295
44212,OH,2;45,15300,12/27/2010,0,0,3;52,Medina,48325,6244;897959,17200;87432
45205,OH,2;5,27500,3-1-2008,41.57,-81.20,4;02,Hamilton,48193,11000,20045;08197
44023,OH,2;5,27900,05/20/2008,41.24,-81.82,3;46,Geauga,39055,11160,17252;73224
45701,OH,2;5,31890,03/31/2006,39.09,-84.51,3;77,Athens,39009,12756,18798;49727
45769,OH,2;5,21793,03/31/2006,41.43,-81.38,3;81,Meigs,47121,8717;2,18997;95082
45877,OH,2;56,46133,03/31/2007,39.32,-82.09,3;55,Putnam,54079,18020;70313,18126;3388
45877,OH,2;56,27634,03/31/2007,39.02,-82.03,3;55,Putnam,54079,10794;53125,18126;3388
45732,OH,2;6,16530,12-11-2009,40.94,-83.96,3;74,Athens,39009,6357;692308,19394;86339
44256,OH,2;63,13960,12/24/2010,40.94,-83.96,3;49,Medina,48325,5307;984791,18307;24317
44805,OH,2;7,15720,10-3-2014,39.50,-82.08,3;5,Ashland,55003,5822;222222,18848;36066
44118,OH,2;7,28200,3-1-2008,41.13,-81.86,3;34,Cuyahoga,39035,10444;44444,17986;72131
45764,OH,2;7,32839,12/31/2007,40.86,-82.31,3;75,Athens,39009,12162;59259,20194;67213
44094,OH,2;7,33218,1-10-2008,41.47,-81.67,3;34,Lake,47095,12302;96296,17986;72131
45764,OH,2;7,19840,12/31/2008,39.45,-82.22,3;75,Athens,39009,7348;148148,20194;67213
45764,OH,2;7,19840,12-1-2008,41.64,-81.40,3;75,Athens,39009,7348;148148,20194;67213
45387,OH,2;72,45665,6-1-2007,39.45,-82.22,3;76,Greene,51079,16788;60294,20398;51366
44270,OH,2;8,13820,11/19/2011,39.45,-82.22,3;47,Wayne,54099,4935;714286,19378;9071
45769,OH,2;8,7800,03/26/2005,39.79,-83.89,3;81,Meigs,47121,2785;714286,21277;70492
43068,OH,2;8,14892,06/27/2005,40.97,-81.78,3;64,Franklin,53021,5318;571429,20328;30601
45710,OH,2;8,18937;83,07/31/2003,39.02,-82.03,3;82,Athens,39009,6763;510714,21333;55191
45711,OH,2;8,33799,03/31/2006,39.95,-82.79,3;76,Athens,39009,12071;07143,20998;46995
45711,OH,2;8,22610;6,03/31/2006,39.22,-82.19,3;76,Athens,39009,8075;214286,20998;46995
43537,OH,2;8,23800,09/30/2008,39.40,-81.95,3;56,Lucas,39095,8500,19881;53005
44111,OH,2.812,6000,01/18/2006,39.40,-81.95,3;38,Cuyahoga,39035,2;13371266,18957182;51
45162,OH,2;88,58149,5-1-2008,41.57,-83.65,3;87,Warren,51187,20190;625,22230;29508
43068,OH,2;88,24681,12/31/2005,41.47,-81.67,3;64,Franklin,53021,8569;791667,20909;11475
43214,OH,2;94,15000,11-10-2009,39.27,-84.10,3;61,Franklin,53021,5102;040816,21168;80328
45701,OH,2;99,25533,12/15/2007,39.95,-82.79,3;77,Athens,39009,8539;464883,22483;00273
44023,OH,2;99,27173,10/13/2009,39.98,-82.98,3;46,Geauga,39055,9087;959866,20634;26776
44676,OH,3,31400,10/17/2008,39.32,-82.09,3;52,Wayne,54099,10466;66667,21062;29508
45701,OH,3,31574,03/31/2007,41.43,-81.38,3;77,Athens,39009,10524;66667,22558;19672
45601,OH,3,23645,06/29/2007,40.68,-82.02,3;79,Ross,39141,7881;666667,22677;86885
45701,OH,3,21891,09/15/2006,39.32,-82.09,3;77,Athens,39009,7297,22558;19672
45701,OH,3,31710,03/31/2006,39.33,-82.98,3;77,Athens,39009,10570,22558;19672
45011,OH,3;06,46757,03/31/2007,39.32,-82.09,3;91,Butler,42019,15280;06536,23863;81967
44601,OH,3;06,25000,06/27/2005,39.32,-82.09,3;46,Stark,39151,8169;934641,21117;34426
45011,OH,3;06,27864,03/31/2007,39.39,-84.56,3;91,Butler,42019,9105;882353,23863;81967
44601,OH,3;06,27382,03/31/2007,40.91,-81.11,3;46,Stark,39151,8948;366013,21117;34426
45701,OH,3;1,20243,03/31/2006,39.39,-84.56,3;77,Athens,39009,6530,23310;13661
45701,OH,3;15,26739,09/30/2008,40.91,-81.11,3;77,Athens,39009,8488;571429,23686;10656
45710,OH,3;2,33134,02/15/2008,39.32,-82.09,3;82,Athens,39009,10354;375,24381;20219
44216,OH,3;26,44910;3,12/30/2007,39.32,-82.09,3;49,Summit,49043,13776;16564,22692;62842
43214,OH,3;36,28935,2-1-2009,39.22,-82.19,3;61,Franklin,53021,8611;607143,24192;91803
45243,OH,3;4,30082,3-5-2008,40.92,-81.63,3;93,Hamilton,48193,8847;647059,26650;98361
45780,OH,3;4,37216,09/30/2008,39.98,-82.98,3;73,Athens,39009,10945;88235,25294;69945
43061,OH,3;5,19250,8-1-2010,39.09,-84.51,3;63,Delaware,42045,5500,25340;57377
44241,OH,3;5,20000,4-1-2011,39.36,-82.13,3;44,Portage,55097,5714;285714,24014;20765
45036,OH,3;5,,12/28/2012,40.26,-83.21,3;89,Warren,51187,0,27155;60109
44106,OH,3;5,29116,5-6-2009,41.23,-81.34,3;32,Cuyahoga,39035,8318;857143,23176;50273
45387,OH,3;57,29661,6-8-2008,39.42,-84.21,3;76,Greene,51079,8308;403361,26773;04918
44654,OH,3;7,19800,07/18/2011,41.47,-81.67,3;53,Holmes,39075,5351;351351,26050;62842
43209,OH,3;7,32497,01/15/2008,39.79,-83.89,3;63,Franklin,53021,8782;972973,26788;60656
45036,OH,3;7,29957,03/31/2008,40.55,-81.91,3;89,Warren,51187,8096;486486,28707;34973
44028,OH,3;85,23000,6-12-2011,39.98,-82.98,3;51,Lorain,39093,5974;025974,26953;15574
45701,OH,3;85,28158,12/31/2006,39.42,-84.21,3;77,Athens,39009,7313;766234,28949;68579
45208,OH,3;9,31974,12/15/2008,41.31,-81.94,3;93,Hamilton,48193,8198;461538,30570;2459
44212,OH,4,24000,10-1-2009,39.32,-82.09,3;52,Medina,48325,6000,28083;06011
45120,OH,4,38149,03/31/2006,39.09,-84.51,3;93,Clermont,39025,9537;25,31354;09836
45701,OH,4,29540,06/30/2008,41.24,-81.82,3;77,Athens,39009,7385,30077;59563
45701,OH,4,26025,03/31/2006,38.83,-84.09,3;77,Athens,39009,6506;25,30077;59563
45701,OH,4;01,29540,06/30/2008,39.32,-82.09,3;77,Athens,39009,7366;583541,30152;78962
43512,OH,4;08,20400,9-10-2008,39.32,-82.09,3;57,Defiance,39039,5000,29051;60656
45776,OH,4;1,35748,3-1-2008,39.32,-82.09,3;81,Athens,39009,8719;02439,31156;63934
45701,OH,4;14,34559,08/16/2007,41.28,-84.36,3;77,Athens,39009,8347;584541,31130;31148
45761,OH,4;14,38563,08/16/2007,39.21,-82.01,3;74,Athens,39009,9314;7343,30882;59016
43713,OH,4;2,18960,12-11-2014,39.32,-82.09,3;57,Belmont,39013,4514;285714,29906;06557
