Zipcode,State,Size (kW DC),Cost,Date Installed
18623,PA,2.0,15500.0,01/25/2010
15101,PA,2.0,9002.12,01/31/2011
17815,PA,2.0,15495.0,03/16/2010
18618,PA,2.0,15995.0,4/12/2010
17241,PA,2.0,15000.0,06/16/2010
15068,PA,2,19158.5,11/3/2009
18610,PA,2,16995,12/15/2009
19382,PA,2.0,11004.0,12/15/2010
19082,PA,2.0,16260.0,11/1/2012
17314,PA,2.0,17000.0,02/24/2012
18054,PA,2.016,18000.0,09/18/2009
19130,PA,2.016,16743.1,11/6/2009
19030,PA,2.016,17600.0,2/9/2010
19130,PA,2.016,16743.1,11/6/2009
18054,PA,2.016,18000,09/18/2009
18088,PA,2.016,11504.0,05/18/2012
17036,PA,2.025,13230.0,12/3/2009
17036,PA,2.025,13230,12/3/2009
17353,PA,2.025,16680.0,1/3/2011
19464,PA,2.03,8000.0,7/11/2012
17517,PA,2.035,10000.0,11/17/2011
18603,PA,2.05,14995.0,10/21/2010
17846,PA,2.05,14995.0,5/3/2010
17322,PA,2.07,17404.0,4/6/2010
19530,PA,2.07,15062.0,05/16/2011
15243,PA,2.07,13947.0,06/21/2010
18940,PA,2.07,17595.0,05/26/2010
17202,PA,2.07,24418.0,04/28/2010
17201,PA,2.07,24168.0,11/4/2009
17728,PA,2.07,12937.5,12/29/2010
18201,PA,2.07,15000.0,12/7/2010
17821,PA,2.07,9625.0,7/10/2012
19464,PA,2.08,8630.29,8/6/2012
17972,PA,2.1,14995.0,01/27/2011
17011,PA,2.1,10500.0,07/22/2011
19526,PA,2.1,16105.0,10/30/2009
15059,PA,2.1,14200.0,08/23/2009
15044,PA,2.1,17438.0,10/13/2009
17747,PA,2.1,16450.0,10/16/2009
19008,PA,2.1,16940.88,12/14/2009
15670,PA,2.1,19000.0,4/8/2010
19147,PA,2.1,16882.8,11/5/2009
15052,PA,2.1,13800.0,4/8/2010
19060,PA,2.1,17750.0,02/19/2010
17921,PA,2.1,19557.0,12/21/2009
19608,PA,2.1,15882.11,3/12/2010
15235,PA,2.1,16000.0,7/12/2010
17074,PA,2.1,15822.03,06/28/2010
19061,PA,2.1,17750,02/19/2010
17921,PA,2.1,19557,12/21/2009
15044,PA,2.1,17438,10/13/2009
19008,PA,2.1,16940.88,12/14/2009
19147,PA,2.1,16882.8,11/5/2009
15059,PA,2.1,14200,08/23/2009
17747,PA,2.1,16450,10/16/2009
19526,PA,2.1,16105,10/30/2009
17309,PA,2.1,12200.0,12/22/2010
15935,PA,2.1,14700.0,12/6/2010
15926,PA,2.1,18900.0,12/6/2010
18466,PA,2.1,14995.0,11/22/2010
19372,PA,2.1,15452.56,11/12/2010
15217,PA,2.115,16814.0,4/1/2011
19606,PA,2.115,,3/7/2012
18444,PA,2.115,9849.0,12/19/2011
19128,PA,2.115,18032.0,07/28/2010
19320,PA,2.115,16001.32,5/6/2010
19066,PA,2.115,13100.0,12/21/2010
17540,PA,2.115,8249.0,5/8/2012
17055,PA,2.115,8799.0,04/26/2012
15208,PA,2.115,13575.0,06/19/2012
17233,PA,2.15,22850.0,01/21/2010
17225,PA,2.15,11000.0,06/14/2010
19075,PA,2.15,17175.0,6/12/2010
17519,PA,2.16,11450.0,10/7/2011
18517,PA,2.16,11332.0,07/15/2011
19317,PA,2.16,17820.0,10/1/2009
19352,PA,2.16,17432.5,11/12/2009
19540,PA,2.16,18450.0,2/8/2010
19106,PA,2.16,17808.0,4/8/2010
16652,PA,2.16,14833.0,6/11/2010
18017,PA,2.16,24000.0,5/6/2010
19352,PA,2.16,17432.5,11/12/2009
19317,PA,2.16,17820,10/1/2009
16823,PA,2.16,14054.31,12/6/2010
19125,PA,2.185,1.722.352.485,9/8/2005
16510,PA,2.2,13450.0,08/19/2011
16504,PA,2.2,13450.0,08/19/2011
19104,PA,2.2,22796.0,2/12/2005
16510,PA,2.205,13450.51,08/31/2011
18951,PA,2.205,8766.28,04/30/2013
18080,PA,2.22,14213.92,07/15/2011
15224,PA,2.22,13200.0,10/19/2011
16335,PA,2.24,7000.0,03/15/2013
17364,PA,2.24,22500.0,3/3/2010
18080,PA,2.24,16440.0,11/18/2009
15668,PA,2.24,20478.0,3/5/2010
17366,PA,2.24,18240.0,11/18/2009
19341,PA,2.24,15217.42,7/1/2004
18080,PA,2.24,16440,11/18/2009
17366,PA,2.24,18240,11/18/2009
19352,PA,2.24,19600.0,12/1/2010
19342,PA,2.25,15320.0,11/24/2010
19426,PA,2.275,12956.0,06/29/2010
19446,PA,2.28,22321.25,5/5/2005
16510,PA,2.3,15640.0,5/10/2011
17837,PA,2.3,13110.0,3/3/2011
19125,PA,2.3,1.815.107.879,9/8/2005
19125,PA,2.3,1.815.107.879,9/8/2005
19125,PA,2.3,1.815.107.879,9/8/2005
19125,PA,2.3,1.815.107.879,9/8/2005
