Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
84124,UT,4;24,16000,12/30/2013,40.70,-111.85,5;74,Salt Lake,49035,3773;584906
84125,UT,4;25,15874,05/30/2013,40.75,-111.90,6;02,0,0,3735;058824
84103,UT,4;3,28680,11/15/2010,40.56,-111.72,5;51,Salt Lake,49035,6669;767442
84747,UT,4;3,35475,8-1-2010,41.17,-112.04,7;42,Wayne,54099,8250
84106,UT,43.092,13920;15,11-4-2011,40.70,-112.05,7;71,Salt Lake,49035,0;323033278
84062,UT,4;32,33253,11-7-2010,37.26,-113.27,7;43,Utah,49049,7697;453704
84093,UT,4;32,39000,10/26/2010,37.18,-113.63,7;71,Salt Lake,49035,9027;777778
84109,UT,4;32,37400,10/13/2010,37.27,-112.23,6,Salt Lake,49035,8657;407407
84047,UT,4;32,38307,09/24/2010,37.18,-113.63,5;78,Salt Lake,49035,8867;361111
84043,UT,4;34,13883,06/21/2013,40.59,-111.81,5;89,Utah,49049,3198;847926
84043,UT,4;34,22875,03/26/2013,41.07,-111.98,5;57,Utah,49049,5270;737327
84124,UT,436.392,14112,06/21/2011,40.67,-111.79,5;87,Salt Lake,49035,0;032337898
84103,UT,4;37,25900,12/15/2010,40.69,-111.99,5;87,Salt Lake,49035,5926;773455
84317,UT,4;41,28991;05,10-1-2010,40.65,-111.83,6;13,Weber,49057,6573;93424
84124,UT,4;48,28000,10/28/2011,40.65,-111.83,5;93,Salt Lake,49035,6250
84646,UT,4;5,24120,09/30/2013,40.21,-111.61,5;76,Sanpete,49039,5360
84098,UT,4;5,24120,11/18/2013,41.15,-112.14,5;72,Summit,49043,5360
84070,UT,4;5,24120,9-3-2013,40.55,-111.96,5;72,Salt Lake,49035,5360
84109,UT,4;5,16380,02/25/2014,40.70,-111.71,5;8,Salt Lake,49035,3640
84037,UT,4;5,16248;65,12/28/2010,41.85,-111.70,5;56,Davis,49011,3610;811111
84067,UT,4;5,34252,12/14/2010,40.99,-111.86,5;78,Weber,49057,7611;555556
