Zipcode,State,Size (kW DC),Cost,Date Installed
44287,OH,6.9,24990.0,05/15/2014
44256,OH,7.0,39000.0,06/27/2010
45440,OH,7.0,32300.0,10/18/2012
44023,OH,7.05,19436.0,10/10/2012
44275,OH,7.2,26250.0,11/7/2014
43812,OH,7.2,23900.0,08/27/2014
45701,OH,7.2,68897,8/5/2008
44805,OH,7.5,25380.0,12/4/2014
44691,OH,7.5,26190.0,09/15/2014
44902,OH,7.5,41294.57,07/22/2009
44622,OH,7.56,27630.0,6/12/2014
44256,OH,7.65,30150.0,11/12/2012
43840,OH,7.8,30500.0,07/22/2014
44256,OH,7.8,35000.0,11/23/2011
44256,OH,7.9,43165.0,06/20/2010
45817,OH,8.1,40500.0,11/5/2010
44115,OH,8.4,186600,6/1/2008
43812,OH,9.0,37296.0,08/16/2013
44654,OH,9.0,44230.0,11/15/2013
43906,OH,9.6,35980.0,12/15/2014
43050,OH,9.75,49000.0,02/21/2013
45229,OH,9.9,105724,04/30/2007
45229,OH,9.9,211788,04/30/2007
44460,OH,10.0,48000.0,01/25/2013
44142,OH,10,80833,8/1/2008
44907,OH,10,15600,09/14/2005
44702,OH,10,1884217,06/30/2007
45701,OH,10.03,78381,10/1/2008
45229,OH,10.08,93995,5/6/2008
44691,OH,10.2,36620.0,09/15/2014
44140,OH,10.3,93300,12/1/2008
44114,OH,10.4,99392,03/16/2006
44608,OH,10.5,36870.0,8/6/2014
44240,OH,10.5,72957,08/18/2009
45150,OH,10.56,225399,10/15/2008
45220,OH,10.8,79500,12/8/2008
43065,OH,10.8,83713,10/15/2009
44240,OH,10.8,77489,10/8/2008
45150,OH,10.88,101788,4/10/2008
44846,OH,10.89,90845,12/16/2008
43319,OH,11.0,49300.0,4/8/2013
45150,OH,11,134702,03/31/2007
44118,OH,11.3,93689,09/15/2009
43832,OH,11.4,34870.0,07/26/2014
44676,OH,12.0,37390.0,12/31/2013
45162,OH,12,101246,11/19/2007
43832,OH,12.25,41490.0,10/8/2014
44615,OH,12.5,56450.0,10/25/2013
44615,OH,13.0,56330.0,02/14/2014
44654,OH,13.0,66430.0,6/8/2012
43452,OH,13,110940,08/22/2008
44702,OH,13.3,1211450,05/31/2007
45714,OH,13.44,102707,11/5/2008
44143,OH,14,140177,12/31/2009
43939,OH,14.4,51650.0,06/23/2014
43560,OH,14.4,122500,02/15/2010
44691,OH,15.9,61500,01/27/2015
43837,OH,16.2,56740.0,08/22/2014
45701,OH,16.4,127759,12/1/2008
43933,OH,17.0,81410.0,11/16/2012
44805,OH,17.5,55280.0,05/15/2014
43143,OH,18.0,61070.0,7/2/2013
43812,OH,18.0,75600.0,9/7/2012
44866,OH,18.9,67280.0,11/25/2014
45385,OH,20,20000,06/27/2005
43160,OH,20,192250,10/29/2009
43311,OH,20,500000,4/6/2009
43311,OH,20,0.0,4/6/2009
45250,OH,21.66,174900,12/9/2008
43605,OH,22,199225,07/20/2008
