Date,Cost/size
1/1/2015,8247
1/1/2014,8247
1/1/2013,8247
1/1/2012,8247
1/1/2011,8524
1/1/2010,8489
1/1/2009,8586
1/1/2008,8710
1/1/2007,8117
1/1/2006,7863
1/1/2005,7844
1/1/2004,7964
1/1/2003,7988
1/1/2002,7985
1/1/2001,7778
1/1/2000,7463
total,8247
