Date,Cost/size
1/1/2015,4911
1/1/2014,4911
1/1/2013,5083
1/1/2012,6290
1/1/2011,7192
1/1/2010,7892
1/1/2009,7820
1/1/2008,5641
1/1/2007,5641
1/1/2006,5641
1/1/2005,5641
1/1/2004,5641
1/1/2003,5641
1/1/2002,5641
1/1/2001,5641
1/1/2000,5641
total,4911
