Date,Cost/size
1/1/2015,6889
1/1/2014,6933
1/1/2013,6957
1/1/2012,7275
1/1/2011,7564
1/1/2010,8488
1/1/2009,9517
1/1/2008,10003
1/1/2007,9971
1/1/2006,9591
1/1/2005,5512
1/1/2004,5512
1/1/2003,5512
1/1/2002,5512
1/1/2001,6562
1/1/2000,6562
total,6875
