Date,Cost/size
1/1/2015,5593
1/1/2014,5593
1/1/2013,5593
1/1/2012,5593
1/1/2011,6285
1/1/2010,6690
1/1/2009,5497
1/1/2008,3100
1/1/2007,3100
1/1/2006,3100
1/1/2005,3100
1/1/2004,3100
1/1/2003,3100
1/1/2002,3100
1/1/2001,3100
1/1/2000,3100
total,5396
