Date,Cost/size
1/1/2015,9483
1/1/2014,10096
1/1/2013,10736
1/1/2012,11205
1/1/2011,11756
1/1/2010,12255
1/1/2009,12805
1/1/2008,14822
1/1/2007,11317
1/1/2006,9703
1/1/2005,6343
1/1/2004,6343
1/1/2003,5923
1/1/2002,5923
1/1/2001,5923
1/1/2000,5923
total,9461
