Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=IL
61525,IL,8.4,45800.0,02/16/2009,
61081,IL,8.4,61110.0,8-11-2010,
60601,IL,8.4,58000.0,07/16/2008,
60439,IL,8.4,49000.0,04/15/2010,
61525,IL,8.4,45800.0,04/20/2010,
62821,IL,8.415,29500.0,03/13/2015,
61802,IL,8.46,48000.0,4-10-2012,
60148,IL,8.46,12804.0,07/24/2007,
62642,IL,8.46,33802.12,4-7-2010,
60202,IL,8.64,72812.0,08/17/2010,
61615,IL,9.0,48872.0,02/16/2012,
61738,IL,9.03,48168.0,12-3-2012,
62670,IL,9.28,38672.0,03/29/2010,
62821,IL,9.52,29500,04/20/2015,
61021,IL,9.6,22999.0,05/23/2012,
62226,IL,9.6,46000.0,3-8-2012,
60970,IL,9.6,62840.0,12/14/2011,
60031,IL,9.6,47780.05,11-11-2011,
60957,IL,9.6,64400.0,12/14/2011,
62226,IL,9.6,,02/22/2012,
60657,IL,9.84,79200.0,5-4-2009,
60060,IL,9.9,67683.0,5-9-2008,
60622,IL,10.0,37611.0,06/27/2012,
60035,IL,10.0,55000.0,12/14/2012,
60443,IL,10.0,72950.0,06/21/2012,
60603,IL,10.0,107395.0,06/30/2002,
60433,IL,10.0,72950.0,06/21/2012,
60608,IL,10.0,99591.0,12/31/2001,
60152,IL,10.0,68725.0,7-9-2008,
60602,IL,10.0,123361.0,10/31/2001,
60090,IL,10.0,65000.0,10-10-2007,
61925,IL,10.0,60000.0,5-1-2008,
61910,IL,10.08,59975.0,05/29/2012,
60187,IL,10.08,143000.0,8-9-2010,
60607,IL,10.08,63390.67,5-7-2010,
61701,IL,10.1,59342.09,11-5-1955,
60645,IL,10.1,90382.0,08/31/2010,
60090,IL,10.1,90382,08/31/2010,
62298,IL,10.2,51400.0,12-5-2012,
61778,IL,10.34,41925.0,8-9-2010,
62827,IL,10.5,27800.0,11-5-2014,
60119,IL,10.56,46835.9,07/29/2011,
62448,IL,10.56,62392.0,8-5-2010,
61109,IL,10.56,85000.0,10/13/1997,
61701,IL,10.6,34480.0,12-11-2007,
60625,IL,10.71,22600.0,11/20/2012,
60608,IL,10.8,176072.0,04/30/2004,
62712,IL,11.0,166000.0,05/31/2003,
62452,IL,11.04,41787.13,6-1-2011,
62711,IL,11.04,60800.0,07/28/2010,
62711,IL,11.2,64000.0,8-10-2010,
60559,IL,11.24,26960.0,12/17/2012,
61822,IL,11.25,112300.0,8-11-2010,
61820,IL,11.25,104300.0,8-5-2010,
61802,IL,11.28,23000.0,4-10-2012,
60605,IL,11.4,122500.0,08/19/2010,
61061,IL,11.4,51560.0,06/28/2011,
60419,IL,11.4,122500.0,08/19/2010,
60103,IL,11.5,61000.0,05/23/2011,
61951,IL,11.52,44800.0,12/31/2011,
60015,IL,12.0,100000.0,04/28/2012,
62821,IL,12.24,52000.0,6-11-2013,
61109,IL,12.3,103000.0,06/30/2010,
61109,IL,12.5,109715.0,8-11-2010,
60614,IL,12.6,75522.56,8-9-2010,
60628,IL,12.8,275000.0,8-5-2010,
62613,IL,13.4,47987.0,1-1-2012,
62565,IL,13.4,67424.0,01/24/2012,
60491,IL,13.42,90608.66,2-1-2011,
61607,IL,13.5,106650.0,03/24/2010,
60440,IL,13.5,474999,01/31/2010,
62703,IL,13.76,116718.0,05/18/2010,
60134,IL,14.0,49530.0,12-11-2007,
62401,IL,14.0,170255.0,3-3-2010,
62025,IL,14.4,82902.0,06/25/2012,
60617,IL,14.4,217803.0,06/30/2009,
60647,IL,16.01,30810.0,11-7-2012,
62002,IL,16.2,101212.0,06/15/2012,
62220,IL,16.5,115670.0,6-5-2012,
61103,IL,16.8,108000.0,12/27/2012,
60464,IL,17.0,91335.0,06/13/2012,
60160,IL,17.7,102000.0,8-9-2010,
60607,IL,18.0,239784.0,11/30/2003,
62565,IL,19.2,101109.0,9-6-2012,
62568,IL,19.2,,05/13/2012,
60160,IL,19.44,110000.0,06/16/2010,
60142,IL,19.74,299750.0,11/18/2011,
60030,IL,19.8,34313.0,11-7-2012,
62568,IL,20.0,110469.0,2-12-2012,
60639,IL,20.0,65000.0,06/30/2012,
62002,IL,20.16,153434.0,8-1-2012,
60624,IL,20.16,207162.0,06/30/2002,
60062,IL,22.67,129700.0,8-5-2010,
62298,IL,23.5,,08/15/2011,
62223,IL,24.0,187694.0,04/22/2012,
62223,IL,24.0,187694.0,04/22/2011,
62901,IL,24.0,240000.0,05/31/2004,
60602,IL,24.48,362694.0,06/30/2003,
60060,IL,24.64,155961.6,08/17/2010,
62010,IL,25.2,226100.0,01/31/2012,
60188,IL,25.2,190000.0,8-9-2010,
61081,IL,28.0,34000.0,08/30/2012,
62002,IL,28.56,111761.0,01/31/2012,
60680,IL,29.0,441634.0,11/30/2001,
62002,IL,30.24,186705.0,8-1-2010,
60148,IL,30.82,192579.0,01/31/2012,
62002,IL,30.96,196154.0,8-5-2010,
60637,IL,32.0,322462.0,09/30/2003,
60628,IL,32.4,455605.0,11/30/2003,
60103,IL,33.3,218000.0,8-9-2010,
60614,IL,33.6,326938.0,06/30/2002,
60093,IL,34.16,231900.0,01/16/2012,
60018,IL,34.16,231900.0,01/16/2012,
62565,IL,37.0,128000.0,06/27/2012,
60606,IL,39.4,439106.0,11/30/2003,
60098,IL,44.6,545718,08/31/2010,
60605,IL,48.9,460777.0,02/28/2003,
60026,IL,49.91,376215.0,8-5-2010,
61021,IL,50.0,500000.0,06/30/2005,
61310,IL,50.0,500125.0,04/30/2005,
60553,IL,50.0,500125.0,10/30/2004,
61367,IL,50.1,517425.0,06/30/2004,
60603,IL,51.48,501373.0,02/28/2003,
60614,IL,51.48,512477.0,06/30/2003,
60608,IL,51.48,504133.0,02/28/2003,
60637,IL,51.84,604785.0,06/30/2003,
60022,IL,54.7,487000,01/31/2010,
61427,IL,60.0,624260.0,06/30/2004,
60067,IL,60.5,750000,12-10-2009,
60101,IL,67.4,395499.0,08/17/2010,
60173,IL,69.09,340356.0,05/29/2012,
62832,IL,75.0,540000.0,02/29/2012,
60609,IL,86.4,453680.0,12-12-2012,
60302,IL,99.0,757380.0,03/30/2012,
60301,IL,99.0,757380.0,03/30/2012,
62025,IL,99.8,894800.0,01/31/2012,
60563,IL,151.8,822115.0,06/25/2012,
60605,IL,264.0,,10/16/2013,
61265,IL,315.6,2053717.0,06/29/2012,
61201,IL,315.6,2053717.0,06/29/2012,
61036,IL,368.0,1335195.88,08/24/2012,
60173,IL,867.0,,07/25/2012,
60440,IL,1124.0,,07/25/2012,
60643,IL,10000.0,,3-1-2010,
