Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=IL
60090,IL,1.84,13085.0,11-10-2010,
62264,IL,1.845,10917.0,8-1-2010,
60602,IL,1.88,5275.23,10/15/2012,
60202,IL,1.88,5275.23,10/15/2012,
61046,IL,1.9,19481.0,08/15/2006,
61064,IL,1.9,15750.0,1-6-2009,
60546,IL,1.9,16421.0,12-11-2007,
62812,IL,1.9,12261.0,7-6-2009,
62711,IL,1.92,8744.09,02/24/2012,
61310,IL,1.925,22000.0,04/14/2008,
60532,IL,1.95,11412.0,03/24/2008,
60640,IL,1.98,17050.0,03/27/2006,
61032,IL,1.98,16796.0,12/18/2007,
60192,IL,2.0,6252.85,07/26/2012,
61820,IL,2.0,19994.0,03/30/2012,
62001,IL,2.0,18748.0,7-9-2007,
60163,IL,2.0,13816.0,04/13/2006,
60518,IL,2.0,19000.0,12/24/2008,
60067,IL,2.0,17896.0,3-2-2007,
60546,IL,2.0,19200.0,03/13/2007,
62902,IL,2.0,23203.0,06/30/2001,
61087,IL,2.0,24000.0,11/30/2003,
61273,IL,2.0,19000.0,6-3-2009,
60613,IL,2.0,22400.0,06/17/2008,
62907,IL,2.0,20457.0,6-10-2009,
60190,IL,2.0,31328.0,11/30/2000,
60515,IL,2.0,18000.0,10-10-2009,
62040,IL,2.0,9641.14,4-9-2010,
60515,IL,2.0,18000.0,4-9-2010,
61802,IL,2.0,13344.78,4-9-2010,
60546,IL,2.0,20000.0,11-1-2006,
61107,IL,2.0,11935.0,01/14/2010,
62901,IL,2.004,21564.0,01/25/2006,
61063,IL,2.025,22000.0,9-9-2008,
60543,IL,2.025,22000.0,7-9-2008,
61362,IL,2.025,17500.0,9-9-2008,
60089,IL,2.025,10703.0,9-2-2011,
60657,IL,2.035,18249.0,5-3-2010,
60647,IL,2.04,24263.0,4-6-2007,
62613,IL,2.04,23280.0,02/16/2010,
61064,IL,2.06,16997.0,01/25/2008,
62711,IL,2.064,18249.0,02/28/2003,
60056,IL,2.07,12880.0,02/26/2011,
61847,IL,2.08,14392.0,05/13/2008,
60919,IL,2.1,36198.0,08/30/2000,
60919,IL,2.1,23604.0,06/30/1999,
60919,IL,2.1,36316.0,08/30/1999,
62969,IL,2.1,14961.0,1-5-2006,
62522,IL,2.1,20108.3,01/25/2008,
60091,IL,2.1,26000.0,04/29/2008,
61368,IL,2.1,6875.0,8-11-2010,
61016,IL,2.1,12560.0,04/16/2010,
60525,IL,2.1,17500.0,6-1-2004,
61350,IL,2.1,14990.0,8-11-2010,
62996,IL,2.16,14943.78,01/26/2012,
60053,IL,2.16,18212.0,06/15/2012,
62948,IL,2.16,17752.0,12/31/2007,
62966,IL,2.16,14943.78,01/26/2012,
61561,IL,2.16,22653.61,4-9-2010,
62237,IL,2.16,21374.0,06/23/2010,
61548,IL,2.2,18305.0,03/17/2009,
60642,IL,2.2,29900.0,7-9-2008,
62025,IL,2.25,29484.0,08/15/2007,
60543,IL,2.28,33100.0,8-10-2007,
61061,IL,2.3,12829.55,4-1-2011,
61067,IL,2.31,26580.0,11/13/2006,
62896,IL,2.34,19865.8,12/29/2009,
60443,IL,2.35,9053.14,3-12-2012,
60056,IL,2.4,16280.0,06/20/2012,
60089,IL,2.4,19200.0,05/15/2012,
60628,IL,2.4,39049.0,11/30/2003,
60647,IL,2.4,28500.0,12/30/2001,
61801,IL,2.4,45397.0,05/22/2008,
60558,IL,2.4,20500.0,06/21/2007,
61064,IL,2.4,18963.0,1-6-2009,
60561,IL,2.4,15000.0,06/15/2011,
60462,IL,2.4,7643.0,02/20/2007,
60561,IL,2.4,15000.0,6-6-2011,
61536,IL,2.42,18479.0,11-1-2011,
60178,IL,2.45,26750.0,03/27/2009,
60625,IL,2.45,28554.88,4-9-2010,
62901,IL,2.47,18753.0,08/15/2007,
60137,IL,2.5,13250.0,11/19/2012,
61530,IL,2.5,24974.0,12-10-2008,
62002,IL,2.5,11194.5,12/23/2011,
61528,IL,2.5,24282.0,06/24/2009,
60423,IL,2.5,25250.0,6-3-2009,
62896,IL,2.5,16663.0,06/28/2010,
61571,IL,2.52,34000.0,5-11-2010,
61048,IL,2.52,17900.0,01/14/2010,
60614,IL,2.55,106023.0,8-9-2010,
61265,IL,2.592,28813.0,03/22/2010,
61028,IL,2.592,28813.0,03/22/2010,
60201,IL,2.6,26210.0,02/18/2010,
61606,IL,2.64,21000.0,3-12-2009,
61103,IL,2.64,10928.0,10-3-2011,
60402,IL,2.66,23200.0,03/28/2006,
60514,IL,2.688,30172.19,03/26/2010,
60008,IL,2.688,14433.01,03/26/2010,
61028,IL,2.688,30172.19,03/26/2010,
60640,IL,2.7,30560.0,07/16/2008,
61032,IL,2.72,22265.0,1-6-2009,
61455,IL,2.72,24135.0,12/17/2009,
60068,IL,2.73,28260.0,01/14/2010,
62711,IL,2.76,14900.0,03/21/2012,
60614,IL,2.76,24924.0,06/15/2012,
60565,IL,2.778,21382.0,08/20/2010,
60523,IL,2.8,25848.0,7-9-2008,
60601,IL,2.8,36512.0,8-1-2007,
61801,IL,2.8,30119.0,11/26/2008,
60457,IL,2.8,29900.0,4-7-2008,
61244,IL,2.8,18900.0,12-4-2010,
62002,IL,2.8,28550.0,8-11-2010,
60098,IL,2.8,8558.96,03/22/2010,
61084,IL,2.8,21226.0,01/14/2010,
61053,IL,2.8,21895.0,2-4-2010,
60657,IL,2.82,21280.0,12/22/2011,
60062,IL,2.82,25660.0,08/17/2010,
60612,IL,2.85,37230.0,8-1-2007,
61068,IL,2.86,30000.0,11/28/2007,
61081,IL,2.86,33000.0,03/18/2008,
61802,IL,2.87,26796.0,12-11-2007,
61477,IL,2.88,16934.04,9-1-2012,
60008,IL,2.88,19853.0,06/21/2012,
60622,IL,2.88,22950.0,11/14/2011,
60563,IL,2.88,55141.0,12/31/1999,
60192,IL,2.88,25428.0,06/30/2003,
61063,IL,2.88,34206.0,10/15/2000,
62896,IL,2.88,30095.0,12-11-2007,
61530,IL,2.88,28785.0,05/31/2003,
61081,IL,2.9,18771.0,8-3-2011,
62565,IL,2.912,19421.0,04/23/2012,
62565,IL,2.912,24889.0,04/26/2010,
61614,IL,2.936,34000.0,2-3-2010,
61301,IL,2.94,11318.0,5-12-2010,
61745,IL,2.97,33374.0,3-2-2007,
62675,IL,2.97,29658.0,2-3-2010,
61531,IL,2.98,26528.0,12/27/2007,
60417,IL,3.0,23950.0,06/24/2012,
60188,IL,3.0,9158.13,11/30/2012,
62501,IL,3.0,29481.0,1-6-2009,
61362,IL,3.0,26539.0,08/21/2006,
60010,IL,3.0,33156.0,1-12-2009,
60444,IL,3.0,28000.0,04/24/2006,
60564,IL,3.0,41354.0,11/30/2006,
61822,IL,3.0,32421.0,4-7-2008,
61822,IL,3.0,31148.0,11/25/2008,
60558,IL,3.0,29260.0,12/29/2009,
60625,IL,3.0,33480.0,7-9-2008,
60613,IL,3.0,39161.0,06/30/2002,
62012,IL,3.0,20945.0,12/20/2006,
60608,IL,3.0,35000.0,8-10-2009,
62058,IL,3.0,34098.0,10/31/2001,
62234,IL,3.0,20675.0,8-6-2010,
61778,IL,3.0,23324.0,5-12-2010,
60201,IL,3.0,27960.0,02/16/2010,
60010,IL,3.0,26260.0,01/14/2010,
62703,IL,3,30000,4-9-2010,
60010,IL,3.0,26260.0,10-1-2009,
62704,IL,3.0,27000.0,8-11-2010,
60187,IL,3.004,28200.0,6-3-2009,
61053,IL,3.06,26680.0,12-2-2008,
61054,IL,3.06,26710.0,09/19/2006,
62047,IL,3.1,33400.0,7-9-2008,
60637,IL,3.12,24885.0,06/29/2012,
60614,IL,3.12,24990.0,11-12-2011,
60035,IL,3.12,37687.0,12/31/2007,
60555,IL,3.125,16407.0,7-6-2009,
60506,IL,3.15,26247.0,06/21/2007,
62959,IL,3.15,32157.0,8-6-2009,
60532,IL,3.2,25171.24,02/16/2010,
61854,IL,3.2,19500.0,12-1-2011,
61008,IL,3.2,24194.0,02/17/2009,
60712,IL,3.2,24600.0,6-12-2009,
61085,IL,3.2,26700.0,08/29/2009,
61085,IL,3.2,25171.24,02/16/2010,
60014,IL,3.22,22500.0,4-1-2011,
60030,IL,3.22,21840.0,4-6-2011,
61301,IL,3.24,32710.0,09/26/2008,
62069,IL,3.24,34067.0,11/25/2008,
62025,IL,3.24,32123.0,8-11-2010,
60133,IL,3.25,15580.0,12-11-2007,
60062,IL,3.26,27900.0,04/30/2010,
60545,IL,3.264,27600.0,02/26/2009,
61011,IL,3.3,12193.0,09/19/2006,
60008,IL,3.3,21850.0,12-1-2011,
60192,IL,3.3,31271.0,12-2-2008,
60919,IL,3.36,37500.0,12/31/2001,
62958,IL,3.36,18173.67,09/30/2011,
61764,IL,3.36,35845.0,02/18/2010,
62703,IL,3.36,29114.0,5-1-2010,
61571,IL,3.404,23950.0,06/24/2009,
60062,IL,3.43,27750.0,09/14/2011,
60614,IL,3.45,32450.0,06/13/2012,
60714,IL,3.5,21000.0,12-12-2012,
60056,IL,3.5,25560.0,4-9-2010,
60614,IL,3.5,38694.0,4-9-2007,
60712,IL,3.5,35000.0,01/23/2009,
60035,IL,3.5,35000.0,04/23/2009,
61013,IL,3.5,27127.0,12-11-2007,
62421,IL,3.5,33504.0,8-10-2010,
61036,IL,3.5,25560.0,4-9-2010,
60657,IL,3.52,23200.0,07/28/2010,
60618,IL,3.52,23200.0,07/28/2010,
62711,IL,3.525,21171.6,5-1-2012,
61571,IL,3.584,31524.0,02/16/2010,
61546,IL,3.584,35107.0,03/24/2010,
61021,IL,3.6,16100.0,12/22/2012,
62401,IL,3.6,22490.0,4-7-2008,
60067,IL,3.6,31486.0,04/15/2009,
