Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=2&minsize=0&state=CA
92256,CA,0.512,2571.0,12/16/2002,
92130,CA,0.512,4967.0,10/25/2002,
91301,CA,0.52,6899.12,02/27/2007,
95228,CA,0.521,2857.35,6-8-2001,
92256,CA,0.5232,4340.28,12-6-2000,
95969,CA,0.525,2836.86,04/13/2007,
95503,CA,0.525,2950.0,6-2-2006,
92354,CA,0.525,5997.0,11/24/2003,
92627,CA,0.525,2578.0,03/19/2004,
94706,CA,0.5268,3179.53,08/16/2002,
94563,CA,0.5328,3834.6,11-8-1999,
93675,CA,0.535,6079.0,07/29/2003,
95547,CA,0.545,4636.14,02/15/2002,
92627,CA,0.5472,4313.0,10-5-2001,
91711,CA,0.558,4889.61,01/16/2002,
95228,CA,0.55848,2857.35,6-8-2001,
94303,CA,0.562,5752.0,8-9-2002,
93015,CA,0.562,7104.0,02/19/2002,
94558,CA,0.562,3355.74,2-5-2003,
90278,CA,0.568,9920.56,11/21/2001,
92307,CA,0.569,5802.32,05/24/2001,
95945,CA,0.572,6463.0,6-11-1999,
94567,CA,0.573,4519.44,6-12-2000,
93675,CA,0.5736,6079.0,07/29/2003,
95918,CA,0.579,7659.34,11-8-1999,
91711,CA,0.58,3174.48,02/22/2001,
95815,CA,0.58,,12/19/2002,
95815,CA,0.58,,12/19/2002,
95815,CA,0.58,,12/19/2002,
95815,CA,0.58,,12/19/2002,
92086,CA,0.581,4356.23,11/28/2000,
95547,CA,0.5844,4636.14,02/15/2002,
95476,CA,0.585,8000.0,11/15/2005,
90273,CA,0.591,4863.18,07/22/2002,
92028,CA,0.592,3428.46,06/19/2002,
91711,CA,0.59736,4889.61,01/16/2002,
92260,CA,0.6,3638.56,04/13/2007,
93432,CA,0.6,6890.99,04/27/2006,
90049,CA,0.6,7200.0,12/31/2002,
95521,CA,0.6,5305.93,8-2-2002,
95956,CA,0.6,8181.75,8-7-2002,
91710,CA,0.6,7200.0,08/22/2003,
94037,CA,0.6,3924.58,03/30/2004,
94025,CA,0.6,8400.59,02/20/2004,
95032,CA,0.6,7500.0,12/29/2004,
93117,CA,0.6,3532.2,11/18/2005,
93446,CA,0.6,6890.99,04/27/2006,
93015,CA,0.6024,7104.0,02/19/2002,
94558,CA,0.6024,3355.74,2-5-2003,
94303,CA,0.60264,5752.0,8-9-2002,
90278,CA,0.6084,9920.56,11/21/2001,
92307,CA,0.60912,5802.32,05/24/2001,
95945,CA,0.6132,6463.0,6-11-1999,
94567,CA,0.6144,4519.44,6-12-2000,
92084,CA,0.62,6806.97,1-7-2004,
95918,CA,0.6204,7659.34,11-8-1999,
91711,CA,0.6216,3174.48,02/22/2001,
92086,CA,0.621984,4356.23,11/28/2000,
95404,CA,0.63,7857.43,2-4-2002,
91744,CA,0.63,2546.1,8-12-2003,
95409,CA,0.632,4500.0,06/28/2004,
90278,CA,0.6336,4863.18,07/22/2002,
92028,CA,0.6348,3428.46,06/19/2002,
94559,CA,0.64,6654.0,7-9-2007,
95959,CA,0.64,3323.52,02/17/2006,
92262,CA,0.64,7927.5,04/16/2002,
90706,CA,0.64,7565.44,05/20/2005,
92835,CA,0.645,3823.16,10/23/2001,
93514,CA,0.65,7427.0,7-10-2007,
92004,CA,0.65,7283.0,05/27/2004,
95827,CA,0.65,,4-1-1999,
92104,CA,0.657,4434.99,01/18/2001,
92068,CA,0.66,4697.32,5-9-2007,
92104,CA,0.66,3921.2,3-10-2006,
93449,CA,0.66,6420.95,03/29/2002,
93023,CA,0.66,7170.27,07/29/2003,
92240,CA,0.66,5995.0,3-5-2004,
92646,CA,0.66,4620.0,06/29/2004,
95949,CA,0.66,9782.27,9-5-2007,
95959,CA,0.66,8185.77,05/24/2007,
95959,CA,0.66,8185.77,05/24/2007,
95949,CA,0.66,9782.27,1-12-2007,
95959,CA,0.66,8185.77,05/24/2007,
95959,CA,0.66,8185.77,05/24/2007,
95949,CA,0.66,9782.27,06/14/2007,
95949,CA,0.66,8185.71,06/14/2007,
95949,CA,0.66,8185.71,06/14/2007,
95949,CA,0.66,8185.71,9-5-2007,
95949,CA,0.66,8185.71,4-2-2007,
95949,CA,0.66,8185.71,9-5-2007,
95949,CA,0.66,9782.27,03/23/2007,
95949,CA,0.66,9782.27,4-2-2007,
92241,CA,0.66,5995.0,3-5-2004,
92647,CA,0.66,4620.0,06/29/2004,
95959,CA,0.66,9782.27,9-5-2007,
95959,CA,0.66,9782.27,1-12-2007,
95959,CA,0.66,9782.27,06/14/2007,
95959,CA,0.66,8185.71,06/14/2007,
95959,CA,0.66,8185.71,06/14/2007,
95959,CA,0.66,8185.71,4-2-2007,
95959,CA,0.66,8185.71,9-5-2007,
95959,CA,0.66,9782.27,03/23/2007,
95959,CA,0.66,9782.27,4-2-2007,
92086,CA,0.66,4697.32,5-9-2007,
93555,CA,0.666,6226.0,9-4-2001,
94903,CA,0.668,6987.0,04/26/2007,
95404,CA,0.674784,7857.43,2-4-2002,
