Date,Annual generated
1/1/2015,6634038
1/1/2014,7046431
1/1/2013,6815310
1/1/2012,8892692
1/1/2011,11480069
1/1/2010,10256284
1/1/2009,81691
1/1/2008,78782
1/1/2007,78782
1/1/2006,85174
1/1/2005,100691
1/1/2004,387486
1/1/2003,387486
1/1/2002,387486
1/1/2001,387486
1/1/2000,387486
total,6634038
