Date,Annual generated
1/1/2015,44932275
1/1/2014,45286738
1/1/2013,47272359
1/1/2012,9106761
1/1/2011,14732493
1/1/2010,29409890
1/1/2009,12860042
1/1/2008,6831457
1/1/2007,6481982
1/1/2006,6392401
1/1/2005,4048695
1/1/2004,2156959
1/1/2003,61708
1/1/2002,82554
1/1/2001,150088
1/1/2000,0
total,44932275
