Date,Annual generated
1/1/2015,1436839
1/1/2014,1438656
1/1/2013,1439735
1/1/2012,1693213
1/1/2011,1829954
1/1/2010,1131544
1/1/2009,585345
1/1/2008,486339
1/1/2007,774262
1/1/2006,374273
1/1/2005,412912
1/1/2004,456907
1/1/2003,50150
1/1/2002,37216
1/1/2001,22194
1/1/2000,24579
total,1515052
