Date,Size
1/1/2015,5091
1/1/2014,5091
1/1/2013,4465
1/1/2012,4177
1/1/2011,3506
1/1/2010,2042
1/1/2009,669
1/1/2008,499
1/1/2007,301
1/1/2006,294
1/1/2005,294
1/1/2004,282
1/1/2003,248
1/1/2002,230
1/1/2001,230
1/1/2000,206
total,5091
