Size
0
5.4
25935.751
231104.647
369752.19399999926
430336.9889999993
459621.5869999997
472263.4659999998
476824.18399999925
479185.0479999999
481329.3910000001
482210.60099999985
482870.58899999986
483170.49299999984
483209.1639999998
483217.4239999998
