Date,Size
1/1/2015,20072
1/1/2014,20072
1/1/2013,19465
1/1/2012,18965
1/1/2011,8785
1/1/2010,3564
1/1/2009,1886
1/1/2008,1348
1/1/2007,869
1/1/2006,416
1/1/2005,26
1/1/2004,0
1/1/2003,0
1/1/2002,0
1/1/2001,0
1/1/2000,0
total,20072
