Date,Size
1/1/2015,1030
1/1/2014,990
1/1/2013,625
1/1/2012,595
1/1/2011,443
1/1/2010,208
1/1/2009,131
1/1/2008,128
1/1/2007,121
1/1/2006,0
1/1/2005,0
1/1/2004,0
1/1/2003,0
1/1/2002,0
1/1/2001,0
1/1/2000,0
total,1030
