Date,Annual generated
1/1/2015,2052
1/1/2014,1931
1/1/2013,1819
1/1/2012,1819
1/1/2011,1223
1/1/2010,100
1/1/2009,61
1/1/2008,61
1/1/2007,61
1/1/2006,61
1/1/2005,61
1/1/2004,61
1/1/2003,43
1/1/2002,0
1/1/2001,0
1/1/2000,0
total,2052
