Date,Annual generated
1/1/2015,10993925990292
1/1/2014,10993925990292
1/1/2013,10993925848331
1/1/2012,10993925848331
1/1/2011,10993904453223
1/1/2010,331530
1/1/2009,246786
1/1/2008,227110
1/1/2007,206160
1/1/2006,180332
1/1/2005,0
1/1/2004,0
1/1/2003,0
1/1/2002,0
1/1/2001,0
1/1/2000,0
total,10993925990292
