Date,Annual generated
1/1/2015,1066061046
1/1/2014,1065970365
1/1/2013,1063890765
1/1/2012,978603054
1/1/2011,925882709
1/1/2010,371072369
1/1/2009,147432949
1/1/2008,84062605
1/1/2007,82771914
1/1/2006,23879347
1/1/2005,23461877
1/1/2004,21857417
1/1/2003,1229768
1/1/2002,707423
1/1/2001,236589
1/1/2000,147080
total,1128639628
