Date,Annual generated
1/1/2015,976368825476
1/1/2014,976368825476
1/1/2013,1010488726687
1/1/2012,237358188
1/1/2011,148682001
1/1/2010,49771508
1/1/2009,41231632
1/1/2008,40256288
1/1/2007,44375391
1/1/2006,43849388
1/1/2005,39422012
1/1/2004,171683
1/1/2003,171683
1/1/2002,171683
1/1/2001,171683
1/1/2000,0
total,976368825476
