Date,Annual generated
1/1/2015,8832616
1/1/2014,8569675
1/1/2013,7213081
1/1/2012,5881374
1/1/2011,4316235
1/1/2010,2931983
1/1/2009,1962609
1/1/2008,1269327
1/1/2007,669553
1/1/2006,456405
1/1/2005,327375
1/1/2004,178433
1/1/2003,85011
1/1/2002,19744
1/1/2001,5511
1/1/2000,4384
total,8832705
