Date,Annual generated
1/1/2015,1717247462071
1/1/2014,1717239400985
1/1/2013,1435787265423
1/1/2012,880796693000
1/1/2011,331180554693
1/1/2010,163535448850
1/1/2009,102868755401
1/1/2008,78261845768
1/1/2007,45956204482
1/1/2006,17459916450
1/1/2005,2844306170
1/1/2004,182734815
1/1/2003,4991210
1/1/2002,57188
1/1/2001,0
1/1/2000,0
total,1717247462071
