Date,Annual generated
1/1/2015,18459
1/1/2014,15991
1/1/2013,13502
1/1/2012,12253
1/1/2011,10778
1/1/2010,9170
1/1/2009,6997
1/1/2008,3988
1/1/2007,2451
1/1/2006,931
1/1/2005,440
1/1/2004,21
1/1/2003,0
1/1/2002,0
1/1/2001,0
1/1/2000,0
total,18459
