Date,Annual generated
1/1/2015,144414
1/1/2014,144414
1/1/2013,144414
1/1/2012,138315
1/1/2011,138315
1/1/2010,131599
1/1/2009,86654
1/1/2008,18751
1/1/2007,9749
1/1/2006,5533
1/1/2005,1371
1/1/2004,1005
1/1/2003,670
1/1/2002,269
1/1/2001,0
1/1/2000,0
total,144414
