Date,Cost/size
1/1/2015,9093
1/1/2014,9093
1/1/2013,9093
1/1/2012,9093
1/1/2011,9093
1/1/2010,9124
1/1/2009,9765
1/1/2008,9765
1/1/2007,0
1/1/2006,0
1/1/2005,0
1/1/2004,0
1/1/2003,0
1/1/2002,0
1/1/2001,0
1/1/2000,0
total,9093
