Date,Cost/size
1/1/2015,8267
1/1/2014,8267
1/1/2013,8267
1/1/2012,8604
1/1/2011,8609
1/1/2010,9055
1/1/2009,9168
1/1/2008,9137
1/1/2007,9066
1/1/2006,9262
1/1/2005,8962
1/1/2004,9419
1/1/2003,9853
1/1/2002,8198
1/1/2001,8198
1/1/2000,8198
total,8267
