Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=4&minsize=3&state=CA
90723,CA,3.0,,3-12-2012,
93543,CA,3.0,,10/14/2013,
92301,CA,3.0,0.0,12-10-2013,
93065,CA,3.0,24088.3,9-8-2006,
94070,CA,3.0,21658.38,08/25/2006,
95602,CA,3.0,27750.0,11/16/2006,
95472,CA,3.0,23324.0,02/15/2008,
91001,CA,3.0,38000.0,06/22/2007,
95602,CA,3.0,26930.0,11/22/2006,
92392,CA,3.0,24115.32,2-6-2007,
92277,CA,3.0,0.0,11-11-2013,
92311,CA,3.0,14700.0,01/21/2014,
92311,CA,3.0,27947.0,01/14/2009,
92019,CA,3.0,20233.86,06/15/2007,
94954,CA,3.0,26596.48,01/24/2007,
93940,CA,3.0,27593.24,5-9-2007,
92373,CA,3.0,34140.29,04/17/2007,
92314,CA,3.0,27544.87,3-12-2008,
91042,CA,3.0,21000.0,12-9-2002,
92336,CA,3.0,0.0,12/14/2013,
92344,CA,3.0,15000.0,11-4-2011,
92346,CA,3.0,12150.0,07/29/2013,
90210,CA,3.0,19299.0,2-6-2003,
94025,CA,3.0,25097.19,12/28/2007,
94114,CA,3.0,26693.08,08/14/2007,
94530,CA,3.0,23704.25,5-11-2007,
93101,CA,3.0,29200.0,07/27/2007,
93446,CA,3.0,14985.0,04/26/2007,
95448,CA,3.0,26071.0,10/26/2007,
95472,CA,3.0,43400.0,7-10-2007,
92262,CA,3.0,15300.0,10/23/2013,
92307,CA,3.0,0.0,07/25/2013,
90255,CA,3.0,23983.57,11-3-2005,
95003,CA,3.0,23915.4,07/20/2006,
95003,CA,3.0,23615.0,07/20/2006,
94949,CA,3.0,23480.0,6-7-2006,
93065,CA,3.0,23982.49,01/20/2006,
94710,CA,3.0,26556.87,03/21/2006,
95062,CA,3.0,32692.1,05/19/2006,
95966,CA,3.0,28848.75,10/17/2006,
94131,CA,3.0,24885.0,08/16/2006,
94550,CA,3.0,17247.63,04/26/2007,
91762,CA,3.0,16820.0,10-3-2011,
95010,CA,3.0,21928.75,8-4-2006,
95062,CA,3.0,21355.4,04/27/2006,
95688,CA,3.0,17403.43,06/16/2006,
93035,CA,3.0,24278.2,06/15/2007,
90405,CA,3.0,24899.56,05/31/2006,
90806,CA,3.0,20793.0,5-4-2006,
92509,CA,3.0,21535.28,4-11-2006,
95490,CA,3.0,20392.0,8-4-2006,
90043,CA,3.0,24817.47,05/30/2006,
93023,CA,3.0,24069.91,05/26/2006,
91354,CA,3.0,24115.86,05/31/2006,
95338,CA,3.0,22115.77,11-9-2006,
92036,CA,3.0,22962.54,5-4-2006,
93010,CA,3.0,25990.54,6-6-2006,
94920,CA,3.0,23201.9,06/30/2006,
93611,CA,3.0,21559.73,11-7-2006,
92256,CA,3.0,20233.6,06/14/2007,
91024,CA,3.0,24635.2,06/30/2006,
91010,CA,3.0,22253.07,8-2-2006,
93611,CA,3.0,22115.77,03/29/2007,
95632,CA,3.0,11274.0,2-7-2014,
95630,CA,3.0,10028.0,02/19/2014,
91766,CA,3.0,14650.0,02/18/2011,
91770,CA,3.0,14700.0,01/17/2014,
92109,CA,3.0,24847.0,4-7-2009,
91780,CA,3.0,21090.0,12-3-2012,
91780,CA,3.0,21000.0,10/13/2009,
91784,CA,3.0,21474.0,08/16/2010,
92120,CA,3.0,16535.0,10-1-2013,
91311,CA,3.0,20700.0,11/25/2002,
95621,CA,3.0,20453.35,03/17/2011,
91786,CA,3.0,0.0,12/13/2013,
91789,CA,3.0,22600.0,7-10-2013,
91801,CA,3.0,32230.0,08/18/2010,
90720,CA,3.0,0.0,09/24/2013,
90807,CA,3.0,0.0,12-11-2013,
91730,CA,3.0,0.0,11/14/2013,
92211,CA,3.0,13941.0,12/18/2013,
91311,CA,3.0,0.0,12/14/2013,
