Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=6&minsize=5&state=CA
92260,CA,5.0,20000.0,1-4-2013,
92260,CA,5.0,17700.0,1-7-2014,
92260,CA,5.0,15800.0,08/27/2013,
95662,CA,5.0,21000.0,02/24/2012,
91362,CA,5.0,24500.0,2-6-2014,
91362,CA,5.0,32500.0,07/23/2013,
91377,CA,5.0,0.0,12/14/2013,
91381,CA,5.0,35900.0,09/20/2013,
91381,CA,5.0,24500.0,2-7-2014,
91384,CA,5.0,35500.0,10-4-2012,
91384,CA,5.0,26180.23,10-4-2012,
95608,CA,5.0,23843.32,09/14/2012,
91384,CA,5.0,19500.0,6-6-2013,
91387,CA,5.0,30000.0,01/15/2014,
91387,CA,5.0,24500.0,01/13/2014,
91387,CA,5.0,23750.0,2-7-2014,
95683,CA,5.0,0.0,03/20/2013,
95655,CA,5.0,0.0,3-6-2013,
95630,CA,5.0,21889.12,6-3-2013,
91390,CA,5.0,24500.0,01/31/2014,
91390,CA,5.0,26526.54,06/20/2013,
95828,CA,5.0,5727.0,08/15/2013,
95626,CA,5.0,0.0,4-10-2013,
95828,CA,5.0,21897.14,06/24/2013,
95827,CA,5.0,21899.52,06/19/2013,
95827,CA,5.0,21228.05,06/24/2013,
91709,CA,5.0,24500.0,01/31/2014,
95757,CA,5.0,23621.94,06/19/2013,
95757,CA,5.0,21347.0,7-5-2013,
95823,CA,5.0,21126.9,07/25/2013,
95828,CA,5.0,21858.12,07/16/2013,
91709,CA,5.0,34000.0,02/17/2014,
91709,CA,5.0,26000.0,01/23/2014,
95670,CA,5.0,0.0,11/19/2013,
95757,CA,5.0,21313.87,08/21/2013,
95662,CA,5.0,21135.63,09/19/2013,
91709,CA,5.0,24500.0,1-10-2014,
95758,CA,5.0,24500.0,09/24/2013,
95838,CA,5.0,22287.84,09/19/2013,
95758,CA,5.0,22086.31,09/24/2013,
95662,CA,5.0,22451.01,11-7-2013,
95621,CA,5.0,21677.29,09/26/2013,
95822,CA,5.0,18000.0,08/30/2013,
95624,CA,5.0,0.0,9-9-2013,
95608,CA,5.0,21335.0,08/30/2013,
95758,CA,5.0,22635.84,09/18/2013,
95693,CA,5.0,0.0,08/29/2013,
95829,CA,5.0,0.0,08/29/2013,
95829,CA,5.0,17000.0,09/17/2013,
95630,CA,5.0,20572.26,10-3-2013,
95624,CA,5.0,0.0,09/26/2013,
95630,CA,5.0,0.0,09/30/2013,
95757,CA,5.0,21495.0,10-8-2013,
95834,CA,5.0,29200.0,11-6-2013,
95843,CA,5.0,0.0,10-3-2013,
95628,CA,5.0,21000.0,10-3-2013,
95630,CA,5.0,0.0,10-10-2013,
95843,CA,5.0,0.0,10-10-2013,
95829,CA,5.0,0.0,10/21/2013,
95630,CA,5.0,0.0,10/21/2013,
95610,CA,5.0,0.0,10/21/2013,
95621,CA,5.0,0.0,10/21/2013,
95670,CA,5.0,0.0,10/25/2013,
95826,CA,5.0,0.0,10/25/2013,
95742,CA,5.0,0.0,10/31/2013,
95831,CA,5.0,0.0,11-5-2013,
95758,CA,5.0,0.0,11/14/2013,
95670,CA,5.0,25933.0,11/18/2013,
95632,CA,5.0,0.0,11/21/2013,
95662,CA,5.0,0.0,11/20/2013,
95843,CA,5.0,0.0,11/26/2013,
95670,CA,5.0,5220.0,12-10-2013,
95815,CA,5.0,0.0,11/26/2013,
95673,CA,5.0,0.0,12-10-2013,
95610,CA,5.0,0.0,12/18/2013,
95821,CA,5.0,18250.0,1-3-2014,
95831,CA,5.0,24500.0,01/21/2014,
90630,CA,5.0,24500.0,01/13/2014,
94960,CA,5.0,33300.24,08/17/2009,
90631,CA,5.0,30450.0,10/21/2013,
90638,CA,5.0,24500.0,1-6-2014,
90640,CA,5.0,25970.0,03/13/2013,
90640,CA,5.0,10489.86,10/15/2012,
90640,CA,5.0,29500.0,01/16/2014,
90640,CA,5.0,33450.64,1-11-2013,
90650,CA,5.0,23802.0,9-5-2013,
90680,CA,5.0,16969.84,10/23/2013,
90703,CA,5.0,25569.25,10-9-2013,
90710,CA,5.0,16969.84,12-4-2013,
90713,CA,5.0,24500.0,01/24/2014,
90717,CA,5.0,20287.53,11-11-2013,
90717,CA,5.0,24500.0,01/13/2014,
90720,CA,5.0,25750.0,12-7-2012,
90720,CA,5.0,24500.0,01/17/2014,
90740,CA,5.0,24747.0,7-3-2013,
90745,CA,5.0,23307.0,01/24/2013,
90746,CA,5.0,21250.0,11-8-2013,
90806,CA,5.0,24500.0,01/24/2014,
90808,CA,5.0,24174.0,03/14/2013,
90815,CA,5.0,24570.0,7-3-2013,
91001,CA,5.0,24500.0,01/29/2014,
91006,CA,5.0,22500.0,2-4-2014,
95376,CA,5.0,47040.0,1-8-2008,
91008,CA,5.0,28900.0,12/30/2013,
91011,CA,5.0,24500.0,02/14/2014,
91016,CA,5.0,19470.22,10/28/2013,
