Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=TN
37062,TN,3.33,,04/18/2011,
37027,TN,3.43,,09/24/2012,
38063,TN,3.599.999.905,,10/22/2009,
37303,TN,3.599.999.905,,08/31/2010,
37329,TN,3.599.999.905,,08/31/2010,
37716,TN,3.6,34200,1-1-2007,
37204,TN,3.68,,05/17/2011,
37204,TN,3.68,,10/29/2010,
37803,TN,3.680.000.067,,06/28/2010,
37211,TN,3.7,,05/17/2011,
37205,TN,3.7,,05/17/2011,
37218,TN,3.7,,02/28/2008,
37205,TN,3.7,,07/17/2009,
37201,TN,3.7,35150,1-1-2007,
37601,TN,3.78,,06/13/2012,
37745,TN,3.78,,7-9-2012,
37601,TN,3.78,,10-3-2012,
37206,TN,3.799.999.952,,07/16/2010,
37421,TN,3.8,,03/13/2012,
38501,TN,3.84,,07/25/2006,
37062,TN,3.84,,04/24/2012,
37146,TN,3.84,,5-10-2012,
37027,TN,3.84,,05/15/2012,
37174,TN,3.84,,05/25/2012,
38501,TN,4.0,,05/17/2011,
37215,TN,4.0,,05/17/2011,
37215,TN,4.0,,07/18/2007,
38483,TN,4,38475,1-1-2007,
38117,TN,4.0,,11/19/2009,
37415,TN,4.0,,12/15/2009,
37033,TN,4.0,,12/15/2009,
37010,TN,4.0,,5-5-2010,
37763,TN,4.0,,05/28/2010,
38506,TN,4.0,,06/22/2010,
38558,TN,4.0,,7-1-2010,
37040,TN,4.0,,07/27/2010,
37604,TN,4.0,,09/16/2010,
38501,TN,4,36000,1-1-2006,
37201,TN,4,38000,1-1-2007,
37813,TN,4.03,,05/17/2011,
37813,TN,4.03,,12/28/2010,
38483,TN,4.05,,05/17/2011,
37062,TN,4.05,,05/17/2011,
37206,TN,4.05,,05/17/2011,
38483,TN,4.05,,12/22/2008,
37062,TN,4.05,,03/30/2010,
37206,TN,4.05,,7-7-2011,
37062,TN,4.050.000.191,,4-1-2010,
37060,TN,4.139.999.866,,07/21/2010,
37127,TN,4.139.999.866,,8-6-2010,
37060,TN,4.14,,05/17/2011,
37211,TN,4.14,,05/17/2011,
37060,TN,4.14,,8-10-2010,
37211,TN,4.14,,12-3-2010,
37209,TN,4.269.999.981,,02/25/2010,
37209,TN,4.27,,05/17/2011,
37205,TN,4.27,,05/17/2011,
37209,TN,4.27,,02/25/2010,
37211,TN,4.27,,3-4-2010,
37064,TN,4.28,,05/17/2011,
37064,TN,4.28,,01/14/2011,
37076,TN,4.300.000.191,,9-3-2009,
37879,TN,4.300.000.191,,10/30/2009,
38555,TN,4.369.999.886,,12/17/2009,
37205,TN,4.409.999.847,,01/25/2010,
37205,TN,4.41,,05/17/2011,
37205,TN,4.41,,12/29/2009,
37167,TN,4.41,,08/17/2012,
37363,TN,4.5,,12/23/2009,
37027,TN,4.5,,01/14/2011,
37923,TN,4.5,36000,1-1-2005,
37212,TN,4.56,,10/24/2011,
37212,TN,4.599.999.905,,11/13/2009,
37388,TN,4.6,,05/17/2011,
37212,TN,4.6,,05/17/2011,
37087,TN,4.6,,05/17/2011,
37215,TN,4.6,,05/17/2011,
37212,TN,4.6,,11/13/2009,
37388,TN,4.6,,12/16/2009,
37087,TN,4.6,,12/21/2010,
37215,TN,4.6,,2-1-2011,
37118,TN,4.8,,10-4-2011,
37090,TN,4.8,,3-7-2012,
38351,TN,4.8,38500,12/31/2009,
37363,TN,4.88,,05/17/2011,
37363,TN,4.880.000.114,,12/30/2009,
37405,TN,4.9,,8-9-2012,
