Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=NJ
8620,NJ,0.15,,8-6-2007,
8322,NJ,0.2,,12-3-2007,
8230,NJ,0.26,4219.0,1-11-2002,
8343,NJ,0.32,,08/19/2008,
7712,NJ,0.32,,10-11-2007,
8318,NJ,0.43,0.0,8-11-2010,
8318,NJ,0.43,2875.0,7-8-2010,
8690,NJ,0.45,,1-10-2012,
7750,NJ,0.535,,3-6-2008,
8205,NJ,0.585,0.0,12/30/2011,
8204,NJ,0.585,,12/30/2011,
8009,NJ,0.6,6000,12/18/2009,
7840,NJ,0.66,0.0,10/20/2011,
7820,NJ,0.66,,10/20/2011,
8203,NJ,0.68,5440.0,02/24/2011,
8009,NJ,0.69,0.0,12-5-2013,
8343,NJ,0.7,0.0,06/30/2009,
8332,NJ,0.705,0.0,02/25/2013,
7871,NJ,0.8,6600.0,02/17/2010,
8551,NJ,0.8,6800.0,10/17/2004,
7456,NJ,0.8,6271.0,07/13/2006,
7940,NJ,0.84,6706.5,9-3-2009,
8251,NJ,0.89,8542.1,06/17/2002,
8512,NJ,0.9,0.0,04/26/2010,
8054,NJ,0.9,6885.0,02/23/2010,
8234,NJ,0.9,,07/14/2011,
8753,NJ,0.92,0.0,07/15/2013,
8857,NJ,0.92,,09/21/2011,
8204,NJ,0.96,0.0,7-3-2008,
8087,NJ,0.96,8097.0,12/27/2005,
7663,NJ,0.98,0.0,04/24/2013,
8215,NJ,0.98,7774.5,07/24/2002,
8002,NJ,0.99,8435.0,10/17/2002,
8527,NJ,1.0,3250.0,05/13/2013,
7067,NJ,1.0,5735.0,10/22/2013,
7094,NJ,1,,11/19/2009,
8360,NJ,1,,2-5-2010,
8527,NJ,1.0,8000.0,09/28/2005,
8558,NJ,1,,12-3-2009,
8502,NJ,1,,11/20/2009,
7006,NJ,1,,12/18/2009,
7512,NJ,1.05,0.0,2-1-2011,
8077,NJ,1.05,0.0,08/23/2012,
7034,NJ,1.075,,08/24/2011,
8096,NJ,1.11,0.0,03/29/2013,
8310,NJ,1.11,0.0,11/21/2012,
8865,NJ,1.11,0.0,9-10-2012,
8060,NJ,1.11,0.0,12/26/2012,
7882,NJ,1.116,8179.0,09/21/2006,
7086,NJ,1.14,8721.0,04/21/2005,
8691,NJ,1.15,0.0,02/23/2012,
8202,NJ,1.156,9435.0,07/17/2008,
7052,NJ,1.175,0.0,11-12-2013,
7410,NJ,1.175,0.0,4-9-2013,
7756,NJ,1.19,10591.0,3-2-2006,
7418,NJ,1.19,9122.35,05/20/2009,
7730,NJ,1.2,7980.0,04/26/2010,
8022,NJ,1.2,,07/17/2007,
7456,NJ,1.2,14634.0,12/23/2005,
8330,NJ,1.225,10000.0,05/17/2011,
8080,NJ,1.23,,09/15/2011,
8406,NJ,1.25,0.0,05/30/2008,
7050,NJ,1.25,0.0,12/18/2012,
8098,NJ,1.26,0.0,3-9-2012,
8226,NJ,1.26,9450.0,11/16/2009,
8344,NJ,1.26,9576.0,4-7-2010,
8204,NJ,1.26,,05/31/2011,
8230,NJ,1.26,,08/22/2011,
8857,NJ,1.28,10540,4-6-2006,
8330,NJ,1.29,8740.0,05/28/2008,
8008,NJ,1.29,10578.0,10-7-2008,
8302,NJ,1.29,0.0,11-2-2010,
7882,NJ,1.29,15587.5,10-11-2007,
8302,NJ,1.29,6372.6,08/25/2010,
8080,NJ,1.295,18900.0,01/20/2005,
8872,NJ,1.32,,05/13/2011,
7828,NJ,1.336,11022,04/21/2004,
8043,NJ,1.336,10638.0,11-5-2004,
7834,NJ,1.35,8883.0,08/25/2011,
8330,NJ,1.35,6450.0,08/25/2009,
8535,NJ,1.35,7445.0,5-11-2003,
8752,NJ,1.36,10085.78,03/16/2006,
8009,NJ,1.38,0.0,12-5-2013,
8514,NJ,1.38,,1-5-2012,
8833,NJ,1.38,,12-8-2011,
8087,NJ,1.4,11500.0,09/29/2009,
8822,NJ,1.4,0.0,3-5-2013,
7438,NJ,1.4,14612.5,4-11-2008,
8106,NJ,1.41,0.0,7-8-2011,
7006,NJ,1.41,0.0,07/25/2013,
7109,NJ,1.41,0.0,4-12-2013,
8108,NJ,1.41,0.0,05/15/2012,
7856,NJ,1.41,0.0,05/23/2012,
8844,NJ,1.41,0.0,06/25/2012,
8243,NJ,1.41,0.0,01/18/2012,
7042,NJ,1.43,13860.0,07/16/2003,
7083,NJ,1.44,0.0,11-12-2013,
8829,NJ,1.47,0.0,07/23/2012,
7059,NJ,1.48,0.0,8-9-2011,
8080,NJ,1.48,,03/28/2012,
8530,NJ,1.49,11775.0,12/17/2001,
8302,NJ,1.5,0.0,09/17/2012,
8527,NJ,1.5,22013.0,8-1-2002,
8060,NJ,1.53,12240.0,4-9-2010,
8007,NJ,1.56,,10/18/2011,
8062,NJ,1.575,0.0,10-12-2010,
8731,NJ,1.575,0.0,7-3-2012,
8062,NJ,1.575,8190.0,7-8-2010,
8721,NJ,1.575,,7-3-2012,
8742,NJ,1.6,12000.0,06/22/2009,
8822,NJ,1.6,13600.0,1-5-2005,
8742,NJ,1.6,13200.0,06/20/2006,
7663,NJ,1.645,0.0,7-12-2013,
7203,NJ,1.645,0.0,07/18/2013,
7760,NJ,1.665,13320.0,9-11-2003,
8087,NJ,1.665,10822.5,1-7-2005,
8075,NJ,1.665,0.0,12-8-2011,
7726,NJ,1.68,0.0,9-12-2013,
7662,NJ,1.68,0.0,9-4-2013,
7083,NJ,1.68,0.0,10-3-2013,
7663,NJ,1.68,0.0,10-3-2013,
8087,NJ,1.7,13600.0,06/28/2006,
7304,NJ,1.71,14677.2,5-4-2009,
7076,NJ,1.71,0.0,09/21/2012,
8840,NJ,1.71,,10/24/2012,
7621,NJ,1.715,0.0,12/19/2012,
7034,NJ,1.715,0.0,10-9-2013,
8050,NJ,1.728,15000.0,07/17/2009,
8077,NJ,1.75,15295.0,4-11-2008,
8008,NJ,1.75,19300.0,02/26/2009,
8527,NJ,1.75,5687.4,05/13/2013,
8201,NJ,1.75,14000.0,07/27/2005,
7946,NJ,1.75,15750.0,07/13/2006,
7042,NJ,1.75,,10/18/2011,
8008,NJ,1.755,11555.0,05/17/2006,
7662,NJ,1.76,13640.0,10/26/2005,
8302,NJ,1.76,,10-7-2008,
7480,NJ,1.792,12500.0,04/28/2009,
7302,NJ,1.792,14977.0,10-5-2009,
8854,NJ,1.8,0.0,05/26/2011,
7042,NJ,1.8,15180.0,10-8-2009,
7465,NJ,1.8,20111.0,04/16/2010,
7054,NJ,1.8,15000.0,03/16/2011,
8827,NJ,1.8,23511.0,06/21/2010,
8232,NJ,1.8,28752.75,12/18/2009,
8628,NJ,1.8,15500,3-6-2006,
8534,NJ,1.8,14850.0,02/26/2004,
7666,NJ,1.8,15077.0,08/15/2007,
8234,NJ,1.8,,07/14/2006,
8870,NJ,1.8,,11-7-2011,
8560,NJ,1.84,15180.0,08/26/2009,
8609,NJ,1.84,0.0,02/13/2012,
8204,NJ,1.84,8040.0,04/29/2010,
8008,NJ,1.84,12200.0,07/27/2010,
8527,NJ,1.84,18468.0,6-9-2009,
8210,NJ,1.84,13248.0,08/27/2009,
8844,NJ,1.84,16150.0,8-12-2010,
7825,NJ,1.84,12420,12/15/2004,
7825,NJ,1.84,15955.87,10/16/2002,
8741,NJ,1.84,0.0,10-5-2011,
8204,NJ,1.84,8040.0,3-2-2010,
8008,NJ,1.84,12200.0,05/20/2010,
7740,NJ,1.84,24104.0,8-10-2010,
8619,NJ,1.84,,02/13/2012,
8550,NJ,1.845,,11/14/2011,
8740,NJ,1.848,13720.0,10/20/2009,
7103,NJ,1.87,,03/25/2009,
7066,NJ,1.88,0.0,3-6-2013,
7663,NJ,1.88,0.0,04/30/2013,
7054,NJ,1.88,0.0,6-10-2013,
8904,NJ,1.88,0.0,12/26/2013,
7109,NJ,1.88,0.0,10-9-2012,
7760,NJ,1.89,14915.0,01/14/2010,
7017,NJ,1.89,20664.0,04/23/2007,
8060,NJ,1.9,16242.0,03/21/2002,
7960,NJ,1.9,0.0,09/26/2012,
8690,NJ,1.9,14500.0,10/18/2006,
7052,NJ,1.904,0.0,07/21/2011,
8319,NJ,1.92,10000.0,06/18/2009,
8251,NJ,1.92,0.0,01/20/2011,
7204,NJ,1.92,0.0,03/13/2013,
7204,NJ,1.92,,09/17/2012,
7039,NJ,1.92,0.0,01/25/2012,
7760,NJ,1.92,15072.0,07/26/2004,
8525,NJ,1.92,16116.0,7-6-2006,
8401,NJ,1.92,,08/27/2008,
7711,NJ,1.925,16000,9-4-2008,
7882,NJ,1.925,10718.75,11-8-2007,
8242,NJ,1.925,15400.0,03/16/2005,
8822,NJ,1.931,19320.0,4-5-2013,
8648,NJ,1.95,,1-6-2011,
8542,NJ,1.96,0.0,05/14/2013,
7036,NJ,1.96,0.0,11/27/2013,
7604,NJ,1.96,0.0,09/26/2013,
7663,NJ,1.96,0.0,12/27/2013,
7901,NJ,1.98,16390.0,05/23/2005,
8205,NJ,1.98,15690.0,01/20/2005,
8270,NJ,1.98,20579.0,01/13/2006,
7945,NJ,1.98,16483.0,10/14/2007,
7108,NJ,1.98,,10/26/2011,
7108,NJ,1.98,,10/26/2011,
7108,NJ,1.98,,10/26/2011,
8742,NJ,2.0,16500.0,04/29/2008,
8008,NJ,2.0,26400.0,3-10-2009,
7882,NJ,2.0,16500.0,11/24/2008,
7033,NJ,2.0,0.0,9-1-2010,
8753,NJ,2.0,20712.0,09/16/2009,
8232,NJ,2.0,0.0,9-11-2013,
7644,NJ,2.0,5800.0,7-1-2013,
8832,NJ,2,,2-3-2010,
8204,NJ,2.0,16000.0,06/28/2006,
7840,NJ,2,,09/17/2009,
7043,NJ,2,16000,5-6-2002,
8360,NJ,2,,09/16/2009,
7430,NJ,2,16000,04/15/2002,
7033,NJ,2.0,7500.0,08/17/2010,
8051,NJ,2.0,16138.0,10/18/2011,
7003,NJ,2.004,18105.5,07/25/2008,
7450,NJ,2.004,0.0,12-6-2013,
8551,NJ,2.004,17000.0,2-3-2005,
8551,NJ,2.004,17467.2,4-12-2006,
7758,NJ,2.004,17580.39,10-11-2006,
7728,NJ,2.024,,06/26/2007,
7825,NJ,2.025,12915.0,4-8-2009,
8319,NJ,2.025,15288.75,12-7-2009,
8556,NJ,2.025,16065.0,02/17/2010,
7018,NJ,2.025,,09/15/2011,
8322,NJ,2.035,14250.0,3-2-2011,
8062,NJ,2.04,21000.0,08/26/2009,
8012,NJ,2.04,5038.0,05/29/2013,
7103,NJ,2.04,0.0,03/25/2009,
7740,NJ,2.04,16014.0,04/13/2006,
7513,NJ,2.04,,07/23/2012,
7513,NJ,2.04,,07/23/2012,
7513,NJ,2.04,,07/23/2012,
8008,NJ,2.05,0.0,07/29/2008,
8043,NJ,2.07,4500.0,09/24/2013,
7732,NJ,2.07,15200,3-10-2009,
8873,NJ,2.07,,4-10-2012,
7710,NJ,2.076,17737,11/29/2007,
7712,NJ,2.076,17737,04/29/2008,
7740,NJ,2.076,17737.0,11/29/2007,
8060,NJ,2.088,,01/31/2008,
8022,NJ,2.09,0.0,08/13/2012,
7514,NJ,2.096,24360,09/26/2006,
8053,NJ,2.1,36500.0,03/29/2013,
7760,NJ,2.1,19111.0,11/29/2007,
8618,NJ,2.1,16800.0,10-6-2009,
8087,NJ,2.1,17640.0,09/16/2009,
7711,NJ,2.1,17280,9-4-2008,
8401,NJ,2.1,16716,05/20/2004,
8401,NJ,2.1,19266,05/20/2004,
8212,NJ,2.1,17766.0,07/27/2005,
8822,NJ,2.1,16250.0,04/27/2005,
7646,NJ,2.1,18375.0,04/13/2006,
8028,NJ,2.1,18375.0,5-11-2006,
7882,NJ,2.1,18858.0,11/30/2006,
8094,NJ,2.1,19111.0,1-4-2007,
8502,NJ,2.1,18962.0,6-12-2007,
8210,NJ,2.1,18962.0,08/31/2007,
8088,NJ,2.112,17107.2,06/30/2009,
7506,NJ,2.115,13347.6,8-11-2010,
7029,NJ,2.115,0.0,01/22/2013,
7032,NJ,2.115,0.0,1-3-2013,
8840,NJ,2.115,0.0,1-2-2013,
7013,NJ,2.115,0.0,01/28/2013,
8848,NJ,2.115,25000.0,09/19/2013,
8873,NJ,2.115,0.0,09/26/2013,
7012,NJ,2.115,0.0,09/25/2013,
7762,NJ,2.115,0.0,03/23/2012,
7032,NJ,2.115,0.0,02/14/2013,
8244,NJ,2.115,0.0,11/21/2011,
7506,NJ,2.115,13347.6,05/20/2010,
8003,NJ,2.115,,09/21/2012,
8736,NJ,2.115,,7-12-2011,
8753,NJ,2.142,,07/25/2011,
7003,NJ,2.145,0.0,03/16/2012,
7071,NJ,2.145,19412.25,04/21/2005,
8093,NJ,2.15,0.0,8-10-2011,
8210,NJ,2.15,15050.0,04/29/2010,
8402,NJ,2.15,18245.0,8-7-2008,
8752,NJ,2.15,0.0,4-6-2012,
8210,NJ,2.15,0.0,4-6-2012,
7621,NJ,2.15,0.0,07/25/2011,
8330,NJ,2.15,19110.0,9-12-2007,
8210,NJ,2.15,15050.0,3-2-2010,
8234,NJ,2.15,,06/14/2011,
8204,NJ,2.16,16770.0,5-4-2010,
8050,NJ,2.16,25000.0,01/13/2010,
7003,NJ,2.16,0.0,07/19/2011,
7005,NJ,2.16,8000.0,9-7-2011,
8550,NJ,2.16,18480.0,7-2-2003,
7072,NJ,2.16,0.0,3-12-2013,
8226,NJ,2.16,0.0,06/28/2013,
7036,NJ,2.16,0.0,12/27/2013,
7083,NJ,2.16,0.0,12-11-2013,
8825,NJ,2.16,22530.0,8-10-2007,
7753,NJ,2.16,18403,07/26/2004,
8846,NJ,2.16,,04/16/2012,
8080,NJ,2.16,16264.8,07/14/2011,
7079,NJ,2.171,17585.0,06/21/2006,
7050,NJ,2.2,0.0,4-6-2011,
7067,NJ,2.2,18962.0,04/30/2008,
8752,NJ,2.2,32800.0,6-5-2007,
7860,NJ,2.2,0.0,05/30/2012,
8534,NJ,2.2,17600.0,01/27/2006,
7712,NJ,2.2,22932.5,12-3-2007,
7108,NJ,2.2,,10/26/2011,
7108,NJ,2.2,,10/26/2011,
7108,NJ,2.2,,10/26/2011,
7108,NJ,2.2,,10/26/2011,
7108,NJ,2.2,,10/27/2011,
7030,NJ,2.205,0.0,12-3-2013,
7663,NJ,2.205,0.0,5-2-2013,
7083,NJ,2.205,0.0,10-9-2013,
7410,NJ,2.205,0.0,12/27/2013,
7628,NJ,2.205,0.0,12-11-2012,
7753,NJ,2.214,16605,06/16/2005,
8827,NJ,2.214,17712.0,04/22/2005,
8048,NJ,2.22,0.0,09/26/2012,
7755,NJ,2.22,0.0,8-10-2012,
8094,NJ,2.22,0.0,2-5-2013,
7765,NJ,2.22,,8-10-2012,
8724,NJ,2.22,,11-7-2011,
8730,NJ,2.24,17584.0,8-2-2004,
7727,NJ,2.24,17606.0,09/23/2004,
8008,NJ,2.244,17952.0,2-6-2006,
8226,NJ,2.25,0.0,04/26/2011,
8226,NJ,2.25,0.0,04/26/2011,
8056,NJ,2.25,0.0,09/29/2010,
7016,NJ,2.25,17845.0,10-7-2008,
8330,NJ,2.25,0.0,07/27/2010,
8759,NJ,2.25,0.0,09/21/2010,
8022,NJ,2.25,16875.0,11/20/2009,
8527,NJ,2.25,0.0,9-9-2013,
8527,NJ,2.25,0.0,02/19/2013,
8527,NJ,2.25,0.0,12/14/2012,
8527,NJ,2.25,0.0,05/28/2013,
8527,NJ,2.25,0.0,12/14/2012,
8527,NJ,2.25,0.0,05/21/2013,
8527,NJ,2.25,0.0,02/19/2013,
8527,NJ,2.25,0.0,01/25/2013,
8527,NJ,2.25,0.0,12/14/2012,
8527,NJ,2.25,0.0,05/21/2013,
8527,NJ,2.25,0.0,01/14/2013,
8527,NJ,2.25,0.0,12/14/2012,
8527,NJ,2.25,0.0,05/21/2013,
8527,NJ,2.25,0.0,05/23/2013,
8527,NJ,2.25,0.0,02/26/2013,
8527,NJ,2.25,0.0,01/15/2013,
8527,NJ,2.25,0.0,12/14/2012,
7006,NJ,2.25,9485.32,09/24/2013,
8402,NJ,2.25,0.0,3-12-2012,
8056,NJ,2.25,11407.0,08/17/2010,
8330,NJ,2.25,12300.0,03/25/2010,
8759,NJ,2.25,13500.0,07/20/2010,
8527,NJ,2.25,,12/14/2012,
7750,NJ,2.25,14250.0,09/30/2011,
7747,NJ,2.255,16875.0,8-6-2009,
8008,NJ,2.26,0.0,07/29/2008,
7039,NJ,2.26,21000.0,03/14/2002,
7627,NJ,2.26,16112.0,04/15/2002,
7704,NJ,2.26,21962.0,12/17/2001,
8060,NJ,2.27,19200.0,01/23/2003,
8070,NJ,2.275,14950.0,08/17/2011,
8036,NJ,2.28,22572.0,07/19/2010,
8006,NJ,2.28,18000.0,07/14/2005,
8344,NJ,2.28,,12-7-2012,
8226,NJ,2.288,21736.0,05/13/2008,
7052,NJ,2.288,,03/13/2008,
8315,NJ,2.3,17825.0,05/18/2010,
8753,NJ,2.3,11000.0,09/16/2010,
8876,NJ,2.3,16412.0,07/19/2010,
8330,NJ,2.3,16675.0,03/17/2010,
7076,NJ,2.3,0.0,09/25/2013,
7838,NJ,2.3,0.0,03/16/2012,
8226,NJ,2.3,18400,9-3-2009,
8876,NJ,2.3,16412.0,05/20/2010,
7104,NJ,2.3,,04/17/2012,
7070,NJ,2.3,,08/22/2011,
8205,NJ,2.3,,02/25/2011,
8234,NJ,2.3,,03/30/2011,
7702,NJ,2.3,,09/13/2011,
8822,NJ,2.3,,07/13/2011,
7501,NJ,2.304,24950.0,3-1-2012,
7712,NJ,2.31,17325,2-1-2005,
7825,NJ,2.31,20790.0,10/22/2003,
7720,NJ,2.31,18249.0,07/26/2004,
8530,NJ,2.31,17118.0,03/17/2005,
7753,NJ,2.31,17425,12/14/2005,
8505,NJ,2.338,18377.0,07/21/2004,
8319,NJ,2.34,0.0,02/17/2010,
7001,NJ,2.34,0.0,09/29/2010,
8008,NJ,2.34,0.0,05/15/2013,
7740,NJ,2.34,,10-1-2012,
7740,NJ,2.34,0.0,12-11-2012,
7001,NJ,2.34,18954.0,08/25/2010,
7646,NJ,2.35,0.0,6-7-2011,
8016,NJ,2.35,0.0,06/30/2011,
7407,NJ,2.35,0.0,12-8-2011,
8825,NJ,2.35,15000.0,11-5-2010,
7059,NJ,2.35,0.0,09/21/2012,
7801,NJ,2.35,0.0,01/31/2013,
7036,NJ,2.35,0.0,12/27/2012,
8854,NJ,2.35,0.0,12/20/2012,
7607,NJ,2.35,0.0,12/19/2012,
7013,NJ,2.35,0.0,4-4-2013,
7083,NJ,2.35,0.0,05/13/2013,
7208,NJ,2.35,0.0,04/22/2013,
7421,NJ,2.35,0.0,03/19/2013,
7607,NJ,2.35,0.0,02/19/2013,
7013,NJ,2.35,0.0,5-2-2013,
7663,NJ,2.35,0.0,10/22/2013,
7663,NJ,2.35,0.0,5-2-2013,
7032,NJ,2.35,0.0,03/19/2013,
7011,NJ,2.35,0.0,09/26/2013,
7662,NJ,2.35,0.0,11-11-2013,
7012,NJ,2.35,0.0,12/27/2012,
7075,NJ,2.35,0.0,04/16/2012,
8081,NJ,2.35,0.0,05/24/2012,
8332,NJ,2.35,0.0,1-3-2013,
7109,NJ,2.35,0.0,05/18/2012,
7719,NJ,2.35,0.0,06/28/2012,
7644,NJ,2.35,0.0,01/17/2012,
8701,NJ,2.35,0.0,09/22/2011,
7032,NJ,2.35,0.0,1-12-2012,
8226,NJ,2.35,0.0,1-10-2012,
8037,NJ,2.35,0.0,02/17/2012,
8046,NJ,2.35,0.0,8-12-2011,
7050,NJ,2.35,,09/13/2012,
8611,NJ,2.35,,2-8-2012,
7307,NJ,2.35,,12/20/2012,
7860,NJ,2.365,22468.0,8-11-2010,
7860,NJ,2.365,22468.0,6-3-2010,
8020,NJ,2.38,23600.0,09/28/2009,
8203,NJ,2.38,17762.5,11-12-2007,
8610,NJ,2.4,24912.0,3-3-2010,
7860,NJ,2.4,25845.0,10/22/2003,
7017,NJ,2.4,20020.0,08/26/2008,
7450,NJ,2.4,19200.0,6-1-2010,
8234,NJ,2.4,13800.0,5-11-2010,
7644,NJ,2.4,0.0,03/19/2013,
7050,NJ,2.4,0.0,10-8-2012,
8812,NJ,2.4,0.0,4-5-2013,
8037,NJ,2.4,0.0,4-9-2013,
8260,NJ,2.4,0.0,6-4-2013,
7755,NJ,2.4,10625.0,05/29/2013,
8904,NJ,2.4,0.0,10/24/2013,
7013,NJ,2.4,0.0,11/27/2013,
7604,NJ,2.4,0.0,12/26/2013,
8088,NJ,2.4,19200.0,04/20/2004,
8648,NJ,2.4,24280.0,6-4-2007,
7070,NJ,2.4,20706.0,6-2-2008,
7070,NJ,2.4,20706.0,4-7-2008,
7203,NJ,2.4,18960.0,08/28/2007,
8234,NJ,2.4,13800.0,4-5-2010,
7450,NJ,2.4,19200.0,03/17/2010,
7050,NJ,2.4,,01/17/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
7050,NJ,2.4,,09/13/2012,
8723,NJ,2.4,,4-12-2012,
7083,NJ,2.4,,05/13/2011,
8343,NJ,2.4,,07/21/2011,
7108,NJ,2.42,,10/26/2011,
7108,NJ,2.42,,10/26/2011,
7108,NJ,2.42,,10/26/2011,
7108,NJ,2.42,,10/27/2011,
7108,NJ,2.42,,10/27/2011,
7108,NJ,2.42,,10/26/2011,
7108,NJ,2.42,,10/26/2011,
7108,NJ,2.42,,10/26/2011,
7108,NJ,2.42,,10/26/2011,
7108,NJ,2.42,,10/26/2011,
8723,NJ,2.45,43095.0,09/16/2009,
7410,NJ,2.45,0.0,12-7-2010,
8402,NJ,2.45,19355.0,6-3-2010,
7071,NJ,2.45,0.0,1-2-2013,
7083,NJ,2.45,0.0,04/22/2013,
7450,NJ,2.45,0.0,06/28/2013,
7008,NJ,2.45,0.0,10/23/2013,
7643,NJ,2.45,0.0,10/25/2013,
8873,NJ,2.45,0.0,10/24/2013,
8757,NJ,2.45,0.0,09/19/2013,
7604,NJ,2.45,0.0,11-12-2013,
8083,NJ,2.45,0.0,11/15/2013,
7083,NJ,2.45,0.0,12/27/2013,
7042,NJ,2.45,0.0,04/19/2013,
8810,NJ,2.45,21070.0,04/18/2006,
8853,NJ,2.45,,09/14/2006,
7083,NJ,2.45,,09/13/2011,
8022,NJ,2.46,0.0,02/25/2011,
8701,NJ,2.46,0.0,02/25/2011,
7626,NJ,2.46,0.0,5-6-2011,
8022,NJ,2.46,0.0,7-8-2011,
7871,NJ,2.46,12600.0,06/29/2011,
8022,NJ,2.46,0.0,12/14/2010,
7675,NJ,2.46,0.0,03/18/2013,
8028,NJ,2.46,0.0,1-9-2012,
8302,NJ,2.46,0.0,12-8-2011,
8022,NJ,2.46,14950.0,09/15/2010,
8088,NJ,2.46,,1-9-2012,
7456,NJ,2.46,,1-10-2012,
7046,NJ,2.46,,08/15/2011,
8037,NJ,2.47,0.0,05/19/2010,
8876,NJ,2.47,0.0,08/16/2012,
7069,NJ,2.47,,03/16/2006,
8037,NJ,2.47,36680.0,03/17/2010,
8204,NJ,2.475,19428.75,3-12-2010,
7005,NJ,2.475,0.0,04/23/2012,
8559,NJ,2.475,19410.0,11-2-2004,
8008,NJ,2.48,22050.0,2-11-2003,
7470,NJ,2.496,10009.0,8-2-2011,
8865,NJ,2.496,19200.0,7-9-2008,
7003,NJ,2.496,21600.0,10-4-2007,
8016,NJ,2.5,0.0,08/23/2012,
7059,NJ,2.5,0.0,02/26/2013,
7003,NJ,2.5,0.0,11-5-2013,
7010,NJ,2.5,0.0,8-5-2013,
7112,NJ,2.5,0.0,7-3-2013,
8005,NJ,2.5,9375.0,10/31/2013,
7719,NJ,2.5,10250.0,07/17/2013,
8505,NJ,2.5,8300.0,7-11-2013,
8873,NJ,2.5,8166.0,08/13/2013,
8505,NJ,2.5,0.0,05/18/2012,
7050,NJ,2.5,0.0,09/20/2012,
7470,NJ,2.5,21050.0,09/23/2002,
7506,NJ,2.5,0.0,09/30/2011,
7050,NJ,2.5,,09/20/2012,
8212,NJ,2.52,20160.0,06/30/2009,
8091,NJ,2.52,0.0,12/22/2010,
7050,NJ,2.52,0.0,06/22/2011,
7060,NJ,2.52,0.0,06/14/2011,
7620,NJ,2.52,17900.0,6-11-2010,
8807,NJ,2.52,20212.5,11-4-2010,
7940,NJ,2.52,19873.0,9-3-2009,
7832,NJ,2.52,8767.5,07/23/2009,
8226,NJ,2.52,20295.0,9-3-2009,
8210,NJ,2.52,17640.0,01/18/2010,
7039,NJ,2.52,24990.0,07/14/2010,
7656,NJ,2.52,8820.0,10/25/2013,
7017,NJ,2.52,20664.0,04/23/2007,
8752,NJ,2.52,17848.0,7-6-2006,
7821,NJ,2.52,22476.0,12/27/2007,
8009,NJ,2.52,11500.0,09/30/2010,
7410,NJ,2.52,13658.4,11/20/2010,
8807,NJ,2.52,20212.5,07/27/2010,
8501,NJ,2.52,,10-3-2012,
8609,NJ,2.53,0.0,02/13/2012,
8221,NJ,2.53,17077.5,01/25/2013,
7960,NJ,2.53,20580.0,07/15/2010,
8057,NJ,2.53,19607.5,09/28/2005,
8514,NJ,2.53,,1-5-2012,
8619,NJ,2.53,,02/13/2012,
8753,NJ,2.53,,08/16/2011,
8536,NJ,2.535,24539.0,02/25/2010,
7513,NJ,2.55,,07/23/2012,
7928,NJ,2.56,20864.0,11/23/2004,
8817,NJ,2.565,,08/16/2012,
8204,NJ,2.58,20124.0,9-1-2009,
8251,NJ,2.58,20124.0,9-11-2009,
7762,NJ,2.58,0.0,12-12-2013,
8060,NJ,2.58,25542.0,06/29/2010,
8005,NJ,2.58,21600.0,10/23/2009,
8723,NJ,2.58,0.0,11/17/2010,
8820,NJ,2.58,,08/21/2012,
8210,NJ,2.58,22520.0,4-1-2008,
8820,NJ,2.58,0.0,10/17/2012,
7054,NJ,2.58,0.0,9-7-2011,
7016,NJ,2.58,0.0,09/19/2011,
8723,NJ,2.58,20898.0,7-8-2010,
8060,NJ,2.58,25542.0,3-2-2010,
7042,NJ,2.58,,06/14/2011,
7043,NJ,2.58,,06/14/2011,
7801,NJ,2.585,0.0,01/21/2013,
8816,NJ,2.585,0.0,03/19/2013,
8861,NJ,2.585,0.0,01/31/2013,
8618,NJ,2.585,0.0,2-7-2013,
8854,NJ,2.585,0.0,12-3-2012,
7111,NJ,2.585,0.0,7-3-2013,
7070,NJ,2.585,0.0,02/19/2013,
8880,NJ,2.585,0.0,05/22/2013,
7205,NJ,2.585,0.0,06/27/2013,
7011,NJ,2.585,0.0,3-6-2013,
7036,NJ,2.585,0.0,10/24/2013,
7083,NJ,2.585,0.0,10/23/2013,
7410,NJ,2.585,0.0,9-4-2013,
7604,NJ,2.585,0.0,9-4-2013,
7502,NJ,2.585,0.0,12/28/2012,
7071,NJ,2.585,0.0,08/28/2012,
7031,NJ,2.585,0.0,1-3-2013,
7075,NJ,2.585,0.0,04/16/2012,
7072,NJ,2.585,0.0,6-5-2012,
7070,NJ,2.585,0.0,02/22/2012,
8350,NJ,2.585,,2-7-2012,
8088,NJ,2.585,,2-2-2011,
8088,NJ,2.585,,10/18/2011,
8225,NJ,2.59,0.0,3-9-2011,
8022,NJ,2.59,0.0,07/14/2011,
8625,NJ,2.59,0.0,11-1-2011,
8022,NJ,2.59,0.0,1-11-2011,
7644,NJ,2.59,0.0,12/28/2011,
