Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=10&state=CA
92270,CA,10.0,0.0,12/13/2013,
91001,CA,10.0,85286.93,8-1-2007,
95620,CA,10.0,85300.0,1-9-2007,
93638,CA,10.0,88990.0,7-10-2007,
95969,CA,10.0,75488.48,3-9-2007,
92345,CA,10.0,44750.0,10/31/2013,
94549,CA,10.0,82807.0,12-8-2004,
93630,CA,10.0,88990.0,7-10-2007,
92264,CA,10.0,49951.48,11-10-2011,
92270,CA,10.0,49131.86,4-6-2012,
92270,CA,10.0,54085.0,11-9-2011,
92270,CA,10.0,39500.0,10-2-2013,
92270,CA,10.0,53403.72,12-6-2011,
92270,CA,10.0,0.0,12-10-2013,
92270,CA,10.0,50591.98,5-7-2012,
92270,CA,10.0,51700.0,12-8-2011,
92270,CA,10.0,48366.64,03/13/2012,
92270,CA,10.0,49328.0,11/28/2011,
92270,CA,10.0,50776.36,5-10-2012,
92270,CA,10.0,51780.11,12/20/2011,
92270,CA,10.0,50504.81,07/29/2011,
92270,CA,10.0,55000.0,05/28/2013,
92270,CA,10.0,49963.04,01/24/2012,
92270,CA,10.0,51780.11,12-6-2011,
92270,CA,10.0,52587.09,10/24/2011,
92270,CA,10.0,52581.92,5-11-2012,
92270,CA,10.0,50706.92,6-4-2012,
92270,CA,10.0,53632.04,11-1-2011,
92277,CA,10.0,42128.11,6-5-2013,
92284,CA,10.0,45200.0,05/14/2013,
92373,CA,10.0,68805.0,11/29/2005,
93635,CA,10.0,78700.0,01/17/2006,
92270,CA,10.0,70847.0,2-3-2006,
95658,CA,10.0,77255.0,09/21/2006,
95658,CA,10.0,88175.0,8-1-2006,
94563,CA,10.0,68054.88,06/30/2006,
95965,CA,10.0,72822.91,6-7-2006,
95746,CA,10.0,89500.0,09/28/2006,
95821,CA,10.0,49000.0,2-7-2014,
91784,CA,10.0,47500.0,01/29/2014,
95758,CA,10.0,45728.68,4-2-2013,
95758,CA,10.0,45728.68,4-2-2013,
91791,CA,10.0,40500.0,02/18/2014,
92210,CA,10.0,50848.0,01/25/2012,
92210,CA,10.0,52156.8,10-10-2011,
92210,CA,10.0,48622.0,03/28/2012,
92210,CA,10.0,51508.61,04/16/2012,
92211,CA,10.0,49550.78,11-9-2011,
92211,CA,10.0,52078.0,11-3-2011,
91739,CA,10.0,0.0,12/14/2013,
91739,CA,10.0,0.0,12-12-2013,
