Date,Size
1/1/2015,1271
1/1/2014,1271
1/1/2013,899
1/1/2012,461
1/1/2011,121
1/1/2010,28
1/1/2009,15
1/1/2008,15
1/1/2007,8
1/1/2006,8
1/1/2005,5
1/1/2004,5
1/1/2003,5
1/1/2002,0
1/1/2001,0
1/1/2000,0
total,1271
