Date,Size
1/1/2015,240
1/1/2014,240
1/1/2013,240
1/1/2012,240
1/1/2011,129
1/1/2010,18
1/1/2009,6
1/1/2008,3
1/1/2007,3
1/1/2006,3
1/1/2005,3
1/1/2004,3
1/1/2003,3
1/1/2002,3
1/1/2001,3
1/1/2000,3
total,240
