Date,Size
1/1/2015,2131
1/1/2014,2074
1/1/2013,933
1/1/2012,468
1/1/2011,272
1/1/2010,149
1/1/2009,68
1/1/2008,53
1/1/2007,50
1/1/2006,50
1/1/2005,0
1/1/2004,0
1/1/2003,0
1/1/2002,0
1/1/2001,0
1/1/2000,0
total,2131
