Date,Size
1/1/2015,48
1/1/2014,36
1/1/2013,36
1/1/2012,26
1/1/2011,20
1/1/2010,15
1/1/2009,15
1/1/2008,15
1/1/2007,0
1/1/2006,0
1/1/2005,0
1/1/2004,0
1/1/2003,0
1/1/2002,0
1/1/2001,0
1/1/2000,0
total,48
