Date,Size
1/1/2015,64805
1/1/2014,62888
1/1/2013,37405
1/1/2012,19042
1/1/2011,12366
1/1/2010,6866
1/1/2009,3370
1/1/2008,2228
1/1/2007,1749
1/1/2006,1321
1/1/2005,820
1/1/2004,776
1/1/2003,452
1/1/2002,185
1/1/2001,0
1/1/2000,0
total,64805
