Date,Size
1/1/2015,214
1/1/2014,214
1/1/2013,214
1/1/2012,203
1/1/2011,167
1/1/2010,130
1/1/2009,112
1/1/2008,76
1/1/2007,58
1/1/2006,51
1/1/2005,35
1/1/2004,25
1/1/2003,19
1/1/2002,12
1/1/2001,6
1/1/2000,5
total,214
