Date,Size
1/1/2015,14323
1/1/2014,14113
1/1/2013,13407
1/1/2012,10704
1/1/2011,5797
1/1/2010,1492
1/1/2009,204
1/1/2008,160
1/1/2007,52
1/1/2006,52
1/1/2005,26
1/1/2004,26
1/1/2003,13
1/1/2002,10
1/1/2001,10
1/1/2000,10
total,14323
