Date,Size
1/1/2015,1204
1/1/2014,1204
1/1/2013,1201
1/1/2012,938
1/1/2011,420
1/1/2010,137
1/1/2009,90
1/1/2008,56
1/1/2007,52
1/1/2006,36
1/1/2005,36
1/1/2004,36
1/1/2003,6
1/1/2002,6
1/1/2001,6
1/1/2000,6
total,1204
