Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
48473,MI,2,,7-5-2010,0,0,0,0,36037,0,0
48382,MI,2,,1-10-2012,44.75,-85.60,3;69,Grand Traverse,26125,0,14719;67213
48375,MI,2,,09/18/2012,42.96,-83.82,3;62,Genesee,26125,0,14440;43716
48418,MI,2;07,,1-2-2012,42.59,-83.50,3;61,Oakland,26155,0,14904;56557
48836,MI,2;07,,1-2-2012,42.47,-83.49,3;64,Oakland,36051,0,15028;42623
49621,MI,2;1,14000,11/27/2010,42.82,-83.94,3;63,Shiawassee,26089,6666;666667,15204;34426
49451,MI,2;1,,5-3-2010,42.66,-84.07,3;61,Livingston,26121,0,15120;57377
48910,MI,2;1,17185,10-4-2010,44.85,-85.80,3;65,Leelanau,26065,8183;333333,15288;11475
49070,MI,2;1,15000,8-10-2009,43.18,-85.94,3;67,Muskegon,26005,7142;857143,15371;88525
48188,MI,2.118,25425,11/24/2010,42.70,-84.55,3;62,Ingham,54099,12;00424929,15292422;95
49783,MI,2;2,12700,07/28/2011,42.53,-85.63,3;58,Allegan,55017,5772;727273,15708;96175
48101,MI,2;25,21494,10/26/2010,42.30,-83.48,3;63,Wayne,54099,9552;888889,16290;36885
48723,MI,2;25,24000,02/25/2010,46.48,-84.36,3;76,Chippewa,26157,10666;66667,16873;77049
48801,MI,2;25,24000,12/28/2010,42.25,-83.21,3;61,Wayne,26057,10666;66667,16200;61475
49525,MI,2;25,28000,10-12-2010,43.48,-83.40,3;63,Tuscola,48263,12444;44444,16290;36885
48223,MI,2;25,34384,10/28/2010,43.37,-84.65,3;63,Gratiot,54099,15281;77778,16290;36885
49920,MI,2;25,21494,12-9-2010,42.96,-85.65,3;66,Kent,55051,9552;888889,16425
49046,MI,2;25,33184,11/24/2010,42.38,-83.10,3;61,Wayne,29009,14748;44444,16200;61475
48198,MI,2;28,17000,4-1-2009,46.09,-88.32,3;97,Iron,26161,7456;140351,18053;7377
49870,MI,2;3,25841,7-1-2010,42.49,-85.40,3;61,Barry,26043,11235;21739,16560;62842
49908,MI,2;3,21494,07/15/2010,42.24,-83.62,3;64,Washtenaw,26013,9345;217391,16698;25137
49837,MI,2;3,21494,06/17/2010,45.80,-87.91,4;01,Dickinson,48119,9345;217391,18395;60109
49079,MI,2;3,,10/21/2010,46.77,-88.49,3;97,Baraga,47175,0,18212;10383
49241,MI,2;31,,4-12-2010,45.85,-87.02,3;92,Delta,55053,0,18060;91803
48382,MI,2;4,,4-12-2010,42.21,-85.89,3;61,Van Buren,26125,0,17280;65574
49441,MI,2;4,16000,10/22/2011,42.10,-84.55,3;58,Jackson,26121,6666;666667,17137;04918
49461,MI,2;4,16000,11-11-2011,42.59,-83.50,3;61,Oakland,26121,6666;666667,17280;65574
49420,MI,2;4,16000,11-11-2011,43.22,-86.25,3;56,Muskegon,26127,6666;666667,17041;31148
49421,MI,2;4,16000,11-11-2011,43.39,-86.34,3;73,Muskegon,26127,6666;666667,17855;08197
48103,MI,2;55,16200,10/27/2011,43.69,-86.36,3;71,Oceana,26161,6352;941176,18869;30328
48423,MI,2;64,,08/16/2012,43.56,-86.04,3;72,Oceana,36037,0,19587;93443
48135,MI,2;7,,11-2-2010,42.27,-83.73,3;63,Washtenaw,54099,0,19548;44262
49055,MI,2;7,,07/28/2011,43.03,-83.51,3;56,Genesee,47175,0,19171;47541
49460,MI,2;76,,07/20/2011,42.32,-83.34,3;61,Wayne,40115,0,19872;7541
48183,MI,2;8,14000,10/28/2010,42.36,-85.87,3;64,Van Buren,54099,5000,20328;30601
48888,MI,2;99,,09/16/2010,42.91,-86.12,3;68,Ottawa,26117,0,21946;27322
48462,MI,3,19449;33,11-1-2013,42.13,-83.22,3;59,Wayne,26125,6483;11,21481;14754
49341,MI,3,,5-1-2008,43.29,-85.07,3;61,Montcalm,48263,0,21600;81967
49408,MI,3,,11/15/2010,42.85,-83.44,3;59,Oakland,26005,0,21481;14754
48462,MI,3;01,21000,10-1-2009,43.12,-85.55,3;64,Kent,26125,6976;744186,21852;92896
48421,MI,3.075,,04/15/2009,42.59,-86.10,3;61,Allegan,26087,0,22140840;16
49112,MI,3;15,17000,8-3-2009,42.85,-83.44,3;59,Oakland,48067,5396;825397,22555;20492
48189,MI,3;2,44000,9-1-2006,43.15,-83.40,3;57,Lapeer,26161,13750,22785;57377
49079,MI,3;3,,4-7-2009,41.79,-86.08,3;57,Cass,47175,0,23497;62295
49629,MI,3;36,14400,05/22/2013,42.42,-83.74,3;63,Washtenaw,26009,4285;714286,24326;95082
48103,MI,3;4,13000,06/20/2010,42.21,-85.89,3;61,Van Buren,26161,3823;529412,24480;92896
48324,MI,3;44,22000,2-1-2011,44.89,-85.40,3;63,Antrim,26125,6395;348837,24906;16393
48323,MI,3;44,45000,2-3-2011,42.27,-83.73,3;63,Washtenaw,26125,13081;39535,24906;16393
49307,MI,3;7,,6-2-2010,42.56,-83.38,3;59,Oakland,26107,0,26493;4153
48455,MI,3;7,,07/20/2010,42.56,-83.38,3;59,Oakland,26087,0,26493;4153
48324,MI,3;7,,9-10-2009,43.70,-85.48,3;66,Mecosta,26125,0,27010
48348,MI,3;87,24187;5,10-1-2010,42.94,-83.29,3;57,Lapeer,26125,6250,27556;30328
48098,MI,3;9,,11/16/2009,42.56,-83.38,3;59,Oakland,26125,0,27925;4918
48430,MI,3;91,,07/19/2012,42.73,-83.42,3;61,Oakland,36037,0,28153;06831
48820,MI,4,,08/24/2009,42.58,-83.14,3;6,Oakland,42035,0,28721;31148
48161,MI,4,,6-12-2010,42.80,-83.71,3;62,Genesee,55081,0,28880;87432
48854,MI,4,,05/24/2010,42.86,-84.59,3;62,Clinton,26065,0,28880;87432
49720,MI,4,,10/26/2010,41.91,-83.38,3;6,Monroe,26029,0,28721;31148
49686,MI,4,30900,11-1-2009,42.58,-84.44,3;61,Ingham,26055,7725,28801;0929
49686,MI,4,,03/15/2007,45.31,-85.25,3;59,Charlevoix,26055,0,28641;53005
48601,MI,4,0,3-7-2011,44.75,-85.60,3;71,Grand Traverse,26145,0,29598;9071
49684,MI,4,16000,9-12-2012,44.75,-85.60,3;71,Grand Traverse,26055,4000,29598;9071
49686,MI,4.032,30900,11-10-2009,43.41,-83.94,3;65,Saginaw,26055,7;663690476,29353180;33
49128,MI,4;08,20000,06/26/2010,44.75,-85.60,3;69,Grand Traverse,26021,4901;960784,30028;13115
48331,MI,4;1,,04/14/2010,44.75,-85.60,3;71,Grand Traverse,26125,0,30338;87978
48051,MI,4;1,,05/17/2010,41.79,-86.61,3;47,Berrien,26099,0,28376;25683
49417,MI,4;2,21219,8-3-2010,42.46,-83.37,3;6,Oakland,40115,5052;142857,30157;37705
49104,MI,4;3,,06/22/2009,42.68,-82.73,3;56,Macomb,26021,0,30532;34973
49346,MI,4;3,,02/16/2011,43.05,-86.22,3;68,Ottawa,26107,0,31561;53005
49686,MI,4;32,18650,08/17/2012,41.94,-86.34,3;57,Berrien,26055,4317;12963,30760;52459
48823,MI,4;41,,12/15/2010,43.58,-85.44,3;64,Mecosta,26065,0,32017;08197
48370,MI,4;5,,11/23/2010,44.75,-85.60,3;71,Grand Traverse,26125,0,33298;77049
49686,MI,4;5,21000,5-2-2011,42.73,-84.48,3;64,Ingham,26055,4666;666667,32670;4918
49676,MI,4;5,22000,09/23/2011,42.82,-83.25,3;58,Oakland,26079,4888;888889,32131;96721
48239,MI,4;6,,8-1-2011,44.75,-85.60,3;71,Grand Traverse,54099,0,34038;74317
48116,MI,4;6,21000,8-10-2010,44.83,-85.28,3;69,Kalkaska,36051,4565;217391,33855;2459
48239,MI,4;68,,8-1-2011,42.39,-83.29,3;6,Wayne,54099,0,33603;93443
48188,MI,4;7,27000,12/24/2009,42.53,-83.78,3;62,Livingston,54099,5744;680851,33935;02732
48124,MI,4;7,,3-8-2011,42.39,-83.29,3;6,Wayne,54099,0,33747;54098
48188,MI,4;7,27000,12/29/2009,42.30,-83.48,3;63,Wayne,54099,5744;680851,34028;77049
48629,MI,4;7,32900,02/15/2010,42.31,-83.21,3;61,Wayne,26143,7000,33841;28415
48353,MI,4.725,,5-12-2011,42.30,-83.48,3;63,Wayne,36051,0,34209774;59
49038,MI,4;73,23650,08/25/2010,44.31,-84.76,3;79,Roscommon,26021,5000,35755;43989
48036,MI,4;8,,03/16/2011,42.65,-83.75,3;62,Livingston,26099,0,34657;04918
48505,MI,4;8,,12/31/2010,42.18,-86.30,3;44,Berrien,36037,0,32933;77049
48105,MI,4;92,22500,12/30/2010,42.58,-82.91,3;55,Macomb,26161,4573;170732,34836;55738
49333,MI,4.928,28000,11/29/2010,43.02,-83.69,3;61,Genesee,29009,5;681818182,35482946;45
48326,MI,4;95,27510,12/15/2011,42.27,-83.73,3;65,Washtenaw,26125,5557;575758,36036;27049
49601,MI,5,21000,10/15/1997,42.71,-85.46,3;63,Barry,26165,4200,36200;81967
49058,MI,5,,11-1-2008,42.67,-83.24,3;59,Oakland,29009,0,35801;91257
49506,MI,5,,09/14/2010,44.24,-85.41,3;72,Wexford,48263,0,37098;36066
49333,MI,5,,10/17/2010,42.65,-85.28,3;63,Barry,29009,0,36200;81967
49055,MI,5,21000,12/29/2010,42.96,-85.65,3;65,Kent,47175,4200,36400;27322
49064,MI,5,15000,12/29/2010,42.71,-85.46,3;63,Barry,47175,3000,36200;81967
49534,MI,5;04,,3-1-2010,42.36,-85.87,3;64,Van Buren,0,0,36590;95082
