ZIP,State,Annual Average (kWh/m2/day)
4740,ME,3;82
4742,ME,3;77
4743,ME,4;00
4745,ME,3;72
4746,ME,3;85
4747,ME,4;02
4750,ME,3;74
4751,ME,3;72
4756,ME,3;72
4757,ME,3;97
4758,ME,3;86
4760,ME,3;98
4761,ME,4;05
4762,ME,4;00
4763,ME,3;99
4764,ME,4;10
4765,ME,4;04
4766,ME,4;00
4768,ME,4;08
4769,ME,3;94
4772,ME,3;81
4773,ME,3;76
4774,ME,4;02
4775,ME,4;06
4776,ME,4;01
4777,ME,4;02
4779,ME,3;87
4780,ME,4;05
4781,ME,4;03
4783,ME,3;98
4785,ME,3;82
4786,ME,3;95
4787,ME,3;96
4841,ME,3;92
4843,ME,3;98
4847,ME,3;96
4848,ME,3;99
4849,ME,4;00
4851,ME,3;93
4853,ME,3;94
4854,ME,3;91
4855,ME,3;96
4856,ME,3;98
4858,ME,3;86
4859,ME,3;91
4860,ME,3;97
4861,ME,3;97
4862,ME,3;97
4863,ME,3;87
4864,ME,3;94
4901,ME,3;90
4910,ME,3;96
4911,ME,3;90
4912,ME,3;97
4915,ME,3;97
4917,ME,3;91
4918,ME,3;89
4920,ME,3;87
4921,ME,3;99
4922,ME,3;96
4923,ME,3;94
4924,ME,3;92
4925,ME,3;92
4927,ME,3;90
4928,ME,3;90
4929,ME,3;90
4930,ME,3;95
4932,ME,4;03
4933,ME,3;82
4936,ME,3;63
4937,ME,3;86
4938,ME,3;93
4939,ME,3;95
4941,ME,4;03
4942,ME,3;96
4943,ME,3;95
4945,ME,3;75
4947,ME,3;83
4949,ME,4;02
4950,ME,3;87
4951,ME,4;01
4952,ME,3;98
4953,ME,3;91
4955,ME,3;92
4956,ME,3;94
4957,ME,3;90
4958,ME,3;88
4961,ME,3;82
4963,ME,3;84
4964,ME,3;60
4965,ME,3;88
4966,ME,3;85
4967,ME,3;93
4969,ME,3;94
4970,ME,3;65
4971,ME,3;92
4972,ME,4;03
4973,ME,4;01
4974,ME,3;99
4975,ME,3;88
4976,ME,3;91
4978,ME,3;86
4979,ME,3;91
4981,ME,4;00
4982,ME,3;84
4983,ME,3;92
4984,ME,3;91
4985,ME,3;85
4986,ME,3;99
4987,ME,3;96
4988,ME,3;96
4989,ME,3;92
4992,ME,3;90
5001,VT,3;69
5009,VT,3;64
5031,VT,3;85
5032,VT,3;75
5033,VT,3;64
5034,VT,3;80
5035,VT,3;76
5036,VT,3;72
5037,VT,3;69
5038,VT,3;72
5039,VT,3;73
5040,VT,3;73
5041,VT,3;69
5042,VT,3;65
5043,VT,3;61
5045,VT,3;62
5046,VT,3;74
5048,VT,3;66
5051,VT,3;66
5052,VT,3;63
5053,VT,3;69
5055,VT,3;67
5056,VT,3;76
5058,VT,3;68
5059,VT,3;66
5060,VT,3;78
5061,VT,3;69
5062,VT,3;80
5065,VT,3;73
5067,VT,3;72
5068,VT,3;75
5069,VT,3;68
5070,VT,3;77
5071,VT,3;76
5072,VT,3;74
5073,VT,3;66
5075,VT,3;66
5076,VT,3;74
5077,VT,3;70
5079,VT,3;73
5081,VT,3;66
5083,VT,3;69
5084,VT,3;67
5086,VT,3;74
5088,VT,3;64
5089,VT,3;67
5091,VT,3;74
5101,VT,3;70
5141,VT,3;79
5142,VT,3;79
5143,VT,3;75
5146,VT,3;78
5148,VT,3;72
5149,VT,3;77
5150,VT,3;69
5151,VT,3;66
5152,VT,3;74
5153,VT,3;81
5154,VT,3;79
5155,VT,3;75
5156,VT,3;64
5158,VT,3;63
5161,VT,3;78
5201,VT,3;65
5250,VT,3;67
5251,VT,3;62
5252,VT,3;71
5253,VT,3;65
5254,VT,3;68
5255,VT,3;69
5257,VT,3;63
5260,VT,3;58
5261,VT,3;57
5262,VT,3;66
5301,VT,3;75
5340,VT,3;69
5341,VT,3;78
5342,VT,3;75
5343,VT,3;76
5344,VT,3;86
5345,VT,3;74
5346,VT,3;65
5350,VT,3;66
5351,VT,3;83
5352,VT,3;59
5353,VT,3;77
5354,VT,3;65
5355,VT,3;75
5356,VT,3;79
5358,VT,3;81
5359,VT,3;78
5360,VT,3;76
5361,VT,3;68
5362,VT,3;77
5363,VT,3;77
5401,VT,3;77
5403,VT,3;79
5404,VT,3;81
5405,VT,3;88
5408,VT,3;72
5439,VT,3;88
5440,VT,3;71
5441,VT,3;85
5442,VT,3;80
5443,VT,3;91
5444,VT,3;83
5445,VT,3;79
5446,VT,3;82
5447,VT,3;63
5448,VT,3;83
5450,VT,3;72
5452,VT,3;86
5454,VT,3;82
5455,VT,3;83
5456,VT,3;80
5457,VT,3;65
5458,VT,3;86
5459,VT,3;65
5461,VT,3;83
