Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=VT
5345,VT,1.84,16420.0,11/19/2010,
5301,VT,1.84,14000.0,10-12-2010,
5822,VT,1.84,13800.0,10-1-2010,
5075,VT,1.84,13364.0,08/24/2010,
5839,VT,1.84,13432.6,07/18/2010,
5001,VT,1.84,13910.0,01/24/2010,
5344,VT,1.84,7250.0,11/26/2011,
5660,VT,1.84,7944.0,06/19/2012,
5836,VT,1.84,13340.0,7-10-2012,
5827,VT,1.85,14508.76,7-8-2011,
5001,VT,1.86,17068,07/24/2008,
5158,VT,1.88,10284.0,3-1-2012,
5359,VT,1.88,9362.0,01/20/2012,
5462,VT,1.88,11326.54,1-6-2012,
5602,VT,1.92,16959.99,03/19/2004,
5766,VT,1.92,19564.54,07/23/2004,
5257,VT,1.92,10240.0,12-10-2011,
5836,VT,1.92,22575.0,10/28/2011,
5651,VT,1.95,18840,3-6-2008,
5821,VT,1.95,15225.0,07/14/2010,
5445,VT,1.95,11505.0,03/30/2012,
5839,VT,1.96,10322.0,6-7-2011,
5769,VT,1.96,9310.0,06/13/2012,
5001,VT,1.98,20778.68,09/13/2007,
5061,VT,1.98,26211.25,10/22/2004,
5753,VT,1.98,12851.25,02/19/2004,
5346,VT,1.98,12582.0,4-6-2011,
5143,VT,2.0,9020.0,9-6-2011,
5495,VT,2,18869.2,12-7-2007,
5495,VT,2,13644,06/26/2008,
5677,VT,2,23870,06/26/2009,
5462,VT,2,15809,07/16/2009,
5733,VT,2,19676,01/27/2009,
5660,VT,2,23430,2-4-2009,
5074,VT,2,19480,5-11-2009,
5401,VT,2,18331,09/26/2008,
5445,VT,2,15597,12/21/2006,
5482,VT,2,18615,8-2-2007,
5826,VT,2,20439.7,07/25/2007,
5056,VT,2.0,13051.0,12/28/2012,
5732,VT,2.016,21469.0,02/21/2010,
5482,VT,2.025,11947.5,08/31/2011,
5061,VT,2.04,17049,10/20/2008,
5461,VT,2.04,17126.78,07/24/2008,
5734,VT,2.04,17937,2-1-2008,
5482,VT,2.05,12095.0,8-12-2011,
5495,VT,2.05,12095.0,01/14/2011,
5490,VT,2.07,17800,07/13/2006,
5843,VT,2.07,14400.07,12/30/2011,
