Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=VT
5701,VT,3.92,21560.0,9-6-2012,
5465,VT,3.924,,9-6-2012,
5468,VT,3.924,,12-4-2012,
5677,VT,3.924,,12-7-2012,
5676,VT,3.924,,12-7-2012,
5641,VT,3.924,,12/20/2012,
5465,VT,3.924,,12/19/2012,
5477,VT,3.924,,12/27/2012,
5677,VT,3.924,22384.0,8-2-2012,
5495,VT,3.924,11337.0,07/13/2012,
5602,VT,3.924,21586.0,06/13/2012,
5404,VT,3.924,10960.0,07/31/2012,
5650,VT,3.924,21563.0,7-10-2012,
5676,VT,3.924,21512.0,06/21/2012,
5452,VT,3.924,20623.0,06/29/2012,
5682,VT,3.924,22142.0,08/22/2012,
5673,VT,3.924,11128.0,07/19/2012,
5477,VT,3.924,22643.0,06/19/2012,
5677,VT,3.924,21513.0,08/15/2012,
5602,VT,3.924,22045.0,07/25/2012,
5462,VT,3.924,21995.0,10/23/2012,
5494,VT,3.924,19000.0,10/28/2012,
5701,VT,3.924,11874.0,10-8-2012,
5461,VT,3.924,21833.0,10-8-2012,
5468,VT,3.924,19230.0,10-10-2012,
5403,VT,3.924,11930.0,10-8-2012,
5680,VT,3.924,22777.0,10/29/2012,
5489,VT,3.924,11958.0,11/28/2012,
5676,VT,3.924,21727.0,10/29/2012,
5462,VT,3.924,11987.0,12/19/2012,
5401,VT,3.96,28800,11-8-2007,
5462,VT,3.96,25974.0,06/28/2010,
5742,VT,3.96,34750.0,3-8-2011,
5301,VT,3.96,22550.0,01/26/2012,
5461,VT,3.968,6944,05/16/2007,
5753,VT,3.968,27723.15,8-8-2008,
5673,VT,3.99,31000.0,09/25/2010,
5443,VT,3.99,31000.0,8-12-2010,
5473,VT,3.99,31000.0,04/28/2010,
5753,VT,3.99,31000.0,09/20/2010,
5495,VT,3.99,,04/22/2011,
5674,VT,3.99,23227.0,07/29/2010,
5677,VT,3.99,23468.0,07/23/2010,
5482,VT,4.0,,11/21/2012,
5482,VT,4,33638,08/30/2007,
5251,VT,4,31890,08/13/2009,
5767,VT,4,29839.81,09/17/2009,
5488,VT,4,33929,8-4-2008,
5001,VT,4,31845.05,09/30/2009,
5477,VT,4.0,29930.0,01/28/2010,
5055,VT,4.0,18474.0,12/26/2011,
5445,VT,4.0,19000.0,12/21/2011,
5461,VT,4.0,19400.0,12-5-2011,
5445,VT,4.0,19000.0,11/27/2011,
5482,VT,4.0,19000.0,11/16/2011,
5819,VT,4.0,24918.97,11/15/2011,
5461,VT,4.0,21000.0,10/26/2011,
5445,VT,4.0,19400.0,08/25/2011,
5495,VT,4.0,19000.0,01/17/2012,
5773,VT,4.0,23500.0,6-8-2012,
5602,VT,4.0,21480.0,04/25/2012,
5679,VT,4.0,21692.0,09/13/2012,
5148,VT,4.0,20000.0,10/25/2012,
5672,VT,4.05,20338.0,11-8-2010,
5667,VT,4.05,27801.73,04/16/2010,
5482,VT,4.05,19237.5,09/26/2011,
5660,VT,4.05,19237.5,09/22/2011,
5301,VT,4.05,21700.0,09/15/2011,
5445,VT,4.05,25312.0,07/29/2011,
5676,VT,4.05,21759.0,05/23/2011,
5340,VT,4.05,23045.0,1-11-2011,
5072,VT,4.05,29228.0,1-9-2012,
5344,VT,4.05,20375.0,06/29/2012,
5641,VT,4.07,21627.0,4-4-2011,
5443,VT,4.08,,12/28/2012,
5661,VT,4.08,43947,9-12-2008,
5055,VT,4.08,22946.0,4-4-2012,
5655,VT,4.08,20907.0,08/21/2012,
5702,VT,4.1,40031,10-12-2007,
5819,VT,4.1,43610,10-5-2007,
5674,VT,4.1,36800,07/23/2009,
5362,VT,4.1,29800,07/18/2009,
5101,VT,4.1,25272.6,08/22/2009,
5495,VT,4.1,34476.33,07/15/2010,
5461,VT,4.1,31200.0,3-3-2010,
5660,VT,4.1,25625.0,09/19/2011,
5482,VT,4.1,19475.0,8-9-2011,
5660,VT,4.1,25625.0,8-5-2011,
5676,VT,4.1,19475.0,7-12-2011,
5476,VT,4.1,19875.0,6-8-2011,
5495,VT,4.1,19922.58,6-2-2011,
5676,VT,4.1,19875.0,05/25/2011,
5660,VT,4.1,22950.0,04/29/2011,
5677,VT,4.1,19475.0,04/25/2011,
5757,VT,4.14,31346.85,02/25/2005,
5819,VT,4.14,26561.0,11/22/2010,
5142,VT,4.14,25200.0,01/14/2010,
5602,VT,4.14,15801.4,12/14/2011,
5149,VT,4.14,25414.27,06/29/2011,
5763,VT,4.14,25398.9,03/15/2011,
5075,VT,4.14,30424.37,01/28/2011,
5602,VT,4.16,19685.0,11/20/2011,
5473,VT,4.18,31000.0,08/13/2010,
5482,VT,4.18,33112,4-6-2006,
5444,VT,4.18,19100.0,12/13/2012,
5051,VT,4.2,26980,10-8-2009,
5819,VT,4.2,33858,5-7-2009,
5446,VT,4.2,33858,07/29/2009,
5401,VT,4.2,29748.59,04/21/2005,
5067,VT,4.2,44654.88,10/19/2007,
5464,VT,4.2,31500.0,12/20/2010,
5491,VT,4.2,0.0,12-9-2010,
5489,VT,4.2,34460.0,12-2-2010,
5450,VT,4.2,29400.0,11/16/2010,
5461,VT,4.2,32550.0,11-10-2010,
5660,VT,4.2,21560.0,02/15/2010,
5486,VT,4.2,31500.0,12/27/2011,
5656,VT,4.2,33600.0,12/27/2011,
5661,VT,4.2,27300.0,12/27/2011,
5445,VT,4.2,24800.0,12/23/2011,
5827,VT,4.2,33600.0,12/18/2011,
5464,VT,4.2,29400.0,11/28/2011,
5766,VT,4.2,29300.0,11/27/2011,
5843,VT,4.2,29400.0,11/19/2011,
5843,VT,4.2,33600.0,11/13/2011,
5445,VT,4.2,33600.0,11-9-2011,
5827,VT,4.2,33600.0,11-1-2011,
5482,VT,4.2,33600.0,10/24/2011,
5495,VT,4.2,33600.0,10/18/2011,
5819,VT,4.2,29400.0,09/18/2011,
5674,VT,4.2,33600.0,9-8-2011,
5826,VT,4.2,29400.0,08/29/2011,
5602,VT,4.2,29400.0,08/22/2011,
5468,VT,4.2,29400.0,8-1-2011,
5491,VT,4.2,33600.0,07/29/2011,
5843,VT,4.2,29400.0,07/29/2011,
5461,VT,4.2,33600.0,07/22/2011,
5676,VT,4.2,26629.0,07/18/2011,
5495,VT,4.2,33600.0,7-1-2011,
5667,VT,4.2,33982.0,06/30/2011,
5445,VT,4.2,29400.0,06/22/2011,
5753,VT,4.2,29400.0,06/21/2011,
5495,VT,4.2,33600.0,05/31/2011,
5495,VT,4.2,33600.0,05/17/2011,
5826,VT,4.2,33600.0,04/28/2011,
5465,VT,4.2,30450.0,4-11-2011,
5753,VT,4.2,33600.0,03/28/2011,
5473,VT,4.2,33600.0,03/25/2011,
5495,VT,4.2,33600.0,03/25/2011,
5651,VT,4.2,33600.0,03/25/2011,
5757,VT,4.2,28181.2,03/22/2011,
5836,VT,4.2,27300.0,1-4-2012,
5495,VT,4.2,27300.0,1-6-2012,
5472,VT,4.2,33600.0,01/15/2012,
5445,VT,4.2,27300.0,1-6-2012,
5465,VT,4.2,27300.0,1-5-2012,
5445,VT,4.2,27300.0,03/30/2012,
5647,VT,4.2,28350.0,5-3-2012,
5046,VT,4.2,28350.0,8-7-2012,
5866,VT,4.2,28350.0,06/22/2012,
5443,VT,4.2,29400.0,6-5-2012,
5842,VT,4.2,28350.0,8-10-2012,
5487,VT,4.2,29400.0,07/16/2012,
5679,VT,4.2,29400.0,11-9-2012,
5461,VT,4.23,19035.0,12-7-2011,
5733,VT,4.23,20145.0,11-8-2011,
5065,VT,4.23,23840.0,06/29/2011,
5743,VT,4.23,17490.0,5-8-2012,
5641,VT,4.25,42325,02/20/2008,
5663,VT,4.251,20617.0,11/20/2012,
5660,VT,4.3,39204.25,07/29/2009,
5346,VT,4.3,30193,11-11-2009,
5766,VT,4.3,31293,09/13/2007,
5301,VT,4.3,30121.0,07/27/2010,
5658,VT,4.305,41060,09/26/2008,
5674,VT,4.32,,12/31/2012,
5655,VT,4.32,40888.56,12-7-2006,
5262,VT,4.32,40067.46,6-12-2010,
5495,VT,4.32,20920.0,12/22/2011,
5495,VT,4.32,20088.0,04/21/2011,
5495,VT,4.32,21812.0,01/30/2012,
5602,VT,4.32,22896.0,04/19/2012,
5344,VT,4.32,18800.0,6-7-2012,
5819,VT,4.32,20500.0,06/13/2012,
5048,VT,4.32,30636.0,08/31/2012,
5602,VT,4.32,25140.0,11-6-2012,
5461,VT,4.4,30015.77,7-2-2009,
5819,VT,4.4,19584.0,03/28/2012,
5602,VT,4.41,,10/30/2012,
5032,VT,4.41,15789.0,2-9-2010,
5346,VT,4.41,25305.0,5-11-2011,
5158,VT,4.41,24655.0,6-5-2012,
5086,VT,4.41,14482.0,12-5-2012,
5651,VT,4.41,22010.0,07/23/2012,
5832,VT,4.41,20639.0,08/17/2012,
5255,VT,4.41,20639.0,08/23/2012,
5455,VT,4.41,22050.0,09/27/2012,
5673,VT,4.41,21256.0,9-12-2012,
5143,VT,4.41,26693.0,12/24/2012,
5363,VT,4.41,19712.0,11/19/2012,
5495,VT,4.44,21534.0,5-10-2011,
5495,VT,4.44,21534.0,04/19/2011,
5454,VT,4.48,27994.0,12/31/2011,
5401,VT,4.48,24569.0,01/16/2012,
5143,VT,4.48,30470.0,5-11-2012,
5354,VT,4.5,29405.0,02/18/2010,
5482,VT,4.5,21775.0,11/21/2011,
5461,VT,4.5,21375.0,11-8-2011,
5445,VT,4.5,21375.0,10/17/2011,
5445,VT,4.5,21375.0,09/15/2011,
5445,VT,4.5,21375.0,08/23/2011,
5445,VT,4.5,21375.0,8-11-2011,
5640,VT,4.5,22139.0,07/29/2011,
5733,VT,4.5,13356.96,05/17/2012,
5079,VT,4.5,27858.0,09/26/2012,
5677,VT,4.51,21422.0,7-7-2011,
5354,VT,4.515,27982.0,8-3-2010,
5660,VT,4.56,40865,11/17/2005,
5655,VT,4.56,52775.62,07/24/2008,
5733,VT,4.56,31103,8-4-2008,
5143,VT,4.56,28360,10/20/2008,
5341,VT,4.56,19409.0,12-10-2009,
5641,VT,4.576,27800.0,1-5-2012,
5477,VT,4.578,,12/18/2012,
5682,VT,4.578,24208.0,05/29/2012,
5673,VT,4.578,25387.0,7-12-2012,
5465,VT,4.578,12600.0,6-11-2012,
5495,VT,4.578,25883.0,07/13/2012,
5602,VT,4.578,26310.9,5-11-2012,
5468,VT,4.578,12561.0,07/26/2012,
5401,VT,4.578,12759.0,11/15/2012,
5489,VT,4.578,23904.0,08/21/2012,
5489,VT,4.578,12777.0,10-12-2012,
5660,VT,4.578,14049.0,10/15/2012,
5477,VT,4.578,13590.0,11/16/2012,
5468,VT,4.578,24021.0,11-12-2012,
5350,VT,4.59,27991.0,01/29/2011,
5658,VT,4.59,46764.19,11/28/2012,
5735,VT,4.59,22480.0,12/26/2012,
5401,VT,4.6,29476.3,09/25/2009,
5032,VT,4.6,26654.35,10/22/2009,
5048,VT,4.6,27285.0,10/28/2010,
5055,VT,4.6,28847.04,6-3-2010,
5048,VT,4.6,23027.0,8-4-2011,
5346,VT,4.6,38547.0,06/29/2011,
5851,VT,4.6,30498.0,5-9-2011,
5055,VT,4.6,24696.8,3-8-2011,
5346,VT,4.6,27042.0,1-4-2011,
5764,VT,4.6,21750.0,07/18/2012,
5647,VT,4.6,34230.0,08/22/2012,
5257,VT,4.6,31450.0,10/15/2012,
5602,VT,4.6,17636.0,11/21/2012,
5477,VT,4.62,22500.0,10/14/2011,
5446,VT,4.68,38122,05/16/2008,
5495,VT,4.68,22230.0,11/17/2011,
5461,VT,4.68,23030.0,01/19/2012,
5495,VT,4.68,21375.0,01/20/2012,
5651,VT,4.7,92350.68,06/17/2009,
5043,VT,4.7,34806.9,1-3-2009,
5091,VT,4.7,36801.06,01/23/2009,
5091,VT,4.7,26100.0,03/23/2012,
5055,VT,4.7,23124.0,04/19/2012,
5048,VT,4.7,23829.0,09/28/2012,
5352,VT,4.725,27942.0,07/22/2010,
5602,VT,4.73,18225.0,11/15/2011,
5071,VT,4.75,21606.0,09/14/2012,
5301,VT,4.8,24960.0,06/26/2012,
5356,VT,4.8,41120,6-9-2009,
5148,VT,4.8,44547,09/16/2009,
5663,VT,4.8,49765,09/26/2008,
5648,VT,4.8,41597,11/17/2005,
5821,VT,4.8,45845,6-12-2009,
5461,VT,4.8,40032,10-5-2007,
5070,VT,4.8,26344.06,11-2-2009,
5075,VT,4.8,300760.0,12-12-2010,
5461,VT,4.8,27876.0,10/15/2010,
5262,VT,4.8,31880.0,01/16/2010,
5489,VT,4.8,23636.0,06/30/2011,
5474,VT,4.8,29572.0,5-9-2011,
5482,VT,4.8,25635.0,05/15/2012,
5055,VT,4.8,30205.0,07/31/2012,
5446,VT,4.8,19200.0,06/19/2012,
5675,VT,4.8,27150.0,07/18/2012,
5465,VT,4.8,19809.0,11/24/2012,
5101,VT,4.83,30188.0,09/26/2011,
5465,VT,4.83,27431.0,1-6-2011,
5487,VT,4.83,22942.0,08/16/2012,
5055,VT,4.84,33540.0,11/22/2011,
5473,VT,4.86,23932.4,01/23/2010,
5647,VT,4.9,34403.2,07/22/2009,
5465,VT,4.9,43171,8-4-2009,
5152,VT,4.9,38908.25,07/22/2009,
5468,VT,4.9,25067.0,8-1-2011,
5072,VT,4.9,24500.0,7-6-2012,
5477,VT,4.9,29630.0,11-8-2012,
5403,VT,4.905,,10/25/2012,
5403,VT,4.905,29963.0,8-9-2012,
5677,VT,4.905,13835.0,09/27/2012,
5462,VT,4.905,25799.0,08/31/2012,
5748,VT,4.92,39025,12/30/2008,
5495,VT,4.92,23370.0,12-10-2010,
5001,VT,4.92,29824.77,10/22/2010,
5043,VT,4.92,39247.19,6-1-2010,
5769,VT,4.92,31000.0,12/14/2011,
5482,VT,4.92,23370.0,08/18/2011,
5482,VT,4.92,24170.0,8-8-2011,
5495,VT,4.92,23370.0,07/20/2011,
5495,VT,4.92,23370.0,06/20/2011,
5495,VT,4.92,23370.0,6-10-2011,
5495,VT,4.92,23370.0,05/18/2011,
5495,VT,4.92,28260.0,5-6-2011,
5660,VT,4.92,23370.0,03/28/2011,
5482,VT,4.92,23370.0,01/26/2012,
5452,VT,4.928,,12/26/2012,
5001,VT,4.94,37102.46,8-8-2008,
5344,VT,4.94,40241,08/28/2008,
5001,VT,4.95,27967.0,11/18/2010,
5461,VT,4.95,23512.5,10/20/2011,
5445,VT,4.95,23512.5,09/23/2011,
5445,VT,4.95,23512.0,07/22/2011,
5677,VT,4.96,0.0,11/18/2010,
5602,VT,4.992,50522,11-3-2008,
5851,VT,5.0,,10/23/2012,
5446,VT,5,33000,07/30/2009,
5468,VT,5,33325,11-11-2009,
5673,VT,5,39705,9-10-2009,
5673,VT,5,48989.36,09/14/2009,
5346,VT,5.0,19773.0,12/15/2011,
5458,VT,5.0,26169.0,09/26/2011,
5461,VT,5.0,22500.0,09/26/2011,
5733,VT,5.0,23850.0,08/14/2012,
5445,VT,5.0,31250.0,01/23/2012,
5778,VT,5.0,30499.0,03/13/2012,
5495,VT,5.0,23250.0,03/22/2012,
5301,VT,5.0,21750.0,12/29/2012,
5672,VT,5.04,41771,10/20/2008,
5465,VT,5.04,42855,8-8-2008,
5443,VT,5.04,40598,09/26/2008,
5091,VT,5.04,101209,05/30/2008,
5255,VT,5.04,27260,12-7-2007,
5841,VT,5.04,34991.25,12-10-2004,
5701,VT,5.04,46092,2-8-2008,
5161,VT,5.04,42500.0,06/18/2010,
5461,VT,5.04,29900.0,05/25/2010,
5445,VT,5.04,35506.68,03/17/2010,
5495,VT,5.04,32000.0,2-12-2010,
5055,VT,5.04,31000.0,01/29/2010,
5673,VT,5.04,34574.0,12/23/2009,
5401,VT,5.04,32000.0,12/21/2009,
5733,VT,5.04,32750.0,12-7-2009,
5674,VT,5.04,36968.0,02/16/2011,
5495,VT,5.04,28280.0,01/27/2011,
5445,VT,5.04,36857.0,01/14/2011,
5462,VT,5.04,21164.0,03/31/2012,
5677,VT,5.04,25558.0,11-9-2012,
5403,VT,5.04,17000.0,09/16/2012,
5819,VT,5.06,44106,06/29/2006,
5065,VT,5.06,24441.0,11/28/2010,
5472,VT,5.06,26430.0,7-8-2010,
5826,VT,5.06,28943.0,09/13/2011,
5867,VT,5.06,31878.0,5-4-2011,
5403,VT,5.06,28462.0,2-8-2011,
5673,VT,5.06,29297.0,1-4-2011,
5494,VT,5.1,32500.0,12/23/2009,
5482,VT,5.1,28050.0,11-3-2011,
5403,VT,5.1,25619.0,09/20/2012,
5774,VT,5.1,21420.0,12/31/2012,
5486,VT,5.1,17159.0,09/24/2012,
5070,VT,5.12,36439.55,10-5-2007,
5777,VT,5.145,19650.0,08/31/2012,
5472,VT,5.145,22330.0,10-4-2012,
5301,VT,5.16,43853.0,12/31/2009,
5061,VT,5.16,42896.0,12/16/2011,
5086,VT,5.16,51305.0,08/16/2011,
5701,VT,5.16,30774.84,7-4-2011,
5495,VT,5.16,24740.0,06/27/2011,
5340,VT,5.16,10297.36,11/30/2012,
5866,VT,5.17,29180.0,05/26/2010,
5074,VT,5.17,28993.0,12-2-2011,
5462,VT,5.17,23250.0,07/15/2011,
5843,VT,5.17,51417.0,5-6-2011,
5079,VT,5.17,27024.5,3-8-2011,
5495,VT,5.18,26605.0,10/24/2011,
5764,VT,5.2,16999.36,05/20/2012,
5465,VT,5.232,,10-12-2012,
5465,VT,5.232,,11/19/2012,
5465,VT,5.232,,11/19/2012,
5403,VT,5.232,,12/14/2012,
5672,VT,5.232,,12-5-2012,
5491,VT,5.232,,11/29/2012,
5674,VT,5.232,,12/20/2012,
5677,VT,5.232,14770.0,08/22/2012,
5403,VT,5.232,13646.0,08/16/2012,
5495,VT,5.232,15084.0,08/25/2012,
5465,VT,5.232,14296.0,09/14/2012,
5660,VT,5.232,13788.0,10/25/2012,
5468,VT,5.232,29853.0,10/29/2012,
5446,VT,5.232,27800.0,11-5-2012,
5672,VT,5.25,36971.94,08/30/2010,
5667,VT,5.25,35187.0,6-12-2010,
5461,VT,5.25,24937.5,12-8-2011,
5495,VT,5.25,24937.5,11/30/2011,
5660,VT,5.25,26137.0,11/30/2011,
5461,VT,5.25,24937.0,01/17/2012,
5671,VT,5.265,24985.0,12-8-2011,
5446,VT,5.28,,12/28/2012,
5363,VT,5.28,45227,6-1-2006,
5674,VT,5.28,42070.86,09/17/2004,
5472,VT,5.28,33632.47,07/23/2010,
5602,VT,5.28,27728.0,11/22/2011,
5301,VT,5.28,26450.0,11-11-2011,
5441,VT,5.28,42785.0,11-9-2011,
5477,VT,5.28,29185.0,07/31/2012,
5468,VT,5.28,23594.0,08/29/2012,
5301,VT,5.29,29836.0,02/16/2011,
5340,VT,5.3,34327,3-8-2009,
5039,VT,5.32,46533,1-11-2007,
5664,VT,5.32,46730,9-12-2008,
5443,VT,5.376,42944.12,3-5-2010,
5676,VT,5.39,23069.0,10/23/2012,
5822,VT,5.4,47479,04/23/2009,
5069,VT,5.4,34966,06/30/2009,
5353,VT,5.4,48600,8-8-2008,
5055,VT,5.4,58368.18,02/18/2009,
5872,VT,5.4,39953.55,11/14/2010,
5301,VT,5.4,29910.0,10/24/2010,
5660,VT,5.4,66955.0,09/21/2010,
5156,VT,5.4,47948.0,9-8-2010,
5477,VT,5.4,26074.0,8-9-2010,
5055,VT,5.4,38421.0,10/17/2011,
5676,VT,5.4,33750.0,10-12-2011,
5301,VT,5.4,29650.0,09/15/2011,
5673,VT,5.4,25650.0,8-8-2011,
5669,VT,5.4,30000.0,07/27/2011,
5495,VT,5.4,26190.0,06/29/2011,
5672,VT,5.46,54668,09/26/2008,
5461,VT,5.46,25935.0,11/21/2011,
5401,VT,5.5,26950,10/22/2004,
5482,VT,5.5,28781.0,10/28/2011,
5076,VT,5.5,23760.0,12-11-2012,
5055,VT,5.52,0.0,12/31/2010,
5346,VT,5.52,62977.0,11/17/2010,
5669,VT,5.52,32295.0,09/24/2010,
5733,VT,5.52,25198.27,9-3-2010,
5101,VT,5.52,16728.0,12-5-2011,
5857,VT,5.52,44160.0,11/22/2011,
5354,VT,5.52,40077.0,11/14/2011,
5825,VT,5.52,44160.0,11-1-2011,
5301,VT,5.52,27600.0,10/20/2011,
5346,VT,5.52,39192.0,10/19/2011,
5461,VT,5.52,44160.0,09/29/2011,
5468,VT,5.52,38500.0,9-2-2011,
5072,VT,5.52,28460.53,06/13/2011,
5403,VT,5.52,41400.0,01/30/2012,
5602,VT,5.52,35250.0,5-1-2012,
5495,VT,5.52,25400.0,06/21/2012,
5855,VT,5.55,35229.84,12/20/2010,
5841,VT,5.55,45128.99,11-1-2010,
5661,VT,5.55,42992.82,06/27/2011,
5495,VT,5.55,27317.5,5-11-2011,
5677,VT,5.6,31558.71,07/15/2009,
5055,VT,5.61,48078,4-6-2006,
5445,VT,5.61,24525.0,04/30/2012,
5667,VT,5.635,,12/13/2012,
5158,VT,5.64,39875.0,03/28/2012,
5358,VT,5.64,39875.0,3-7-2012,
5301,VT,5.64,34640.0,01/31/2012,
5301,VT,5.64,34640.0,01/31/2012,
5443,VT,5.64,,12/31/2011,
5346,VT,5.64,39875.0,12/20/2011,
5753,VT,5.64,30250.34,12/13/2011,
5154,VT,5.64,39875.0,11/28/2011,
5346,VT,5.64,34240.0,11/27/2011,
5075,VT,5.64,39862.0,11-7-2011,
5036,VT,5.64,19386.18,11-4-2011,
5342,VT,5.64,40558.0,11-4-2011,
5763,VT,5.64,39480.0,11-4-2011,
5773,VT,5.64,23343.0,10/30/2011,
5443,VT,5.64,32546.71,09/13/2011,
5363,VT,5.64,33334.0,08/19/2011,
5301,VT,5.64,20869.0,8-5-2011,
5091,VT,5.64,33672.0,1-10-2012,
5773,VT,5.64,29453.0,6-11-2012,
5403,VT,5.64,25492.8,08/31/2012,
5201,VT,5.64,35962.0,8-9-2012,
5201,VT,5.64,35950.0,10/20/2012,
5201,VT,5.64,33600.0,11/30/2012,
5362,VT,5.7,40075,12-1-2008,
5151,VT,5.7,44089.38,5-12-2009,
5301,VT,5.7,29950.0,2-12-2010,
5647,VT,5.74,31570.0,09/13/2011,
5055,VT,5.76,46520,10/22/2004,
5403,VT,5.76,44640.0,12/14/2010,
5055,VT,5.76,35595.0,9-7-2010,
5151,VT,5.76,34848.0,04/27/2010,
5042,VT,5.76,21419.0,4-6-2010,
5142,VT,5.76,33520.0,12/19/2011,
5647,VT,5.76,40320.0,12-2-2011,
5482,VT,5.76,28475.0,06/16/2011,
5660,VT,5.76,34968.0,05/24/2012,
5829,VT,5.76,37440.0,5-10-2012,
5489,VT,5.76,25920.0,6-11-2012,
5461,VT,5.76,20907.23,05/21/2012,
5101,VT,5.76,38932.0,6-12-2012,
5832,VT,5.76,28800.0,05/18/2012,
5301,VT,5.76,21900.0,06/22/2012,
5489,VT,5.76,38640.0,06/28/2012,
5676,VT,5.76,26340.0,06/30/2012,
5764,VT,5.76,27048.0,09/21/2012,
5651,VT,5.76,32472.0,11/29/2012,
5346,VT,5.76,18924.0,12/26/2012,
5602,VT,5.8,41154.59,10/21/2009,
5354,VT,5.805,36302.0,08/13/2010,
5753,VT,5.85,38271.0,11/15/2010,
5301,VT,5.88,24074.0,10-11-2012,
5346,VT,5.88,39749.0,09/19/2012,
5602,VT,5.88,,11/27/2012,
5676,VT,5.88,0.0,12/27/2010,
5851,VT,5.88,29450.0,9-8-2011,
5077,VT,5.88,44529.0,01/31/2011,
5156,VT,5.88,35994.0,09/17/2012,
5346,VT,5.88,29400.0,07/26/2012,
5674,VT,5.88,31158.0,7-11-2012,
5465,VT,5.88,19907.34,09/18/2012,
5679,VT,5.88,23266.0,9-1-2012,
5346,VT,5.88,29800.0,8-6-2012,
5352,VT,5.88,26166.0,10/24/2012,
5677,VT,5.88,36800.0,11-7-2012,
5602,VT,5.88,31164.0,11/30/2012,
5346,VT,5.88,26460.0,12/31/2012,
5753,VT,5.88,36600.0,12/31/2012,
5408,VT,5.886,,12-10-2012,
5650,VT,5.886,,10/29/2012,
5663,VT,5.886,,12-7-2012,
5465,VT,5.886,,12/13/2012,
5446,VT,5.886,,12/20/2012,
5494,VT,5.886,,12/28/2012,
5677,VT,5.886,,12-3-2012,
5495,VT,5.886,33384.0,07/18/2012,
5677,VT,5.886,32933.0,08/14/2012,
5489,VT,5.886,30753.0,06/25/2012,
5602,VT,5.886,30802.0,8-2-2012,
5468,VT,5.886,35487.0,08/13/2012,
5403,VT,5.886,36389.0,8-8-2012,
5403,VT,5.886,36389.0,9-6-2012,
5452,VT,5.886,31645.0,10/24/2012,
5468,VT,5.886,29754.0,12/17/2012,
5663,VT,5.886,17105.0,11-3-2012,
5667,VT,5.886,17643.0,11/19/2012,
5031,VT,5.9,41647.22,10/16/2009,
5862,VT,5.94,62988,07/13/2006,
5495,VT,5.94,37719.0,04/29/2011,
5153,VT,5.98,23084.0,11-7-2011,
5001,VT,5.98,30455.82,07/27/2011,
5055,VT,5.98,31601.5,2-11-2011,
5408,VT,6.0,,11/22/2012,
5857,VT,6.0,39000.0,08/22/2012,
5042,VT,6.0,40505.0,12/16/2011,
5482,VT,6.0,28500.0,10/18/2011,
5839,VT,6.0,20264.0,09/30/2012,
5482,VT,6.0,35900.0,6-6-2012,
5757,VT,6.0,41024.0,08/14/2012,
5491,VT,6.0,40102.0,07/30/2012,
5903,VT,6.0,29900.0,9-10-2012,
5033,VT,6.0,33000.0,10-10-2012,
5766,VT,6.0,31200.0,09/21/2012,
5743,VT,6.0,23700.0,11/23/2012,
5487,VT,6.0,28500.0,08/31/2012,
5033,VT,6.0,25600.0,11-9-2012,
5495,VT,6.0,23641.08,10/30/2012,
5445,VT,6.075,28856.25,11-1-2011,
5461,VT,6.075,28356.25,09/15/2011,
5301,VT,6.11,61577.0,10-5-2011,
5346,VT,6.11,32383.0,08/26/2011,
5362,VT,6.11,39719.0,7-8-2011,
5303,VT,6.11,27180.0,4-8-2011,
5767,VT,6.11,24479.32,01/30/2012,
5461,VT,6.12,41499.0,12/16/2011,
5468,VT,6.12,28500.0,11/15/2011,
5445,VT,6.12,29070.0,01/23/2012,
5301,VT,6.12,17586.0,9-6-2012,
5458,VT,6.12,23068.0,9-10-2012,
5461,VT,6.125,,12-5-2012,
5403,VT,6.125,24560.0,10/19/2012,
5091,VT,6.15,47351,11/14/2008,
5482,VT,6.15,29612.0,11-2-2011,
5482,VT,6.15,29212.5,10-12-2011,
5660,VT,6.15,30112.0,7-7-2011,
5495,VT,6.15,29213.0,06/16/2011,
5602,VT,6.16,39834.0,10/14/2011,
5446,VT,6.213,31000.0,10/19/2012,
5346,VT,6.24,28744.0,07/16/2012,
5255,VT,6.24,28390.0,09/14/2012,
5346,VT,6.24,29640.0,11/21/2011,
5452,VT,6.24,40384.0,6-3-2011,
5301,VT,6.24,24710.0,07/18/2012,
5452,VT,6.24,30883.0,10/24/2012,
5445,VT,6.3,43923,09/15/2009,
5819,VT,6.3,33774.0,09/26/2010,
5035,VT,6.3,28357.0,4-11-2010,
5037,VT,6.3,38369.0,12/29/2009,
5489,VT,6.3,50400.0,8-1-2011,
5676,VT,6.3,50400.0,06/29/2011,
5495,VT,6.3,50400.0,06/21/2011,
5738,VT,6.345,29301.05,11/27/2011,
5340,VT,6.345,36103.0,11/16/2011,
5491,VT,6.345,35513.0,4-6-2011,
5751,VT,6.345,45300.0,02/22/2011,
5737,VT,6.37,,12/21/2012,
5757,VT,6.37,38322.72,10-10-2011,
5677,VT,6.37,32104.0,09/26/2012,
5445,VT,6.37,26085.0,11-9-2012,
5452,VT,6.37,24570.0,12-11-2012,
5059,VT,6.44,36064.0,06/21/2011,
5055,VT,6.48,23400.0,6-8-2012,
5656,VT,6.54,,12-11-2012,
5462,VT,6.54,,11-12-2012,
5403,VT,6.54,,11/19/2012,
5468,VT,6.54,,12/20/2012,
