Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=UT
84092,UT,23.028,16843.0,6-12-2011,
84078,UT,2.317.224,13602.93,07/25/2011,
84405,UT,233.016,15154.0,5-6-2011,
84108,UT,2.337,31110.0,7-8-2011,
84098,UT,2.342,21552.0,10/28/2007,
84121,UT,23.493,15538.0,9-8-2011,
84123,UT,2.35,14240.0,06/29/2010,
84088,UT,2.385,8775.0,07/24/2013,
84088,UT,2.4,14782.79,10/18/2010,
84103,UT,2.4,20758.0,12-9-2007,
84047,UT,2.4,24710.0,06/23/2007,
84109,UT,2.4,15985.0,08/15/2013,
84058,UT,2.5,13125.0,09/30/2013,
84663,UT,2.5,23229.56,9-11-2006,
84663,UT,2.5,23229.56,9-8-2006,
84124,UT,2.5,9311.48,08/15/2013,
84403,UT,2.5,10750.55,08/15/2013,
84108,UT,25.004,14899.4,11/15/2011,
84102,UT,2.52,22259.01,11-6-2009,
84737,UT,2.55,13872.0,05/30/2013,
84060,UT,2.58,22839.0,11/19/2010,
84790,UT,2.625,21000.0,11/14/2007,
84103,UT,2.66,26306.62,11/13/2007,
84075,UT,2.7,25542.77,6-1-2010,
84092,UT,2.7,12722.74,10-9-2009,
84761,UT,2.76,15207.58,12/21/2010,
84341,UT,2.76,20925.0,12/20/2010,
84779,UT,2.76,23980.0,07/13/2010,
84105,UT,2.76,23690.0,9-9-2009,
84103,UT,2.76,21885.0,5-8-2007,
84065,UT,277.704,12454.38,12-8-2011,
84341,UT,2.8,24901.0,12/31/2009,
84106,UT,2.8,15001.0,04/28/2009,
84095,UT,2.805,11328.27,06/27/2013,
84109,UT,281.534,16798.35,12/13/2011,
84341,UT,2.82,17105.0,12/15/2010,
84017,UT,2.85,17000.0,11/18/2009,
84058,UT,2.88,21671.87,11/15/2010,
84310,UT,2.88,26847.0,12/28/2007,
84098,UT,2.894.175,22845.0,11/29/2011,
84604,UT,2.9,18214.17,10-1-2007,
84405,UT,2.94,11908.92,09/16/2013,
84015,UT,2.94,10372.56,07/26/2013,
84123,UT,2.96,16968.0,9-1-2010,
84721,UT,2.97,25021.38,09/25/2008,
84736,UT,2.97,23710.76,12-1-2007,
84738,UT,3.0,16200.0,05/31/2013,
84054,UT,3.0,15750.0,06/30/2013,
84121,UT,3.0,13825.39,8-5-2009,
84102,UT,3.0,13067.0,07/24/2013,
84105,UT,3.0,14250.0,09/24/2013,
84779,UT,3.0,8850.15,02/13/2014,
84093,UT,3.0,14850.0,06/27/2013,
84105,UT,3.01,17450.0,9-10-2010,
84532,UT,3.01,21249.0,11/21/2009,
84103,UT,3.04,27899.59,02/13/2008,
84103,UT,3.04,26308.0,11-1-2007,
84780,UT,3.06,16560.0,04/29/2013,
84074,UT,3.06,16245.0,04/19/2013,
84128,UT,3.06,16245.0,05/29/2013,
84645,UT,3.06,16160.0,05/30/2013,
84721,UT,3.06,23151.14,9-10-2008,
84321,UT,3.08,18480.0,10-4-2010,
84790,UT,3.08,24577.44,01/14/2008,
84790,UT,3.08,24577.94,01/14/2008,
84117,UT,3.12,12390.0,06/27/2013,
84738,UT,3.12,12350.0,12/13/2013,
84003,UT,3.12,14384.1,10-2-2013,
84109,UT,3.15,18018.8,12/21/2010,
84003,UT,3.15,18731.9,07/23/2010,
84095,UT,3.15,18685.0,07/13/2010,
84105,UT,3.15,24831.0,08/25/2009,
84105,UT,3.15,22050.0,04/20/2009,
84790,UT,3.15,24816.0,11/17/2006,
84790,UT,3.15,24816.0,11/16/2006,
84025,UT,317.376,14973.0,12/23/2011,
84120,UT,317.376,35277.0,7-6-2011,
84124,UT,3.22,19600.55,10/25/2010,
84017,UT,3.22,19995.0,09/27/2010,
84003,UT,3.24,27899.0,11/19/2008,
84060,UT,3.29,19736.0,10/28/2010,
84124,UT,3.3,21265.69,8-10-2010,
84032,UT,3.3,32718.83,8-2-2009,
84062,UT,3.315,17238.0,08/30/2013,
84074,UT,3.315,17037.0,4-8-2013,
84070,UT,3.315,17899.0,6-4-2013,
84604,UT,3.36,30512.0,5-1-2009,
84111,UT,3.38,30504.17,11/14/2008,
84124,UT,3.43,12276.75,08/22/2013,
84117,UT,344.052,13420.18,12/22/2011,
84116,UT,3.445,16275.0,11/18/2013,
84105,UT,3.45,21225.0,08/30/2010,
84116,UT,3.5,18870.0,9-4-2013,
84092,UT,3.5,18870.0,11-8-2013,
84403,UT,3.5,15033.06,09/19/2013,
84757,UT,3.52,19930.73,07/22/2010,
84102,UT,355.167,14345.64,11/30/2011,
84662,UT,3.57,19237.0,08/29/2013,
84103,UT,3.57,37352.0,07/14/2009,
84065,UT,3.57,13809.02,06/27/2013,
84601,UT,3.6,23373.0,1-1-2010,
84108,UT,3.6,15508.78,12/13/2009,
84532,UT,3.6,22600.0,2-1-2008,
84032,UT,3.666.816,31930.62,09/15/2011,
84121,UT,3.68,29205.0,07/25/2009,
84738,UT,3.7,26470.0,12-4-2009,
84060,UT,3.71,13795.0,01/27/2014,
84790,UT,3.76,20680.0,12/30/2010,
84738,UT,3.82,26240.0,03/18/2009,
84057,UT,3.83,20576.0,3-1-2013,
84067,UT,3.87,20736.0,12/20/2010,
84738,UT,3.88,26240.0,03/18/2009,
84003,UT,3.9,21265.0,08/15/2010,
84105,UT,3.91,10438.78,01/28/2014,
84115,UT,3.96,38500.0,11/16/2010,
84128,UT,3.96,38500.0,11-8-2010,
84105,UT,4.0,20400.0,06/30/2013,
84010,UT,4.0,21600.0,06/30/2013,
84663,UT,4.0,21200.0,06/30/2013,
84054,UT,4.0,20000.0,07/25/2013,
84037,UT,4.0,21495.0,08/23/2013,
84128,UT,4.0,21495.0,10/30/2013,
84065,UT,4.0,21495.0,10/31/2013,
84074,UT,4.0,18750.0,03/31/2013,
84738,UT,4.0,14358.83,4-8-2010,
84525,UT,4.0,26774.79,7-1-2009,
84020,UT,4.0,30000.0,6-1-2006,
84738,UT,4.03,32240.0,5-1-2008,
84108,UT,4.05,23848.0,12/28/2010,
84093,UT,4.05,24022.9,12-1-2010,
84003,UT,4.05,21890.0,7-12-2010,
84335,UT,4.05,23276.59,7-1-2010,
84321,UT,4.05,23768.45,7-1-2010,
84106,UT,4.05,32059.0,08/27/2009,
84101,UT,4.05,15184.81,01/27/2014,
84092,UT,4.08,20808.0,08/30/2013,
