Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=10&minsize=7&state=CA
94506,CA,7.0,47446.8,04/20/2006,
94587,CA,7.0,47818.23,1-12-2006,
94549,CA,7.0,52761.0,06/30/2006,
92116,CA,7.0,49894.0,1-12-2006,
93402,CA,7.0,60470.75,05/24/2006,
94513,CA,7.0,49894.0,05/22/2006,
95672,CA,7.0,51294.0,08/25/2006,
92120,CA,7.0,46480.0,1-12-2006,
95667,CA,7.0,53818.0,01/26/2006,
91910,CA,7.0,49894.0,02/17/2006,
94402,CA,7.0,49970.0,03/15/2006,
96008,CA,7.0,49894.0,12-12-2006,
95901,CA,7.0,49894.0,5-4-2006,
95207,CA,7.0,49981.4,06/26/2006,
95361,CA,7.0,52794.0,03/30/2006,
95686,CA,7.0,52252.0,5-8-2006,
95377,CA,7.0,52470.0,06/28/2006,
95901,CA,7.0,52394.0,06/30/2006,
94564,CA,7.0,56332.4,11/22/2006,
94022,CA,7.0,54738.73,06/28/2006,
95117,CA,7.0,51613.6,05/31/2006,
94513,CA,7.0,49894.0,05/24/2006,
93635,CA,7.0,51970.0,06/13/2006,
90066,CA,7.0,49313.59,05/31/2006,
93221,CA,7.0,55310.0,10-10-2006,
93720,CA,7.0,49894.0,06/28/2006,
91762,CA,7.0,22800.0,12-5-2013,
92040,CA,7.0,52812.0,06/13/2006,
95304,CA,7.0,50056.0,06/28/2006,
96055,CA,7.0,35055.0,08/21/2006,
95130,CA,7.0,49894.0,05/29/2007,
94552,CA,7.0,37129.0,8-9-2006,
95901,CA,7.0,50894.0,08/16/2006,
92109,CA,7.0,47602.46,06/28/2006,
92020,CA,7.0,52427.59,5-4-2006,
91381,CA,7.0,52644.35,06/30/2006,
92003,CA,7.0,48696.0,03/30/2006,
96080,CA,7.0,51894.0,08/25/2006,
95361,CA,7.0,50570.0,12-12-2006,
93638,CA,7.0,49894.0,10-5-2006,
95360,CA,7.0,33131.0,06/30/2006,
95713,CA,7.0,52894.0,9-8-2006,
95945,CA,7.0,54894.0,6-9-2006,
92020,CA,7.0,50587.59,08/16/2007,
92064,CA,7.0,48807.59,1-8-2007,
92020,CA,7.0,45877.59,6-7-2006,
92019,CA,7.0,48177.59,5-4-2006,
94963,CA,7.0,50669.0,11/28/2006,
95377,CA,7.0,49894.0,3-6-2007,
93631,CA,7.0,43495.0,06/28/2006,
94002,CA,7.0,51303.1,10-10-2006,
92082,CA,7.0,49602.0,09/21/2006,
94550,CA,7.0,36629.0,02/16/2007,
91916,CA,7.0,49237.59,6-8-2006,
95673,CA,7.0,50516.2,11/14/2006,
95623,CA,7.0,58310.0,8-4-2006,
93638,CA,7.0,55310.0,11-9-2006,
96022,CA,7.0,49894.0,4-2-2007,
93602,CA,7.0,43495.0,06/26/2006,
95301,CA,7.0,55373.0,2-9-2007,
93638,CA,7.0,43495.0,06/30/2006,
93619,CA,7.0,43495.0,7-7-2006,
93619,CA,7.0,43495.0,7-12-2007,
93638,CA,7.0,43495.0,06/28/2006,
93619,CA,7.0,43495.0,9-1-2006,
93722,CA,7.0,43495.0,06/28/2006,
93291,CA,7.0,43495.0,9-8-2006,
93451,CA,7.0,55310.0,10/17/2006,
93305,CA,7.0,55134.0,08/16/2006,
94619,CA,7.0,60650.0,05/29/2007,
93711,CA,7.0,43495.0,08/21/2006,
93312,CA,7.0,56020.0,8-4-2006,
93306,CA,7.0,55310.0,9-5-2006,
93230,CA,7.0,55373.0,8-1-2006,
95554,CA,7.0,63326.88,1-12-2007,
95713,CA,7.0,44820.53,6-6-2006,
95377,CA,7.0,51394.0,08/30/2006,
93625,CA,7.0,43495.0,06/28/2006,
93711,CA,7.0,55310.0,10-5-2006,
94513,CA,7.0,51894.0,8-4-2006,
95687,CA,7.0,58373.0,12-12-2006,
93292,CA,7.0,55310.0,1-12-2007,
91384,CA,7.0,58100.0,08/23/2007,
95252,CA,7.0,55310.0,10-10-2006,
93230,CA,7.0,43495.0,11/21/2006,
91360,CA,7.0,49894.0,09/19/2007,
91764,CA,7.0,34300.0,01/29/2014,
95624,CA,7.0,21857.0,02/20/2014,
91765,CA,7.0,31806.88,12/17/2013,
91784,CA,7.0,34595.88,1-6-2012,
91784,CA,7.0,35137.22,12/19/2011,
91784,CA,7.0,44000.0,09/19/2012,
91784,CA,7.0,34300.0,02/24/2014,
91784,CA,7.0,31824.89,1-9-2014,
91784,CA,7.0,33547.22,10/23/2011,
91784,CA,7.0,46027.97,01/25/2010,
91784,CA,7.0,31824.89,2-11-2014,
91784,CA,7.0,32200.0,12-10-2013,
91789,CA,7.0,34500.0,08/14/2013,
91791,CA,7.0,38720.0,05/15/2013,
90631,CA,7.0,31474.97,03/19/2013,
92210,CA,7.0,38000.0,06/17/2013,
90808,CA,7.0,0.0,11/13/2013,
91724,CA,7.0,0.0,11/28/2011,
92211,CA,7.0,37590.0,09/24/2013,
91311,CA,7.0,0.0,12-2-2013,
92211,CA,7.0,35000.0,9-10-2013,
92211,CA,7.0,44116.13,8-9-2010,
92211,CA,7.0,35284.52,8-1-2013,
91737,CA,7.0,56000.0,11/25/2013,
92211,CA,7.0,38834.0,12/21/2009,
92211,CA,7.0,52806.0,01/13/2009,
91739,CA,7.0,0.0,12/13/2013,
91739,CA,7.0,0.0,12/14/2013,
92223,CA,7.0,37100.0,11/19/2012,
92223,CA,7.0,43362.65,10/14/2010,
92223,CA,7.0,52697.2,04/22/2008,
90240,CA,7.0,0.0,12/14/2013,
92223,CA,7.0,47882.8,01/14/2013,
90250,CA,7.0,0.0,12-6-2013,
92223,CA,7.0,31214.0,6-7-2012,
92223,CA,7.0,25900.0,1-9-2014,
92223,CA,7.0,40357.53,04/18/2013,
92225,CA,7.0,24239.25,01/22/2013,
