Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
91773,CA,5.0,21070.0,9/3/2013,34.10,-117.81,5;97,Los Angeles,6037
91775,CA,5.0,21805.0,02/22/2013,34.11,-118.08,5;90,Los Angeles,6037
91775,CA,5.0,22500.0,01/31/2014,34.11,-118.08,5;90,Los Angeles,6037
91776,CA,5.0,20070.0,05/21/2013,34.08,-118.09,5;82,Los Angeles,6037
91786,CA,5.0,33457.2,6/7/2013,34.10,-117.66,6;11,San Bernardino,6071
91786,CA,5.0,31963.16,05/24/2013,34.10,-117.66,6;11,San Bernardino,6071
91789,CA,5.0,24500.0,01/28/2014,34.01,-117.85,5;69,Los Angeles,6037
91789,CA,5.0,30000.0,11/12/2010,34.01,-117.85,5;69,Los Angeles,6037
91789,CA,5.0,30000.0,10/9/2013,34.01,-117.85,5;69,Los Angeles,6037
91789,CA,5.0,29000.0,8/9/2010,34.01,-117.85,5;69,Los Angeles,6037
91791,CA,5.0,24500.0,01/30/2014,34.06,-117.89,5;70,Los Angeles,6037
91006,CA,5.0,36500.0,11/12/2013,34.13,-118.02,6;26,Los Angeles,6037
91711,CA,5.0,39520.0,10/16/2013,34.12,-117.71,6;14,Los Angeles,6037
92211,CA,5.0,24500.0,01/13/2014,33.77,-116.34,7;63,Riverside,6065
91320,CA,5.0,0.0,10/22/2013,34.17,-118.95,6;17,Ventura,6111
92211,CA,5.0,18750.0,5/6/2013,33.77,-116.34,7;63,Riverside,6065
91739,CA,5.0,0.0,11/27/2013,34.14,-117.51,6;59,San Bernardino,6071
91739,CA,5.0,21000.0,12/4/2013,34.14,-117.51,6;59,San Bernardino,6071
92223,CA,5.0,24500.0,01/13/2014,33.94,-116.97,7;00,Riverside,6065
92223,CA,5.0,21650.0,11/13/2013,33.94,-116.97,7;00,Riverside,6065
92223,CA,5.0,21967.0,1/9/2014,33.94,-116.97,7;00,Riverside,6065
92223,CA,5.0,26785.0,01/14/2013,33.94,-116.97,7;00,Riverside,6065
90254,CA,5.0,24039.58,7/11/2013,33.86,-118.39,5;12,Los Angeles,6037
92225,CA,5.0,24815.0,12/5/2013,33.75,-114.51,7;69,Riverside,6065
91351,CA,5.0,19873.91,01/14/2014,34.43,-118.46,6;69,Los Angeles,6037
91360,CA,5.0,0.0,11/12/2013,34.21,-118.88,6;30,Ventura,6111
92262,CA,5.0,0.0,12/10/2013,33.85,-116.56,7;55,Riverside,6065
91362,CA,5.0,0.0,12/12/2013,34.19,-118.81,6;36,Ventura,6111
91387,CA,5.0,0.0,12/12/2013,34.40,-118.40,6;73,Los Angeles,6037
91701,CA,5.0,0.0,10/8/2013,34.14,-117.61,6;72,San Bernardino,6071
91765,CA,5.0,21400.0,01/17/2014,33.99,-117.81,5;76,Los Angeles,6037
91766,CA,5.0,0.0,12/12/2013,34.03,-117.75,5;94,Los Angeles,6037
91767,CA,5.0,0.0,12/14/2013,34.08,-117.73,6;04,Los Angeles,6037
91773,CA,5.0,0.0,12/2/2013,34.10,-117.81,5;97,Los Angeles,6037
91791,CA,5.0,17946.8,05/22/2013,34.06,-117.89,5;70,Los Angeles,6037
92223,CA,5.0,0.0,12/11/2013,33.94,-116.97,7;00,Riverside,6065
92311,CA,5.0,0.0,12/14/2013,34.97,-116.99,8;21,San Bernardino,6071
92342,CA,5.0,0.0,12/11/2013,34.74,-117.35,8;23,San Bernardino,6071
92345,CA,5.0,0.0,09/30/2013,34.36,-117.32,7;72,San Bernardino,6071
90275,CA,5.0,41600.0,04/25/2008,33.75,-118.31,4;73,Los Angeles,6037
90275,CA,5.0,23095.0,2/6/2014,33.75,-118.31,4;73,Los Angeles,6037
90275,CA,5.0,23800.0,01/24/2014,33.75,-118.31,4;73,Los Angeles,6037
90278,CA,5.0,32500.0,02/25/2013,33.87,-118.37,5;24,Los Angeles,6037
90275,CA,5.0,41600.0,11/14/2007,33.75,-118.31,4;73,Los Angeles,6037
90402,CA,5.0,37900.0,3/11/2008,34.03,-118.50,5;70,Los Angeles,6037
91350,CA,5.0,25639.22,06/25/2013,34.43,-118.51,6;69,Los Angeles,6037
91350,CA,5.0,35000.0,05/13/2013,34.43,-118.51,6;69,Los Angeles,6037
91350,CA,5.0,20600.0,3/5/2013,34.43,-118.51,6;69,Los Angeles,6037
91350,CA,5.0,27250.0,01/28/2014,34.43,-118.51,6;69,Los Angeles,6037
91351,CA,5.0,33545.67,2/4/2013,34.43,-118.46,6;69,Los Angeles,6037
91351,CA,5.0,23000.0,08/19/2013,34.43,-118.46,6;69,Los Angeles,6037
91354,CA,5.0,24623.0,7/11/2013,34.46,-118.57,6;64,Los Angeles,6037
91354,CA,5.0,29500.0,01/16/2014,34.46,-118.57,6;64,Los Angeles,6037
