Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
93451,CA,0.436,5450.0,01/14/2002,37.87,-121.68,5;65,Contra Costa,6079
92114,CA,0.436,8460.0,7/12/2001,38.00,-122.64,5;07,Marin,6073
93561,CA,0.438,2675.0,11/1/1999,37.17,-119.71,6;29,Madera,6029
94062,CA,0.438,4890.86,04/27/2000,35.89,-120.60,6;82,San Luis Obispo,6081
95633,CA,0.44,10201.85,07/31/2003,32.71,-117.05,6;06,San Diego,6017
93940,CA,0.44,2009.56,04/27/2006,35.12,-118.51,7;09,Kern,6053
92084,CA,0.442668,5609.42,06/19/2001,37.40,-122.29,4;99,San Mateo,6073
94086,CA,0.445,4570.0,6/3/1999,38.84,-120.83,6;07,El Dorado,6085
95073,CA,0.445,2230.42,07/25/2001,36.60,-121.88,4;93,Monterey,6087
93635,CA,0.445,3743.36,2/1/2002,33.21,-117.20,5;79,San Diego,6047
92673,CA,0.445,4037.0,01/17/2002,37.36,-122.02,5;77,Santa Clara,51137
93535,CA,0.445,3915.49,04/26/2002,37.02,-121.94,5;28,Santa Cruz,6037
90278,CA,0.445,3027.72,03/20/2002,36.90,-121.02,6;00,Merced,6037
90805,CA,0.447,4013.28,07/25/2001,33.48,-117.61,5;15,Orange,6037
92084,CA,0.447,5609.0,9/6/2001,34.69,-117.90,7;99,Los Angeles,6073
92056,CA,0.45,2995.13,12/14/2000,33.87,-118.37,5;24,Los Angeles,6073
94706,CA,0.4548,3394.0,11/1/1999,33.86,-118.18,5;42,Los Angeles,6001
92056,CA,0.455,3247.71,11/16/2000,33.21,-117.20,5;79,San Diego,6073
92627,CA,0.455,2578.0,03/19/2004,33.20,-117.29,5;46,San Diego,51137
92653,CA,0.45684,4015.0,06/17/2002,37.88,-122.29,5;07,Alameda,51137
95404,CA,0.46,2112.7,09/22/2000,33.20,-117.29,5;46,San Diego,6097
95404,CA,0.46,3000.0,10/31/2000,33.64,-117.91,5;09,Orange,6097
93614,CA,0.4656,7153.05,6/3/1999,33.60,-117.71,5;47,Orange,6039
93451,CA,0.4668,5450.0,01/14/2002,38.45,-122.68,5;50,Sonoma,6079
92114,CA,0.4668,8460.0,7/12/2001,38.45,-122.68,5;50,Sonoma,6073
94062,CA,0.4692,4890.86,04/27/2000,37.17,-119.71,6;29,Madera,6081
93561,CA,0.4692,2675.0,11/1/1999,35.89,-120.60,6;82,San Luis Obispo,6029
94086,CA,0.4764,4570.0,6/3/1999,32.71,-117.05,6;06,San Diego,6085
95073,CA,0.47652,2230.42,07/25/2001,37.40,-122.29,4;99,San Mateo,6087
93635,CA,0.47652,3743.36,2/1/2002,35.12,-118.51,7;09,Kern,6047
92673,CA,0.47688,4037.0,01/17/2002,37.36,-122.02,5;77,Santa Clara,51137
90278,CA,0.47688,3027.72,03/20/2002,37.02,-121.94,5;28,Santa Cruz,6037
93535,CA,0.476916,3915.49,04/26/2002,36.90,-121.02,6;00,Merced,6037
90805,CA,0.47856,4013.28,07/25/2001,33.48,-117.61,5;15,Orange,6037
92084,CA,0.4788,5609.0,9/6/2001,33.87,-118.37,5;24,Los Angeles,6073
90403,CA,0.48,6995.0,2/1/2002,34.69,-117.90,7;99,Los Angeles,6037
92028,CA,0.48,6736.77,2/6/2002,33.86,-118.18,5;42,Los Angeles,6073
92672,CA,0.48,4231.5,02/14/2002,33.21,-117.20,5;79,San Diego,51137
94599,CA,0.48,3021.45,03/19/2002,34.03,-118.49,5;70,Los Angeles,6055
92027,CA,0.48,3681.95,4/3/2002,33.39,-117.29,6;01,San Diego,6073
92119,CA,0.48,4320.0,01/22/2003,33.42,-117.62,5;09,Orange,6073
95962,CA,0.48,4657.27,12/6/2002,38.41,-122.36,5;54,Napa,6115
95959,CA,0.48,2738.0,05/30/2002,33.13,-116.98,6;44,San Diego,6057
92104,CA,0.48,4560.0,6/10/2002,32.81,-117.03,6;09,San Diego,6073
92672,CA,0.48,3491.2,01/22/2003,39.34,-121.23,6;05,Yuba,51137
92128,CA,0.48,4303.03,10/10/2002,39.34,-120.87,6;40,Nevada,6073
91011,CA,0.48,3054.81,12/18/2002,32.73,-117.12,5;76,San Diego,6037
92115,CA,0.48,3293.75,11/27/2002,33.42,-117.62,5;09,Orange,6073
94928,CA,0.48,4000.0,7/7/2003,32.99,-117.07,5;94,San Diego,6097
91001,CA,0.48,4829.0,10/3/2003,34.23,-118.14,6;19,Los Angeles,6037
95492,CA,0.48,3807.47,6/2/2005,32.75,-117.07,5;91,San Diego,6097
95603,CA,0.48,7835.0,12/21/2004,38.34,-122.70,5;35,Sonoma,6061
93555,CA,0.48,2275.0,3/8/2006,34.20,-118.13,6;39,Los Angeles,6029
91911,CA,0.48,3955.0,01/14/2005,38.53,-122.81,5;41,Sonoma,6073
94928,CA,0.48,4000.0,7/7/2003,38.92,-121.07,5;86,Placer,6097
93560,CA,0.481992,2995.13,12/14/2000,35.55,-117.67,8;42,Kern,6029
93560,CA,0.487068,3247.71,11/16/2000,32.61,-117.03,5;94,San Diego,6029
92256,CA,0.488,4340.28,12/6/2000,38.34,-122.70,5;35,Sonoma,6071
94706,CA,0.492,3179.53,08/16/2002,34.92,-118.40,7;65,Kern,6001
95404,CA,0.4932,2112.7,09/22/2000,34.92,-118.40,7;65,Kern,6097
94563,CA,0.497,3834.6,11/8/1999,34.10,-116.58,8;31,San Bernardino,6013
95246,CA,0.5,2300.0,05/25/2006,37.88,-122.29,5;07,Alameda,6009
93618,CA,0.501,2156.24,2/6/2007,38.45,-122.68,5;50,Sonoma,6107
92827,CA,0.511,4313.0,10/5/2001,37.89,-122.19,5;24,Contra Costa,0
92256,CA,0.512,2571.0,12/16/2002,38.23,-120.49,6;33,Calaveras,6071
92130,CA,0.512,4967.0,10/25/2002,36.52,-119.39,6;01,Tulare,6073
91301,CA,0.52,6899.12,02/27/2007,0,0,0,0,6037
95228,CA,0.521,2857.35,6/8/2001,34.10,-116.58,8;31,San Bernardino,6009
92256,CA,0.5232,4340.28,12/6/2000,32.95,-117.19,5;32,San Diego,6071
95969,CA,0.525,2836.86,04/13/2007,34.12,-118.76,6;22,Los Angeles,46019
95503,CA,0.525,2950.0,6/2/2006,37.94,-120.66,5;91,Calaveras,32013
92354,CA,0.525,5997.0,11/24/2003,34.10,-116.58,8;31,San Bernardino,6071
92627,CA,0.525,2578.0,03/19/2004,39.74,-121.61,5;97,Butte,51137
94706,CA,0.5268,3179.53,08/16/2002,40.71,-124.11,4;05,Humboldt,6001
94563,CA,0.5328,3834.6,11/8/1999,34.05,-117.24,6;57,San Bernardino,6013
93675,CA,0.535,6079.0,07/29/2003,33.64,-117.91,5;09,Orange,6019
95547,CA,0.545,4636.14,02/15/2002,37.88,-122.29,5;07,Alameda,32013
92627,CA,0.5472,4313.0,10/5/2001,37.89,-122.19,5;24,Contra Costa,51137
91711,CA,0.558,4889.61,01/16/2002,36.74,-119.19,6;38,Fresno,6037
95228,CA,0.55848,2857.35,6/8/2001,40.56,-124.07,4;23,Humboldt,6009
94303,CA,0.562,5752.0,8/9/2002,33.64,-117.91,5;09,Orange,6081
93015,CA,0.562,7104.0,02/19/2002,34.12,-117.71,6;14,Los Angeles,6111
94558,CA,0.562,3355.74,2/5/2003,37.94,-120.66,5;91,Calaveras,6055
90278,CA,0.568,9920.56,11/21/2001,37.45,-122.10,5;43,San Mateo,6037
92307,CA,0.569,5802.32,05/24/2001,34.40,-118.83,6;88,Ventura,6071
95945,CA,0.572,6463.0,6/11/1999,38.55,-122.15,5;77,Napa,6057
94567,CA,0.573,4519.44,6/12/2000,33.87,-118.37,5;24,Los Angeles,6055
93675,CA,0.5736,6079.0,07/29/2003,34.57,-117.15,8;17,San Bernardino,6019
95918,CA,0.579,7659.34,11/8/1999,39.18,-120.98,6;18,Nevada,6115
91711,CA,0.58,3174.48,02/22/2001,38.67,-122.44,5;90,Napa,6037
95815,CA,0.58,,12/19/2002,36.74,-119.19,6;38,Fresno,6067
95815,CA,0.58,,12/19/2002,39.33,-121.33,5;83,Yuba,6067
95815,CA,0.58,,12/19/2002,34.12,-117.71,6;14,Los Angeles,6067
95815,CA,0.58,,12/19/2002,38.60,-121.46,5;71,Sacramento,6067
92086,CA,0.581,4356.23,11/28/2000,38.60,-121.46,5;71,Sacramento,6073
95547,CA,0.5844,4636.14,02/15/2002,38.60,-121.46,5;71,Sacramento,32013
95476,CA,0.585,8000.0,11/15/2005,38.60,-121.46,5;71,Sacramento,6097
90273,CA,0.591,4863.18,07/22/2002,33.28,-116.60,7;42,San Diego,0
