Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
92270,CA,10.0,0.0,12/13/2013,33.78,-116.41,7;61,Riverside,6065
91001,CA,10.0,85286.93,8/1/2007,34.20,-118.13,6;39,Los Angeles,6037
95620,CA,10.0,85300.0,1/9/2007,38.39,-121.81,5;72,Solano,6095
93638,CA,10.0,88990.0,7/10/2007,37.01,-119.94,5;95,Madera,6039
95969,CA,10.0,75488.48,3/9/2007,39.74,-121.61,5;97,Butte,46019
92345,CA,10.0,44750.0,10/31/2013,34.36,-117.32,7;72,San Bernardino,6071
94549,CA,10.0,82807.0,12/8/2004,37.90,-122.11,5;42,Contra Costa,6013
93630,CA,10.0,88990.0,7/10/2007,36.71,-120.15,5;95,Fresno,6019
92264,CA,10.0,49951.48,11/10/2011,33.72,-116.51,7;54,Riverside,6065
92270,CA,10.0,49131.86,4/6/2012,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,54085.0,11/9/2011,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,39500.0,10/2/2013,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,53403.72,12/6/2011,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,0.0,12/10/2013,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,50591.98,5/7/2012,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,51700.0,12/8/2011,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,48366.64,03/13/2012,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,49328.0,11/28/2011,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,50776.36,5/10/2012,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,51780.11,12/20/2011,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,50504.81,07/29/2011,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,55000.0,05/28/2013,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,49963.04,01/24/2012,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,51780.11,12/6/2011,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,52587.09,10/24/2011,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,52581.92,5/11/2012,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,50706.92,6/4/2012,33.78,-116.41,7;61,Riverside,6065
92270,CA,10.0,53632.04,11/1/2011,33.78,-116.41,7;61,Riverside,6065
92277,CA,10.0,42128.11,6/5/2013,34.24,-115.86,7;84,San Bernardino,6071
92284,CA,10.0,45200.0,05/14/2013,34.15,-116.41,8;39,San Bernardino,6071
92373,CA,10.0,68805.0,11/29/2005,34.00,-117.12,6;77,San Bernardino,6071
93635,CA,10.0,78700.0,01/17/2006,36.90,-121.02,6;00,Merced,6047
92270,CA,10.0,70847.0,2/3/2006,33.78,-116.41,7;61,Riverside,6065
95658,CA,10.0,77255.0,09/21/2006,38.87,-121.15,5;80,Placer,6061
95658,CA,10.0,88175.0,8/1/2006,38.87,-121.15,5;80,Placer,6061
94563,CA,10.0,68054.88,06/30/2006,37.89,-122.19,5;24,Contra Costa,6013
95965,CA,10.0,72822.91,6/7/2006,39.50,-121.67,5;94,Butte,46019
95746,CA,10.0,89500.0,09/28/2006,38.76,-121.16,5;76,Placer,6061
95821,CA,10.0,49000.0,2/7/2014,38.62,-121.38,5;66,Sacramento,6067
91784,CA,10.0,47500.0,01/29/2014,34.14,-117.65,6;88,San Bernardino,6071
95758,CA,10.0,45728.68,4/2/2013,38.34,-121.42,5;73,Sacramento,6067
95758,CA,10.0,45728.68,4/2/2013,38.34,-121.42,5;73,Sacramento,6067
91791,CA,10.0,40500.0,02/18/2014,34.06,-117.89,5;70,Los Angeles,6037
92210,CA,10.0,50848.0,01/25/2012,33.70,-116.33,7;64,Riverside,6065
92210,CA,10.0,52156.8,10/10/2011,33.70,-116.33,7;64,Riverside,6065
92210,CA,10.0,48622.0,03/28/2012,33.70,-116.33,7;64,Riverside,6065
92210,CA,10.0,51508.61,04/16/2012,33.70,-116.33,7;64,Riverside,6065
92211,CA,10.0,49550.78,11/9/2011,33.77,-116.34,7;63,Riverside,6065
92211,CA,10.0,52078.0,11/3/2011,33.77,-116.34,7;63,Riverside,6065
91739,CA,10.0,0.0,12/14/2013,34.14,-117.51,6;59,San Bernardino,6071
91739,CA,10.0,0.0,12/12/2013,34.14,-117.51,6;59,San Bernardino,6071
